贴吧名,帖子标题,ID,内容,发布时间
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,"我真的受不了，2023年了还在那裹小脑呢？没事多读点书吧，不然你那空空如也的脑袋猪看了都要落泪。
领证+生娃的形婚，隔壁直女都要直呼内行，我敢问你连自己爸妈都应付不了，究竟哪来的自信能应付男方一大家子？就你那猪脑子，签的婚前协议就是一纸空文，现在还有离婚冷静期，怎么着？非要给自己的人生加个困难buff甚至是地狱buff是吧。这是无知的勇气，还是单纯的愚蠢呢？
最可恶的就是所谓的生娃给父母一个交代。这个小孩生在你家真是倒了八辈子血霉了，摊上这么一个没良心没责任没亲情的家庭。还有什么生娃都是男方负担经济成本，好家伙外国代孕女性要给你点赞了。人家代孕还有钱赚，你是不仅不赚钱你还要上赶着当免费子宫啊。
现在耽美作者都不敢写代孕了，因为会被骂死。你这波操作男同听了都得谢谢你。而且男同也是男人，男人该有的劣根性还有繁殖癌一个也不少。纵然你是天仙下凡文曲星在世，碰到渣男也只能认栽。
而连父母催婚压力都承受不了的废物，我是真不相信你们有一双火眼金睛能慧眼识人哈。隔壁直女都没这么普信呐，人家都不敢打包票能在直男里找到一个好男人，你竟然相信自己能在男同里找到一个好男人。
异性恋比同性恋多得多，直男比男同多得多这你总该知道吧。那你这无异于屎里淘金的举动是因为很爱吃_一堆屎_吗？
我是真瞧不起你们，也奉劝你们一句，既然你们这种废物又不经济独立又不思想独立，趁早滚去当直女行吗？别来祸害正常女同。还有某些恋爱脑姐妹，上赶着当三我一样骂。别标榜什么同性是真爱，出轨就是出轨！
PS.以上谩骂只针对领证+生娃的形婚女同",2023-01-16 16:31
les吧,进来的姐妹都给我狠狠骂形婚女同,长相太避孕,赞同,2023-01-16 16:55
les吧,进来的姐妹都给我狠狠骂形婚女同,喜欢猫的女人,狠狠地赞同,2023-01-16 17:25
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,而且我一直不太理解，为什么不管是异性恋还是同性恋，都那么热衷于生孩子你们有带过小孩吗？24小时的那种？我带过我妹妹，谢谢她让我坚定了不婚不育的决定。我以前只是单纯的嫌小孩子吵闹，现在我发现就算她有时候会乖巧听话，我还是会一样嫌弃。整宿整宿睡不好觉真的会想死，哪怕再可爱都抵消我对小孩子的厌恶。这还是建立在我偶尔搭把手的情况，如果是自己的孩子，难怪有那么多产后抑郁的，我现在已经可以百分百理解妈妈了。但是我永远也不会做妈妈了,2023-01-16 17:28
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,而且有的姐妹自己都没活明白呢，就敢生小孩，怎么？让孩子来让你被迫成长是吗？不至于不至于哈。生娃应该是人生中最重要的决定，那可是一条生命啊，怎么能如此轻率,2023-01-16 17:31
les吧,进来的姐妹都给我狠狠骂形婚女同,十一不会云门,确实，形婚生娃，笑死我了,2023-01-16 17:41
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,其实不管是爸妈还是自己，大家生孩子大部分都是为了养老不是吗？而不是出于喜爱孩子，想要参与一个生命的成长才生孩子。这样功利性的目的，唉我有时候作为孩子也会觉得很无奈啊。如果可以，还是希望姐妹们在生孩子前能够深思熟虑，尤其是同性家庭，不要脑子一热爱情一冲就轻率地做出决定。我认为作为女同，即便有伴侣，打算生孩子。也要做好一个人生养孩子的准备。世界上哪有那么多从一而终的爱情呢？幸运的毕竟是极少数啊,2023-01-16 17:43
les吧,进来的姐妹都给我狠狠骂形婚女同,陌上壬,直女都有很多不结婚了，形婚什么成分,2023-01-16 17:44
les吧,进来的姐妹都给我狠狠骂形婚女同,_狐狸脸_,骂得好,2023-01-16 17:51
les吧,进来的姐妹都给我狠狠骂形婚女同,.mlgkf,个人观点认为能结婚的就不是女同、更不可能是双、都是二十多岁的年纪了还是能分的清对错、也清楚知道自己想要的生活,2023-01-16 17:56
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,我发这个帖子不是想骂醒这种形婚女同，我觉得她们已经没救了主要还是想让正常的姐妹们认清这号人，别上当受骗了，也别恋爱脑上头知三当三,2023-01-16 18:10
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,说白了为什么有的女同会形婚呢？还是吃准了有的小妹妹恋爱脑一上头，她就上赶着知三当三了。傻不傻啊，风险都是小三担，人家就算被发现了拍拍屁股回归家庭你哭都没地方哭，还发网上发网上我都要先骂你一句都是成年人了，心里没点数吗？,2023-01-16 18:14
les吧,进来的姐妹都给我狠狠骂形婚女同,霍游一生推,咱们正常人，就应该把这种形婚女同摘出择偶范围好吗除非这种形婚女同一辈子不找女朋友了，不然正常女同排斥她们，自然这类人就会越来越少。这样既能避免男同骗婚生子，又能避免孩子无辜出生，还能避免正常女同上当受骗。这是三赢局面啊,2023-01-16 18:19
les吧,进来的姐妹都给我狠狠骂形婚女同,翻阅诗章,赞同,2023-01-16 18:22
les吧,进来的姐妹都给我狠狠骂形婚女同,fanny,之前有幸在一个群里见识到形婚要孩子，但不试管的奇葩案例，她称形婚对象为“队友”，并且还公开找女朋友。,2023-01-16 18:32
