贴吧名,帖子标题,ID,内容,发布时间
tvb吧,李玟的老公发声喊冤,贴吧用户_QUSVWG8,"李玟的老公Bruce发声喊冤
据8月4日港媒报道，李玟的老公Bruce首次接受媒体的采访。他说自己不懂中文，当时并不清楚被粉丝骂，而且他表示与李玟的死100%无关。至于和李玟的婚姻，Bruce说他们有20年的关系，没有一段关系是100%完美的。他透露两人已于去年十月签字分居进入冷静期。李玟也同意了分居，准备走程序离婚，各自都可以找伴侣，至于取回李玟礼服被阻挠的消息，Bruce表示Coco的亲友可以取回，他不会阻止。不过此前据李玟亲友所说，Bruce出轨身患癌症的老婆，妓女还背叛李玟，Coco还因此得了抑郁症。
事实的真相到底是什么？让我们一起期待真相浮出水面。在此之前，让我们尊重李玟及其家人的隐私，不要过度炒作。斯人已去，让我们让李玟走的更体面一些吧。",2023-08-05 14:53
tvb吧,李玟的老公发声喊冤,Post card,脸皮厚是这样的,2023-08-05 16:44
tvb吧,李玟的老公发声喊冤,审判之魂,"打错字啦，继女
还是静待吧",2023-08-05 18:06
tvb吧,李玟的老公发声喊冤,顶级骑士,死因不公布没证据的事不能乱说,2023-08-06 00:08
tvb吧,李玟的老公发声喊冤,风雨不再,继女ok,2023-08-06 00:12
tvb吧,李玟的老公发声喊冤,曲线么么,都一两年不联系了，感情早就放下了，李玟会不会应为别的事那个？,2023-08-06 07:30
tvb吧,李玟的老公发声喊冤,养花快乐,为啥非得找外国老头子,2023-08-06 07:40
tvb吧,李玟的老公发声喊冤,被悲伤吞噬的,出轨那一段什么鬼？怎么读都不通,2023-08-06 08:56
tvb吧,李玟的老公发声喊冤,德基夜壶里见一,反正只要一个已婚女人怎么样了，小仙女一定是把这个锅甩她老公头上,2023-08-06 09:58
tvb吧,李玟的老公发声喊冤,冬东腔,这种情况老公能分到遗产吗？,2023-08-06 10:04
tvb吧,李玟的老公发声喊冤,chilingsakai2,支持她老公,2023-08-06 11:03
tvb吧,李玟的老公发声喊冤,biteapple,讓李玟安靜體面的走吧， 尊重她的隱私。,2023-08-06 12:30
tvb吧,李玟的老公发声喊冤,ipika007,所以分居之前他出轨了吗？,2023-08-06 12:37
tvb吧,李玟的老公发声喊冤,寒潭玄曳心澄净,有钱，真心护他的那几个保镖，肯定是他自己雇的,2023-08-06 12:41
