贴吧名,帖子标题,ID,内容,发布时间
减肥吧,老减肥人，回归了,150斤小胖,"17年就开始贴吧更新减肥啥的，六年多过去了，经历了减肥成功，相亲结婚离婚三部曲也快走到尾声了
之前遇到点事思想状况不好，就原地开摆，想着先让自己开心最重要，现在正在离婚冷静期，心情也好了，可以开始减我这一身肥肉了",2024-04-19 17:20
减肥吧,老减肥人，回归了,150斤小胖,减肥六年半归来仍是150斤，也是一种本事,2024-04-19 17:22
减肥吧,老减肥人，回归了,150斤小胖,今日晚餐：酸奶拌小番茄香蕉，挺好，各是各的味也不互斥，外面下雨晚上没法出门走路了，就吃完东西站在屋里挥挥胳膊抖抖腿吧，别的运动做不了了,2024-04-19 18:43
减肥吧,老减肥人，回归了,逸贤0225,"2020年，用四个月从226斤减到147斤。后来因为事业的不断应酬，一年半的时间又胖回230斤。
现在第二次减肥开始，从3月12日开始到今天，已经从230斤减到了198斤。
继续坚持中……",2024-04-19 21:14
减肥吧,老减肥人，回归了,150斤小胖,"今日体重：146.5斤
昨晚上应该十点多睡的，然后睡眠不大好就睡睡醒醒的，算是睡了九个小时吧，睡个觉躺的全身酸痛，忍不住起床了，刷牙洗脸迎接休息天～",2024-04-20 09:19
减肥吧,老减肥人，回归了,150斤小胖,,2024-04-20 09:19
减肥吧,老减肥人，回归了,150斤小胖,早餐：五个自己包的饺子_粗加号_十一个mini芝麻馅小汤圆,2024-04-20 09:45
减肥吧,老减肥人，回归了,150斤小胖,"午饭：小番茄
现在在我爸这，晚餐肯定要吃菜啥的中午就少吃点",2024-04-20 12:34
减肥吧,老减肥人，回归了,到点就吃饭吧,我调了代谢物，掉了27斤，没反过，不节食，不运动,2024-04-20 14:01
减肥吧,老减肥人，回归了,150斤小胖,"很无聊！！！！！！
院子里人上班的上班午休的午休，闲着没事看馋了……明天起早去吃牛肉火锅吧，然后明天下午就不吃别的啦，周一继续打工人饮食，加油",2024-04-20 14:34
减肥吧,老减肥人，回归了,150斤小胖,"晚餐：半根黄瓜_粗加号_龙虾尾加干豆腐丝加鹌鹑蛋_粗加号_炒苋菜_粗加号_五块炒鸡
没拍照，晚上吃咸了
在回家的路上，等会到家要狂喝水了感觉嗓子齁得慌",2024-04-20 20:45
减肥吧,老减肥人，回归了,150斤小胖,"今日体重146.6
早餐：七个饺子_粗加号_十个芝麻小汤圆
碗里这个色是因为芝麻汤圆冻久了？反正从冰箱拿出来就裂开了，吃完中午去恰火锅解解馋……祝我好运
明天工作日正常减肥饮食",2024-04-21 10:19
减肥吧,老减肥人，回归了,150斤小胖,"中午的火锅……不好吃，但解馋了，有段时间不想吃油炸和火锅了
两点半吃完的午饭，晚上吃了一个香蕉喝了300ml酸奶
七点钟开始出门走了六公里，加上白天的总走路量大概12公里左右
现在在转呼啦圈，预计转20分钟
不知道明天会重多少反正我尽力了",2024-04-21 20:54
减肥吧,老减肥人，回归了,150斤小胖,"呼啦圈半小时，完成_白色粗复选标记_
我出息啦！！！",2024-04-21 21:13
减肥吧,老减肥人，回归了,150斤小胖,"今日体重：147.8斤，还好，昨天一顿实胖这么多
早餐：一点点米饭_粗加号_茭白炒腊肠（这个跟我中午要吃的内容是一样的，就是分完中午那顿剩下来的）
预计晚餐：一盒小番茄
加油打工人！",2024-04-22 08:41
