贴吧名,帖子标题,ID,内容,发布时间
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,戒酒的李白,怎么看待这个一妻多夫？感觉比离婚冷静期还离谱我建议搞基跟百合，不是太能接受一夫多妻或者一妻多夫！,2020-06-11 16:35
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,戒酒的李白,受不了这些人，为了解决男女比例失调，离婚率高，就不能用一些正常的办法解决么，出的都是些什么馊主意,2020-06-11 16:36
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,神说要有天,一妻多夫一夫多妻我都ex，甚至抖音上现在一些体现他们重女轻男的段子我也觉得有病,2020-06-11 16:41
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,鹏玲姐姐,一个都嫌多了还多夫，一夫一妻都一大堆矛盾还来一大票男人,2020-06-11 16:50
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,戒酒的李白,我反对，一妻多夫，一夫多妻，离婚冷静期，通通反对！,2020-06-11 16:56
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,安静的坚果,这些砖家的话听听就算了，何必真情实感，法律上又不可能真这么实施。至于现实里，一妻（夫）和她的多夫（妻）们如果都没意见，又关我们什么事呢？,2020-06-11 17:23
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,想做白日梦,提出这个的人有毛病,2020-06-11 18:24
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,衡元山狮驼王,随便吧，只要不是强制结婚就行,2020-06-11 18:25
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,甜甜12138乐园,我之前说过现在男女比例不均，以后我要找两个老公，被我妈骂了,2020-06-11 18:30
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,CyanSky_霸王龙_,不怕家庭矛盾吗？几个男人不争不抢吗？,2020-06-17 13:01
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,贴吧用户_00aJ6Ua,"如果一女三夫，她要有三个公婆，为了公平，她不可能只伺候一对公婆吧，肯定要伺候三对。为了公平，至少要生三个孩子，三个男人，一人一个。
如果生了三个女儿，三个男人都不满意，那她还要继续生儿子，至少生六个吧。
不管是生三个，六个，九个，她都不能保证三个男人都会满意。",2020-06-17 13:17
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,朱颜辞镜h辞树,这个不太可能,2020-06-17 14:33
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,大魔王s,要不起要不起,2020-06-17 14:55
友谊已走到尽头吧,怎么看待这个一妻多夫感觉比离婚冷静期还离谱我建议搞基跟百合,还差得远呢5555,神经病吧，看小说都不接受这样的，更何况现实,2020-06-17 17:48
