贴吧名,帖子标题,ID,内容,发布时间
反qy吧,吐槽离婚冷静期,紫宸晴梦,【吐槽】离婚冷静期,2020-05-29 12:32
反qy吧,吐槽离婚冷静期,紫宸晴梦,你们对离婚冷静期怎么看？我是觉得制定这条规定并通过的人绝对是智障，真***让人恶心，连离婚自由都要受限制，以后女性被骗婚被家暴想离婚那岂不是难上加难，想降低离婚率也不能用这种来降低，日常厌婚的一天，女性在婚姻中所受的保障本就不高现在还限制离婚，这婚姻法是对女性越来越不友好了，以后女性被基佬骗婚了对方不想离还离不了？,2020-05-29 12:32
反qy吧,吐槽离婚冷静期,我的天54,我反对离婚冷静期，为什么会有人冲动离婚，因为冲动结婚，既然如此与其弄个所谓离婚冷静期还不如弄一个结婚冷静期呢。想清楚要不要结婚。,2020-05-29 15:09
反qy吧,吐槽离婚冷静期,我的天54,其实不管离婚冷静期你是赞成还是反对，一般都是板上钉钉的事了。现在女性地位越来越低下，家暴案件越来越频发，想离婚的离不了。所以我个人是反婚反育的，既然任何选择都不好，那么我就不做任何选择（我反婚反育是对我自己而言，我不反对别人结婚，祝你们快乐。）,2020-05-29 15:14
反qy吧,吐槽离婚冷静期,讨厌长条状生物,反对又用吗？,2020-05-29 15:43
反qy吧,吐槽离婚冷静期,讨厌长条状生物,反对没用！,2020-05-29 15:43
反qy吧,吐槽离婚冷静期,讨厌长条状生物,以后非正常死亡率会更高，信不信?离不了，还可以丧偶嘛！,2020-05-29 16:55
反qy吧,吐槽离婚冷静期,讨厌长条状生物,没有离婚，离不了婚，那就只有丧偶啰！,2020-05-29 17:08
反qy吧,吐槽离婚冷静期,情缘观世音,所以我还是那句话，男人死光了，这世界就清静了。,2020-05-29 18:09
反qy吧,吐槽离婚冷静期,紫宸晴梦,请就事论事，别一口一个驴的，都是女的不必对已婚妇女怀有恶意。最讨厌同为女性还对某些女性起驴这种侮辱性称呼，我真心祝制定这条法规的二百五不婚不育子孙满堂，笑死人了，就算有些人是冲动离婚但不还可以复婚吗？凭什么限制离婚？再这样下去是不是还要搞禁止离婚？***的，老娘想结就结想离就离又没危害到社会和他人，凭什么限制离婚,2020-05-29 19:44
反qy吧,吐槽离婚冷静期,紫宸晴梦,政府为了提高生育率还真是煞费苦心，先是开放二胎再是限制离婚接下来是不是还要分配老公啊，该管的不管不该管的瞎管，唉，还是不婚不育单身一辈子好啊,2020-05-29 19:49
反qy吧,吐槽离婚冷静期,讨厌长条状生物,知道怎么打比方，可是有些话我就是不敢说出来，没有林毛毛那么胆大，什么都敢说。,2020-05-29 20:30
反qy吧,吐槽离婚冷静期,讨厌长条状生物,呵呵，系统够快的，我只不过发几张截图而已，就怕了！,2020-05-29 20:31
反qy吧,吐槽离婚冷静期,讨厌长条状生物,看看人家是怎么骂你已婚女的，比“婚驴”难听不知多少倍！结果下面评论还要反思自己。,2020-05-29 20:57
反qy吧,吐槽离婚冷静期,红叶夕,反正这样只会让更多的人恐婚、不婚,2020-05-29 22:12
