贴吧名,帖子标题,ID,内容,发布时间
婆媳吧,帮帮我怎么走下去好难,hutu728,第一次结婚，没有结婚证生了一个女儿，月子里被家暴离婚了，净身出户没带孩子，完全断了联系，之后一个人单身了七年，经过亲戚介绍遇到单身头婚的他，刚开始觉得他哪里都好，他家除了他爸爸在坐牢，两个人感情也特别好他就是我的真命天子，怪我被爱情冲昏头脑相处了几个月就结婚了，当时彩礼要了10万，婚后才发现他欠了20万，很生气但是自己是第二次结婚了，忍了帮他还了15万，剩下5万婆婆说它帮我们还，婚后两个月又发现他欠网贷2万，哎，闹过一通以后也忍了，因为要还债所以每个月他给我两三千块钱当作生活费，包括家里人情往来柴米油盐所有的开销，根本就不够我还往里面贴钱，他却觉得我不会理财，这2000块的生活费都不愿意给我了，我们是跟婆婆住在一起，我婆婆老是说一些莫名其妙的话刺我，说什么男人越老越吃香，我老公比我身高高，其实他才163，婆媳关系也不怎么好，就这么过了两年，一直没怀孕，去医院检查，男方精子活力不达标，除了这个平时他排精会有带血丝的状况，整个冬天性功能都不行，硬不了，这时候我婆婆又跳出来了，说有的女人生第一个第二个也生不了的，意思就是我有问题她儿子没毛病，我就火了，跟他妈大吵一架，我老公要拿刀砍死我，然后我就从他家里搬出来了，搬出来他一个电话也没给我打过去我家找了我一趟，我在外面待了一个多月，觉得我是二婚了也不想离婚，就主动联系他然后和好了，条件是我跟他搬出去住或者他妈搬回老家，然后他妈搬走了，更妈宝的事情来了，他两每天都要打电话，发微信，每天干了啥事无巨细的都是说几遍，包括我一天干了啥他妈都要问的清清楚楚，因为这个又吵架，他觉得我管的多事情多，后来又不了了之，因为他妈回老家了，为了他妈开心不无聊，他帮助他妈开店，这个我也不反对，但是一个星期开了三家店，一个麻将馆一个理发店一个卤菜店，老家在村里街上，根本没有几个人，赚不了钱的，但是我老公不听我的，没办法，家里的债还没还完，他的工资现在也不给我，一休息也不陪我直接回老家，开我的车回去（我陪嫁的车），回去给他妈装厕所，修水电，剐大白，弄门头，我问他你要孩子吗？我跟你都不年轻了，都30_粗加号_了，有点钱把身体调养好要个孩子，他不，他非要把他的那点工资砸在老家他妈让他干的事情上，他觉得我对他妈不好，所以我不配他对我好，我真是受不了了，提了离婚，他开始不同意，去找我爸妈说我要离婚，我爸妈知道我跟他的事，觉得其他事情都小，生孩子事情事大，问他怎么考虑生孩子的问题，他直接玩消失不回答，后来我强烈要求离婚，他让我赔他的_钱袋_，说跟我结婚把他家都掏空了，我说，你就给我10玩彩礼，我给你还15万你这两年也没给我什么生活费，我欠你什么，他说三金酒席不要钱嘛？我真是对这个人彻底失望了，给了他2000块钱让他跟我去民政局办离婚，目前第一次手续已经办好，还有30天冷静期，我也葱他家搬出来了，目前无任何沟通，很累，我该怎么办，毕竟第二次离婚了_大声哭喊的脸_,2023-10-15 11:05
婆媳吧,帮帮我怎么走下去好难,沙沙的眼睛,没有结婚证，算什么结婚， 法律不承认。 你头次瞎了眼， 第二次你是半点记性，经验没有， 还是瞎了眼， 是个男的就行。 男的163你也要， 难怪人家说她儿子高， 这不你眼瞎。 倒贴没人觉得好， 人家就是坑你彩礼钱， 最后车房钱全没有， 还让人白睡， 还离， 要不你年纪小， 要不就是你脑子有泡， 又眼瞎,2023-10-15 11:13
婆媳吧,帮帮我怎么走下去好难,哄你一下,你是不是离了男人活不下去？,2023-10-15 11:18
婆媳吧,帮帮我怎么走下去好难,纳兰容若情巨蟹,离婚，不要轻易找对象，又不是没男人要死。,2023-10-15 11:30
婆媳吧,帮帮我怎么走下去好难,构建和谐社会啊,真的假的啊？第一次被家暴可能是遇人不淑，第二次找个163的妈宝男，还性无能竟然还当对方是真命天子…怎么说也30多岁人了，怎么那么天真…,2023-10-15 11:40
婆媳吧,帮帮我怎么走下去好难,妮美雅,"离婚后好好沉淀一下
不要急着再婚
臭鱼烂虾的找了也是糟心",2023-10-15 12:09
婆媳吧,帮帮我怎么走下去好难,哄你一下,离婚，好好工作，好好生活，不要轻易结婚，就这样。经历两次毒打了，再恋爱脑不可取哈。,2023-10-15 12:10
婆媳吧,帮帮我怎么走下去好难,小虫小豆,"现在离了不是很好么。你迷茫啥？担心自己找不到男人么？
你第二次找的男的那么差劲，你居然还觉得匹配，那么你自身条件真的太差了，
不如提升自己，要不以现在的自身条件再找也是泥潭。",2023-10-15 12:13
婆媳吧,帮帮我怎么走下去好难,RIVER,第几次离婚有什么关系吗？老强调这个干什么？这日子没法过就非得凑合？自己能养活自己不结婚又能怎么样？不生孩子又能怎么样？,2023-10-15 12:13
婆媳吧,帮帮我怎么走下去好难,曾经的梦1971,不管是第几次结婚，都知道男人差劲了，赶紧离婚是正经。你怕舆论说起来结几次婚名声不好听，更该好好选择结婚对象呀，或者说找不到合适的，单身又怎么了,2023-10-15 12:21
婆媳吧,帮帮我怎么走下去好难,芝麻盐,人一定要结婚吗，一个不开心吗，离了找不到好的就不结婚呗，有什么好愁的,2023-10-15 12:23
婆媳吧,帮帮我怎么走下去好难,逢火戏诸侯,哪里的这么奇葩,2023-10-15 12:25
婆媳吧,帮帮我怎么走下去好难,某不知名白某,其实你已经有孩子了，不结婚也可以的。实在有需要，可以谈恋爱，不结婚。,2023-10-15 12:32
婆媳吧,帮帮我怎么走下去好难,雪娃娃,有家庭成员坐牢的，我们是不会考虑的，一是说明他们家家风家教有问题，二是可能影响会我孩子的政审阻了孩子的某些出路,2023-10-15 12:33
婆媳吧,帮帮我怎么走下去好难,__辛十三娘,第几次结婚不重要，找到对的人才重要,2023-10-15 12:36
