贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,不知道该怎么办了 求帮助,309219353,"我和她自从2023年6月中旬开始一直吵吵闹闹，以前是没有隔夜仇，一会儿就好，但那时候不行了，很多天不和好，还分床睡。7月中旬他把我们吵架的事情告诉了闺蜜 她的闺蜜建议她一个人出去玩玩，出去散散心，我也同意了。但散心回来关系还是不好，还是吵闹，7月25号她和闺蜜还有双方的孩子 还有狗三（后来才知道的），在一起吃饭，很晚才送孩子回来，送孩子回来后，然后又去送狗三，回来的时候已经是凌晨。第二天即7月26号她还有闺蜜带狗三来我家吃饭，狗三酒量很大，我一会就喝醉了，但那时候我就看出来他俩关系不一般，（后来才知道她和狗三来我家之前先去的前妻爷爷家，前妻爷爷也看出来她俩有问题。）那天吃完饭以后，也是送狗三回去，很晚才回来的。之后还是吵吵闹闹，我也烦了 于是在7月31号去民政局预约了离婚登记。登记完还去超市买了东西，她看到超市有卖桃的（之前她给狗三家卖了不少桃），拍个图片发给狗三，之后在超市买了不少东西，我还给她编了手链。冷静期期间 我们也是一直吵架，分床睡 但性生活还有的。她和狗三还是天天聊天到很晚，还频繁跟闺女互动，但闺女对狗三很反感，七夕情人节的时候还问我要礼物，我转给她200块钱。之后和孩子狗三她们三人去泰安玩了三天，（也是离婚后知道的）。回来后我们一直在谈离婚协议的具体内容，承诺双方都不告诉家人，离婚后我还在这住。8月29号岳父回来，她很早就去接岳父，岳父当时感觉就不对劲（其实那天她是和狗三开房去了），但被她敷衍过去。8月30号跟我和孩子说她在外面聚餐喝酒，晚上不回来了，我也没当回事，第二天上午岳母去她工作的地方找她，她说在办公室，岳母说我就在办公室，她又说去调病例了 岳母也没追问。9月1号她和岳父岳母去接退役归来的舅子 ,下午我们去正式办理了离婚手续，孩子抚养权归她我每月出2500元抚养费，房子归孩子所有。当天晚上她就告诉了舅子，舅子说你们的事我管不了。9月2号岳父岳母她和舅子去舅子学校下午六点多才回来，然后我们去表弟家随礼，她借口累了没去（实际上是和狗三约会去了），在她没回来之前，孩子说她妈天天跟狗三于涛聊天，去泰安也有狗三，我当时懵了，这是被她和狗三联合算计了。之后我们还有性生活，9月5号她闺蜜知道我们离婚了，来劝但无济于事，我把她跟狗三去泰安告诉了岳父，被她矢口否认，岳父也不相信她会做出这种事情，直到后来闺女说了 家人才信。9月8号她 她闺蜜 舅子和狗三在一起吃饭，具体谈话内容不详，之后发生了激烈争吵，舅子烦了 让他们分手，他也答应分手，第二天他们再次见面，之后聊天变得隐秘，9月18号我发现她还在跟狗三聊天，闯进去夺她手机不给，说不是狗三，然后告诉了舅子，舅子也劝她别生气。9月20号她借口去济南拿中药，需要在济南住一晚上，我将信将疑，但她说如果再和xx联系，就让车压的胶黏（实际上没去济南，就是去跟狗三约会了）。22号朋友发现确定她还在跟狗三联系，告诉了她闺蜜，她闺蜜告诉了岳父，岳父质问她 她还反驳，岳父说我胡编乱造我拿出了证据 岳父这才相信。9月23号她上午和晚上去狗三家两次，期间和岳父发生了激烈争吵，岳父一看压不住了 告诉了岳母，岳母跟她晓之以情动之以理，她表面答应，背地里还在联系。10月4号发现后，她和狗三直接离家出走，去了青岛，岳母气的心脏病突发，住进了医院，幸亏送的及时，紧急手术后在重症监护室待了两天 脱离危险，手术前岳母一直跟她发微信，让她回来，她置之不理。一个半月以后她想孩子回来了，答应不再走了，但也不会复婚，把岳母舅子又气个够呛，。她回来的第三天左右狗三也从青岛回来了，他们还是隔三差五的约会，，一个月之后她发现怀孕了（她有肾病，不能生孩子），只能去流产，流产后住进了狗三家，她第二次离家出走，岳母更加伤心，整夜整夜的睡不着觉，而且心脏位置也隐隐作痛。在腊月15号岳母去狗三家把她骂了一顿，她竟然用砖头砸岳母，过了十几天因为快过年了,她一直给我发微信，我也没回，然后通过她朋友想回来，岳母也同意让她回来，再跟狗三过完生日后 除夕下午回来了。我晚上问她以后打算怎么办，他说面对现实，解决问题，过完年坦白。我也明白我们俩不可能了，她说狗三对她太好了，她赶到从未有过的温暖，虽然穷点，虽然狗三的母亲是瞎子她很满意，狗三催领证结婚催了三次，不知道什么她并没有立即同意。初二初三我们发生了性关系，但从那以后再没有过了，她还是时不时的去狗三家，每天还是跟狗三聊天到很晚。我最难受的是孩子现在和她一伙，昨天晚上孩子也赶我，不让我在这住了，其实我早就想走，但孩子不和我亲近，我真受不了。我不知道下一步该怎么办了，希望大家能给我出出主意",2024-04-05 07:59
婚姻吧,不知道该怎么办了 求帮助,海洋诺曼,心都不在你这 过着有何意义,2024-04-05 08:32
婚姻吧,不知道该怎么办了 求帮助,温格阿森纳,都离婚了，还住一块干嘛。协商带走孩子,2024-04-05 11:20
婚姻吧,不知道该怎么办了 求帮助,重轨,③,2024-04-05 13:21
婚姻吧,不知道该怎么办了 求帮助,寞小米,都离婚了，她爱咋咋的，跟你都没关系，快赶紧跑吧，不然她玩腻了回头又赖上你了,2024-04-05 14:22
婚姻吧,不知道该怎么办了 求帮助,芴儿010,太长还没分段···孩子不跟你也无法强求，等孩子在哪遭罪够了你再接也不迟，如果不遭罪就爱咋咋地吧,2024-04-05 14:36
婚姻吧,不知道该怎么办了 求帮助,sryyhw,过段时间狗三就不可能对她这么好了,2024-04-05 14:47
婚姻吧,不知道该怎么办了 求帮助,25386l,有什么好强求的，7月的时候我就不信孩子鸡毛不懂，她既然选择了女方那就放手，你该开始另一段了，虽然说孩子小不是很懂事但是也没人要求你一定要为了她如何奉献，万一她是白眼狼你死得渣都不剩，做好一个父亲应尽的义务，不亲就不要奢求了，你管不了那么多，最后直接断了完事，目前来看这孩子三观多少沾点问题，婚内出轨压根就没当一回事,2024-04-05 16:31
婚姻吧,不知道该怎么办了 求帮助,油腻男大叔,做事果断点，犹豫不决只会越来越糟糕,2024-04-05 17:43
婚姻吧,不知道该怎么办了 求帮助,fym1219862307,禁止公车私用,2024-04-05 19:21
婚姻吧,不知道该怎么办了 求帮助,蘇棉棉,狗三穷，又有个瞎玩老娘拖油瓶，现在肯定把你前妻哄好，要么把孩子要过来，要么把房子要过来。你这是啥都没落下，净身出户？成全狗三？每个月拿着你的2500生活费住你的房子睡你的女人打你的孩子？你前妻和狗三长不了。对她好都是装的。毕竟去哄个未婚小姑娘成本更大，都要车要房。哄你前妻结婚啥都是现成的,2024-04-05 19:22
婚姻吧,不知道该怎么办了 求帮助,燕晓六66,果断一点，都不要你了，你就要为自己着想了。房子怎么能给出去呢？,2024-04-05 20:00
婚姻吧,不知道该怎么办了 求帮助,逍遥游CFB,握不住的沙，随手扬了它,2024-04-05 20:43
婚姻吧,不知道该怎么办了 求帮助,偷电动车养你,孩子几岁？,2024-04-05 21:05
婚姻吧,不知道该怎么办了 求帮助,偷电动车养你,孩子如果岁数小不跟你也带着她大了会懂。还有婚内出轨这事必须要付出代价，是要钱还是打残小三你看着办，打算打残之前咨询下律师规避一下,2024-04-05 21:08
