贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,孩子有时候真的能治愈一切,一梦惊醒装睡人,大人已经离婚了，但是因为种种原因导致还在一个小区住，两个小孩有时间也是来回两家跑，他们整体还小，一个一年级一个三年级，虽然知道我们俩不在一起生活不太正常，但是具体什么情况，什么意义，估计不太清楚，也是等大了再跟他俩慢慢解释。今天老大让他妈微信转我20块钱，是卖家里废品给他的零花钱，我在外地好多没回去了，他是觉得我可能在外面没钱花所以把他的零花钱给我用，突然之间有点眼根发酸，，一直就知道，大人离婚，最苦的就是孩子，我们当初离婚的时候，尤其是冷静期那段期间，相互看对方就是各种怨念，甚至是拿孩子来相互威胁对方，后来尘埃落定，时间慢慢冲淡一切，感觉也就那样了，大人之间的感情已然结束，不管咋么样，孩子要尽可能不让他们受其影响，不管对方之前犯了什么错，对孩子来说，对方都是对他们最好的人，一个孩子的妈妈，一个孩子的爸爸，这也是离婚后目前相互称呼对方的方式，今天大儿子突然把自己的零花钱转给我，让我有点老泪纵横的冲动，以前老是想着自己的种种不甘与委屈，后来在夜场在夜总会这些地方或者是陌陌这些平台疯狂找女人来弥补以前的遗憾，给她们疯狂花钱，好像没有给我两个儿子买过像样的好东西，真是该死，他可以拿着20块钱去买奥特卡片，但是他怕我没钱花，就给了我，让我情何以堪，以后一定要好好疼我这两个孩子，也希望感情已经破裂的男男女女们，生活不止有前妻前夫，还有孩子呢,2023-08-26 23:38
婚姻吧,孩子有时候真的能治愈一切,贝加尔湖畔的夜,泪目了，这儿子不错,2023-08-27 04:02
婚姻吧,孩子有时候真的能治愈一切,贴吧用户_aUUCAKG,当年离婚给了上大学的女儿沉重一击，她三年没发过朋友圈，五年才从阴影中走出来，感觉自己欠孩子太多太多。,2023-08-27 06:50
婚姻吧,孩子有时候真的能治愈一切,闹来25,把自己的纵欲说得清新脱俗,2023-08-27 07:03
婚姻吧,孩子有时候真的能治愈一切,神雕侠侣过儿,有的人放着自己的孩子不养，却要当后爸后妈，不知道怎么想的？,2023-08-27 07:14
婚姻吧,孩子有时候真的能治愈一切,《许我向你看》,所以为什么夜总会常客呢,2023-08-27 07:36
婚姻吧,孩子有时候真的能治愈一切,lookforagirl,这还差不多，否则还叫人吗？,2023-08-27 08:36
婚姻吧,孩子有时候真的能治愈一切,小河边的小石头,你该死啊，二个好儿子都小学生了。你竟然没给他们买过像样的好东西？离婚之前，你总不需要报复老婆找女人吧，那时候怎么也没给儿子们花钱？！说明啥？说明你对家庭哪怕是只对你亲骨肉，都一直没负过责任！！你还委屈了。应该是你老婆长期受苦委屈！,2023-08-27 09:04
婚姻吧,孩子有时候真的能治愈一切,我不不不说话,呵呵,2023-08-27 09:10
婚姻吧,孩子有时候真的能治愈一切,枫落吴江冷,好好爱孩子吧，有时间多陪伴,2023-08-27 09:12
婚姻吧,孩子有时候真的能治愈一切,品酒小白,离不离婚都要对孩子负责任啊。鄙视那些为了自己的肉欲物欲对子女不负责任的狗男狗女。,2023-08-27 09:29
婚姻吧,孩子有时候真的能治愈一切,迎风摇曳苹果花,你离婚大概率是因为你从始至终都是个小瓢虫吧,2023-08-27 09:56
婚姻吧,孩子有时候真的能治愈一切,yqqhul,孩子懂事的让人心疼,2023-08-27 10:06
婚姻吧,孩子有时候真的能治愈一切,随风-抚,笑死，真有人信楼主会改过自新？真有责任心也不会遗忘两个孩子那么久了，这只是他一时感动而已。,2023-08-27 10:23
婚姻吧,孩子有时候真的能治愈一切,盗梦杰夫,女人出轨无外乎是她想要的你给不了，谁又会永远陪着谁，珍惜眼前的一切，过去的就让他过去吧,2023-08-27 10:33
