贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,我想我是该放手了,我爱饭米粒,本人今年32，现外面有十几万外债，目前工作不稳定，跟她前年结婚的，有一子，这几年来我对她的关心确实少了点，因为本人内向，不善于表达内心的情感，但是在物质跟那方面都能满足她，从我负债开始断断续续吵架和好，她这个人控制不了自己的脾气，伤人后又会跟你和好，离婚提过很多次，基本都是她提的（前些天我们已经去民政局把暂时的协议欠了，需要一个月的冷静期，不过后来又跟我说不离，每次都一样），从年初到现在一直在家待着不去找工作，其实我一直不怎么想离，一是因为孩子还小，二是还是有感情的（还有她妈妈也离婚了，她再离婚应该找不到下家）她经常提离婚的时候我就跟她说，你要是外面有人了，我可以放你走，毕竟我欠了一屁股债，她一直都说没有，我也没发现过，就在今天我回家，她在电脑屋听歌声音很大，没听到我回来关门的声音，我过去她吓一跳，那反应真像有不可告人的秘密，她把手机关了（她手机有密码我打不开）我说你把手机给我看看，他说我不相信她，经常看她手机（我这几年来一年最多看2到3次她的手机），我站在她身后就是想看一下，她说这几年来我都没怎么关心她什么的，我真的是心冷了，十之八九跟别人在聊天（不能让我看到的聊天），我不配，我这个欠这么多钱的人不该耽误她（她也有几万钱信用卡的负债），我最恶心对婚姻不忠的人，还有很多细节我不知道怎么说，关于她我还有她跟我父母，反正一言难尽,2023-02-19 22:56
婚姻吧,我想我是该放手了,牛恩德粑粑,兄弟你要是想过下去就别查了，越查你越绝望，但是也要跟她说清楚，你跟我三年前的情况一样，那时候我也是个人原因负债10几万，出于内心的愧疚也想离婚放她走，她也没有离开我，今年的情人节给我查出来给我绿了，哎。根据你自己的情况要把你怕发生的事情扼杀在摇篮中，不要让它发生！,2023-02-19 23:04
婚姻吧,我想我是该放手了,千金不换,哪有内向的男人，除非没结婚，结婚后的男人，都会比以前会说,2023-02-20 00:03
婚姻吧,我想我是该放手了,那个幸福的耶,差不多，想过下去别看，状况跟你差不多，心没变就好,2023-02-20 02:16
婚姻吧,我想我是该放手了,后面没有更多,没钱就不该结婚，害人害己,2023-02-20 07:42
婚姻吧,我想我是该放手了,逝水流年,都这样了还指望个啥？各自疗伤，各自安好就已然不错了。,2023-02-20 08:01
婚姻吧,我想我是该放手了,你是的瓜哇汁,建议赶快离 别耽误人家找下家,2023-02-20 08:08
婚姻吧,我想我是该放手了,牛头仁,她只不过是要你的钱去找别人，因为她知道对方不会接受她,2023-02-20 08:57
婚姻吧,我想我是该放手了,破茧成蝶飞飞,你是没担当，其实欠债都没啥，只要你能干有担当，女的不会提离婚，女的只是用离婚让你变好，你脑子没转过来，,2023-02-20 09:25
婚姻吧,我想我是该放手了,看到你的笑101,我老婆自从有了孩子一直待在她爸妈家孩子都两岁半了，孩子刚生几个月我就叫她过来跟我一直我在的地方离家远，两年分居她也是出轨还是跟认识十年的男人，今年过年背着我出去约会事后跟我坦白说跟我过来好好过日子，会把微信手机卡换了过了几天就说不去了，我已经绝望了这样的人已经不抱希望了,2023-02-20 09:55
婚姻吧,我想我是该放手了,高筑墙广积粮缓称王,男自强女留微,2023-02-20 11:00
婚姻吧,我想我是该放手了,贴吧用户_7baNZ1b,男人真得要自己硬，心理素质强大，不然想做啥都困难重重，有心也无法实施，陷于纠缠无法分担一份心给需要维护的爱情和婚姻,2023-02-20 12:08
婚姻吧,我想我是该放手了,贴吧用户_0CbZQ3N,要想生活过得去，就得头上带点绿。。  难得糊涂啊  反正孩子是你的   等孩子长大你再一脚把她踹了,2023-02-20 12:36
婚姻吧,我想我是该放手了,贴吧用户_0CbZQ3N,其实说到底还是我们男人没钱了   女人就是一定会跑的   自古以来的道理,2023-02-20 12:40
婚姻吧,我想我是该放手了,吓得我手抖,二楼的大哥说的没错，想过下去就别查了。不一定就是网络里的，被甜言蜜语攻略了，认真警告下，改了就是好同志，不代表她真的出轨了。再发现就坚决离了吧。毕竟机会也给了。,2023-02-20 15:08
