贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,求助我现在该怎么办日子过不下去了,只要有你陪,结婚9年，有一个男孩6岁，男的长期出差，有暧昧对象，不知道发展到哪一步，去年冬天我发现后就跟他吵，骂他，他终于在今年五月份忍受不了，跟我提了离婚，中间无数次吵架，沟通不了，7月初我们去离婚登记了，协议写的一个月给孩子3000抚养费，信用卡债他还，车给他。冷静期过了之后过了半个月他催着我领证，但是犹豫孩子小学报名，户口本在学校压着，所以到现在也没有领证。我不想离婚，因为我不想让他称心如意。不想让孩子自卑。#离婚#我们两个住的房子是他妈妈的，我现在带着孩子搬出来租房住了。心里不舒服，想不通他为啥要这样，去年夏天他确诊冠心病，心脏下了支架，都这样了为啥不能好好过日子，非要作。唉,2023-08-21 16:53
婚姻吧,求助我现在该怎么办日子过不下去了,好呆,现在支架的太多了，可能是你一直骂他吵架，外面女人又找她，他才离婚吧，如果以后你一直揪着不放这件事他日子也不好过，干脆不过了，我觉得有时候一个人出轨也也可能两个人都有错，也可能出轨人品有问题,2023-08-21 17:16
婚姻吧,求助我现在该怎么办日子过不下去了,追风者飞,你就这么心软吗？他对你这样，你也自私点,2023-08-21 18:08
婚姻吧,求助我现在该怎么办日子过不下去了,贴吧用户_G92tMe7,你们都不能冷静下来沟通解决,2023-08-21 18:32
婚姻吧,求助我现在该怎么办日子过不下去了,厦门污妖王,你是抓到他们开房了吗？没抓到，暧昧又如何,2023-08-21 18:33
婚姻吧,求助我现在该怎么办日子过不下去了,朱 紫,离吧，这样吊着只会对孩子伤害更大的，晚痛不如早痛,2023-08-21 18:46
婚姻吧,求助我现在该怎么办日子过不下去了,xaster520,如果你所说属实，赶紧离吧，你拖着只会伤害所有人(包括孩子)。他没要孩子和催着领证，都是为了尽快再婚，这种人无法挽回了，你为了让他难受而拖着，你只会更痛苦，对孩子也不好，你也没法开始新的生活。,2023-08-21 18:56
婚姻吧,求助我现在该怎么办日子过不下去了,cl0931,你不离，那就是默许他了，他会更嚣张的。但是你们离婚协议看起来对你很不利啊，你连房子都没有，还得租房，3千够什么用的？还不如孩子给他，别心软，他带不了没事，到时候可能是他求着你不离。,2023-08-21 19:04
婚姻吧,求助我现在该怎么办日子过不下去了,1只小月亮,看出来了，不离婚是因为楼主经济能力不够，扫地出门就没地住了,2023-08-21 19:20
婚姻吧,求助我现在该怎么办日子过不下去了,贴吧用户_QA69U7A,孩子，上学给父亲带，周末接出来。自己先解决生存问题。有能力了才能给孩子更好的未来。,2023-08-21 19:49
婚姻吧,求助我现在该怎么办日子过不下去了,不动的小白兔,你俩这关系就应该正常离。别要孩子别给抚养费。找下家去吧,2023-08-21 20:11
婚姻吧,求助我现在该怎么办日子过不下去了,幻想的ying,因为他长期不在家，你们算异地，男人是离不开女人的，老婆不在身边，他们闲下来就会开始撩骚，然后慢慢发展到你接受不了的地步,2023-08-21 20:44
婚姻吧,求助我现在该怎么办日子过不下去了,三和挂壁大神,你这么傻。离婚你要租这个房子，孩子得跟自己，生活费可以低点,2023-08-22 00:02
婚姻吧,求助我现在该怎么办日子过不下去了,kerais,别离，各玩各的，跟他耗着，吵架都不用怕他,2023-08-22 09:27
