贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,网友分析分析,ciyifenyilai,我未婚 找了个已婚的女人她结婚两年半了还没有孩子 因为她老公出轨多次分居冷暴力她 她想离婚我才跟她交往的 目前已经登记了离婚冷静期也过了 她老公发现我们的关系了 就是不去领离婚证 她老公还找我我没承认 现在她老公怕她联系我把她叫回去了说是必须在他眼皮子底下 她要找男人就不跟他离就这样拖着 现在我们只是偷偷的联系 我经常催她去赶紧离了 她却说怕她老公把事闹大 不想顶个出轨的命 实在不行就起诉 有时候她还跟我生气 说她不想去想这些事心烦 我觉得既然你她铁定跟他老公要离 就应该给我个态度 毕竟对我不公平不是吗，我现在感觉因为他老公出轨过她是不是为了报复她老公才跟我交往的？,2023-10-26 15:41
婚姻吧,网友分析分析,等风来。，？,离婚的女人不能要 过来人的忠告,2023-10-26 16:04
婚姻吧,网友分析分析,极右穆颜,当你说两年半的时候我就知道你是编的。,2023-10-26 16:19
婚姻吧,网友分析分析,Memory丶丶,这还用问，当然不要了,2023-10-26 16:22
婚姻吧,网友分析分析,我在南宁当保安,我跟你一样，但是我已婚，然后对方离婚成功了。她跟我玩了这一段时间，只是不想那么痛苦而已，现在大家也是做陌生朋友，对方只是在利用你而已,2023-10-26 16:43
婚姻吧,网友分析分析,MisakaSN10032,我给你分析一下，抛开你的自我感觉良好，你就是一男小3，知道后果不，最高是被刀,2023-10-26 16:47
婚姻吧,网友分析分析,Y镜中花影,你直接说你是小三,2023-10-26 16:57
婚姻吧,网友分析分析,現實中的法師,不要只三当三。只要他们还是夫妻，说得再天花乱坠你也是三，记住这一点。,2023-10-26 17:35
婚姻吧,网友分析分析,喵啊喵哦,你们作过了吗,2023-10-26 17:37
婚姻吧,网友分析分析,爱珠珠绣玲姐,活该！这样的女人也敢要？保密工作都做不到位……,2023-10-26 17:52
婚姻吧,网友分析分析,贴吧用户_JQyRM44,她老公肯定是把她叫回去多用几次了,2023-10-26 17:56
婚姻吧,网友分析分析,李存勖中兴大唐,到时候你被人家男的刀了别怪吧友没有提醒你,2023-10-26 18:14
婚姻吧,网友分析分析,花开不堪须折枝,凯子！,2023-10-26 18:22
婚姻吧,网友分析分析,顾均,做小三要不得,2023-10-26 18:25
婚姻吧,网友分析分析,幻梦一场24,她老公有绿帽嗜好,2023-10-26 18:26
