贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,聊聊真实的婚姻的事没结婚的别进,油闷大虾88,"如果有说的违反贴吧规定的评管理员通知我，我删帖，我之前一个17年的号在婚姻吧被发帖后被封了3万天，晕
长话短说，刚才在短视频看到一个博主说他朋友的事，女的要男方把拆迁房给她弟弟一套，男方不同意，女方就回娘家，不照顾两个孩子，男方也没认怂。最后女方认怂想和解，男方提以后家里钱归男方管，并且以后不见女方亲属女方不同意，否则就离婚，目前还没解决
我一个发小，他媳妇想参与他的公司经营主导权，并且想安排她娘家人进入男方公司权利层，还要支配男方其他方面的收入，男方不同意，女方就回娘家不管两个儿子了，并要把其中一个孩子户口转到自己名下，（女方是非本地城镇户口，即农户）大概1年多，又找男方，男方起诉离婚，必须离，但是女方如果愿意继续照顾孩子，可以继续以夫妻的名义一起生活，并回复离婚前的财产支配权，但是必须离婚，也可以完全断绝来往。目前正在大院规定的冷静期，还没出结果
然后说我，我媳妇不止一次试探性的跟我提，以后拆迁给她父母一套回迁房，但是我们这边拆迁因为国家放缓节奏，一直说拆，也不知道哪天拆，但是也不能因为这八字没一撇的事离婚。但是我的想法也是，不能结个婚，生个孩子，自己祖辈的财产就换姓了？这太tm搞笑了吧？反正虽然以后房子肯定是越来越不保值，失去投资属性，但是我也不会同意资产外流的！
不能说的太细，怕被封号，大家可以发表意见讨论",2023-01-21 08:20
婚姻吧,聊聊真实的婚姻的事没结婚的别进,油闷大虾88,现实啪啪的打脸,2023-01-21 08:20
婚姻吧,聊聊真实的婚姻的事没结婚的别进,花果山你老姨,没看懂到底想表达啥呢 到底是说被封号三万天 还是说你老婆想霸占你家的拆迁房,2023-01-21 08:33
婚姻吧,聊聊真实的婚姻的事没结婚的别进,yjtjh1,扯远了，拆迁连八字都没一撇。,2023-01-21 08:53
婚姻吧,聊聊真实的婚姻的事没结婚的别进,冰雾凌霄,"第一个，短视频约等于拍电影，没有真实性可言。
第二个，木琴能不经过抚琴允许改户口吗？如果能，抚琴改回来就行了。
第三个，你家还没拆呢。就想着媳妇抢你财产了？
你说讨论真实婚姻，你举这几个都。。。就是挺。。。逗。。",2023-01-21 09:47
婚姻吧,聊聊真实的婚姻的事没结婚的别进,牛头仁,就烦这些给这给那的，给了对方懂的感恩可能还好，最怕给了还一副理所当然的样子，有的还跑了,2023-01-21 10:14
婚姻吧,聊聊真实的婚姻的事没结婚的别进,听涛,我想知道怎么被封3万天的？80多年,2023-01-21 10:53
婚姻吧,聊聊真实的婚姻的事没结婚的别进,鲜橙多_橘子_,能不能把封3w天的图片让我看看，稀奇,2023-01-21 11:19
婚姻吧,聊聊真实的婚姻的事没结婚的别进,油闷大虾88,我被封id youmendaxia,2023-01-21 13:20
婚姻吧,聊聊真实的婚姻的事没结婚的别进,无语子。。。。。。,我家没有这种事。我老公做工程的，这两年工程款有多难结大家都知道，我跟我妈借了十万给我老公发工资，我弟弟前几年买房找我借了5万，今年也主动还了。,2023-01-21 15:51
婚姻吧,聊聊真实的婚姻的事没结婚的别进,我道知,"我们这里说拆迁，十二年了还没有盖好。
为什么给她父母回迁房？让她父母住回迁房就行了呗，她再不同意可以后适当每个月给点钱。还有你不想给他父母回迁房，拆迁的房子是有你媳妇和孩子份的，她不跟你过了，离婚房子也有她的，应该比回迁房值钱吧？你还丢了媳妇",2023-01-21 16:24
