贴吧名,帖子标题,ID,内容,发布时间
婚姻吧,这种女人怎么去形容,李先生来了哟,本人婚姻太失败了，对象不管是言语还是行为上都看不上我，但偏偏又要嫁给我，我一穷二白，什么都没有，隔壁村的，都知道底。你说嫁就嫁吧，但总是跟我唱反调，不管我做什么决定都是泼我冷水！看到周围的人买车了或者买房了，阴阳我说某某人买车了买房了，你什么都没有！总讽刺我，吵过无数回了，每当她这样说我的时候我都会跟她说，既然那么嫌弃为何不离婚？她就马上闭嘴了！现在育有一女一儿，大的13岁了小的也快9岁了。前年有去民政局局申请过离婚，后来需要一个月冷静期就没离成。我是真想离，但眼下的境况确不敢离，房子刚装修好，一旦离了我一个人房贷难抗，两小孩也难受，憋屈也没办法。外人看她是相夫教子的，她就是那种我去做事她就去做，我不去做她也不会去做，多做一点她都不肯！只有我知道她这个人太虚伪了！她做错事了有外人的情况下你跟吵她不会理你的，但回到家了我就是放个屁也会被她噼里啪啦的一通怼！在家明明就是她的错说她了她会跟你吵翻天的！这种女人！哎！心里太憋屈了，想离又不够离！不离自己又难受！,2024-03-24 23:28
婚姻吧,这种女人怎么去形容,独居的小帅哥,给你生两个的那是真爱了。有的自由恋爱也只敢生一个。钱还是要想发赚的。,2024-03-24 23:47
婚姻吧,这种女人怎么去形容,贴，吧，用，户，,我觉得她是真爱，知道你宠她，才敢就般无理取闹，,2024-03-25 00:45
婚姻吧,这种女人怎么去形容,欧阳杛,"还算正常吧。
这山望着那山高罢了。
估计你平时也是不修边幅。
钱不好赚，但平时照照镜子、锻炼身体、讲究一下话术，提升一下自己的体型和人格魅力，相信你老婆就算抱怨也会变成玩笑了",2024-03-25 00:57
婚姻吧,这种女人怎么去形容,Noanswer,你还没有降伏她，不管心理还是生理,2024-03-25 06:38
婚姻吧,这种女人怎么去形容,爱上鱼的喵,这属于性格缺陷。这样的女人都是被毒鸡汤灌傻了。就算你有房有车，她还是一样会唱反调。你老婆原生家庭不正常或者小时候有过什么刺激。,2024-03-25 06:42
婚姻吧,这种女人怎么去形容,0大道至简0,十几年也没学会两人如何相处？一般十几年两人早就相敬如宾了，或者是过成好兄弟了,2024-03-25 07:25
婚姻吧,这种女人怎么去形容,zzm6043860,走她的路让她无路可走。等她累了才拉起来和她吵。你累了第二天就不上班了。专心致志的睡觉。既然不想好好过。那就彻底黑化。不要人家吵你你还怕影响第二天上班。我告诉你：置之死地而后生。你只有啥也不怕的时候她才会怕。你都有离婚的觉悟了。还有什么放不下的！你不让我好过我也不让你好过。大不了离婚,2024-03-25 08:26
婚姻吧,这种女人怎么去形容,对上,你太宠着他了，有时候也需要自己的底线，但他知道什么话该说，什么话不该说，时间久了，他没有意识到他说的那些话对你造成伤害了，你们需要好好沟通一下。让他明白，他说那些话对你也造成了伤害，对你们的感情也是一种伤害。要让他明白，没有人会无条件的包容他，人都是相互的，没有谁会一直无条件迁就另外一个人,2024-03-25 08:37
婚姻吧,这种女人怎么去形容,瞬间不知,生活是需要沟通 不要等对方去理解,2024-03-25 09:52
婚姻吧,这种女人怎么去形容,陈言默语,褒贬是买主！她在外人面前给你留面子，在家里怼你，是尊重你！女人都一样，就是发牢骚，有些事就坏那张嘴上。那就看你会不会哄女人了！她发牢骚就听着，完事了，再好好聊。让着点儿她，就当宠她，你心里就舒服了！,2024-03-25 09:53
婚姻吧,这种女人怎么去形容,昨天已经来不及,你的问题也很大，太过以自我为中心,2024-03-25 10:07
婚姻吧,这种女人怎么去形容,黑不溜鳅,拿你当跳板，跟你结婚只是权宜之计，她正在找比你强的男人，你要注意,2024-03-25 10:58
婚姻吧,这种女人怎么去形容,可爱的铜钱草,吵架都比冷暴力好，吵架最起码知道她想啥，总比天天给你甩脸子又不说为什么强多了,2024-03-25 12:25
