贴吧名,帖子标题,ID,内容,发布时间
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,Silent原子笔,"因为每个月要还房贷，老婆钱管得很紧，家里也是一直在攒钱装修，但是最近看到贴吧里饮月君真的很强，一下子就上头了，抽了6_粗加号_5，本来和老婆看中一款沙发，她一直很喜欢，我们本来都很满意，但是现在买不了，她就一直问我钱花哪里去了，就很烦，于是一气之下我就跑到别的城市去旅居了一个星期，也是想好好放空一下自己。
谁知道前天回家，老婆脸色特别难看，她说我肯定是在外面有人了，然后把她爸妈都喊了过来批斗我，这个时候我才知道原来在我走得这个星期，她去医院检查，怀上了我的孩子，但是想到我的所作所为，巨大的压力让她无法面对今后的生活，不知道什么原因，这个孩子居然就就变了！我听了之后很是气愤，也觉得十分荒唐，居然就为了买一个沙发，就为了我出去旅居的这一个星期，竟然就到如此地步，我想想我平时也是个老实人，家里的每一分钱都要从她那里过，如今更是活得一点自由都没有，于是硬气的说——“离婚！”她也哭着对我说——“离，就离！”
半夜里，我们分房间睡，我在书房里登上星穹铁道，看着饮月君的爆炸输出，不知道为什么，竟然从内心生出一种空虚和悲伤，想到我经营多年的婚姻，想到我那未曾谋面的孩子，我不禁泪流满面。
昨天，我们一起去民政局办离婚手续，但是因为现在有离婚冷静期，工作人员也是劝我们回去好好再想想，孩子没了还可以再要。我们目前还是分居的状态，但是我感觉这段感情持续不了多长时间。
有时候我想，人的命途或许真的各有不同。不知道为什么，一直就不想过太安稳的生活。或许我真正希望的是搭上“开拓”的列车，不问目的地的出发，跟一群朋友在一起，遇到各种各样美丽的风景，尽管这路途中满是艰辛。
现在，饮月君的卡池就要结束了，而我的婚姻也就要走到尽头，我也不后悔我自己强抽，人生如果没有一次任性，满是责任，那就像是神话里的西西弗，每天做得都是推石头上山，然后看着石头滚下去，那样的生活，该有多无趣呀。
有人说，饮月君是好，但是抽满命还是很贵的，对于这些人，我只想说，饮月君，哪里贵了？这么多年都是这个价格，好吧，不要乱说，国产游戏很难得，而且米哈游真的不是那种随便搞二次元就做的游戏，我玩米哈游玩了多少年？它怎么起来的我是最知道的，“是”，米哈游策划都差点把最强的技能掏给饮月了，差点饮月君信米了，好不好，真的乱说，这么多年都是648一单，“很划算”，有的时候找找自己原因，这么多年工资涨没涨，有没有认真工作，这么多年米哈游都是这个价格，我快疯掉了。",2023-09-19 19:32
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,贴吧用户_58St486,平民玩家抽个零命就好，理性消费。,2023-09-19 19:38
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,铃铃铃星,,2023-09-19 19:57
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,梦里繁花也搁浅,好活,2023-09-19 20:34
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,jky8053,这故事也太烂了....谁信谁sx,2023-09-19 20:45
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,爱尔兰的园丁,忽悠，接着忽悠,2023-09-19 20:47
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,没有上午,一眼活，代入感不足！,2023-09-19 20:48
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,力力力力力力,这样，你把6+5的号给我，然后跟你老婆说你痛改前非，这个号我帮你处理,2023-09-19 21:01
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,已经无所谓了都,这样整？,2023-09-19 21:03
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,理想乡-,玩原神玩的,2023-09-20 08:26
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,香喷喷大肉包,小作文又进化了，666,2023-09-20 08:28
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,白夜叉456,是假的我希望是真的 是真的我希望加大力度,2023-09-20 09:13
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,择篱v,好活，但不够好,2023-09-20 09:16
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,瑞哥无敌,3,2023-09-20 09:24
崩坏星穹铁道吧,为了抽饮月老婆跟我离婚了很后悔,风流鬼,,2023-09-20 09:36
