贴吧名,帖子标题,ID,内容,发布时间
德云色吧,离婚我应该退多少钱,彩色海毛虫,我们是2019年2月经人介绍认识的，2020年订婚的时候我对象家给了18.8万彩礼，2021年11月份底登记结婚的，结婚前，我爸给我买了一辆落地18万的车，登记的我的名字，他家给我买了5万的三金。婚礼酒店，婚庆，拍婚纱，烟酒都是男方出的钱，大概10万多点。结婚的时候，双方亲戚朋友给的礼金，除了双方父母各自收的，大概还有6万在我这。我对象经常在外地，一个月12600左右，我在政府做合同工到手2000。他的工资，因为公司包吃包住，他一个月留600，房贷4000，每个月给我8000。一共上交了13万左右。为什么离婚呢，他的房贷还有65万，利率比较高，我有朋友在银行，有个信用贷，利率比较低，想让他置换一下，去打征信才知道，从2019年开始，他就网上借贷炒股，亏了20个，一直拆东墙补西墙瞒着我，到今年7月发现利息都有10个了，我感觉简直天都塌了。他因为炒股亏损，天天不好好上班，打游戏逃避，工作也丢了，现在重新找了份5000块钱工作。发生这个事以后，他也不跟我说话，天天下了班就跑外卖，跑到12点才回来，不想面对我吧（反正遇到什么事，我生气，他都不找我，都是等我气消了主动找他，他才说话），大概过了7天，我跟他提出离婚，他爸妈上门来道歉，承诺他们会想办法把他借的钱还了，他自己也承诺不再炒股，好好上班，但是我还是觉得过不下去了，想跟他离婚，现在已经是冷静期了，还有10天，协议还没谈，大概要给多少钱，他家才同意离婚？,2023-09-07 06:14
德云色吧,离婚我应该退多少钱,彩色海毛虫,有人看嘛,2023-09-07 06:20
德云色吧,离婚我应该退多少钱,沙丘大虫子,婚后财产找离婚律师，该怎么分怎么分。彩礼退不退，退多少看人情世故。男方家看样子也不是因为钱不同意离婚的。,2023-09-07 06:38
德云色吧,离婚我应该退多少钱,孙哥的一根头发,这就离婚了？你奔着钱结婚去的吗，遇到困难不是想着怎么一起度过，而是第一时间离婚跑了，6,2023-09-07 06:44
德云色吧,离婚我应该退多少钱,彩色海毛虫,他爸妈已经问他家亲戚借钱把他网贷的钱都还了，他也劝过我，说不会再炒股了，好好上班，到欺骗了我太多次，我也不敢相信他了。,2023-09-07 06:49
德云色吧,离婚我应该退多少钱,魂╮枫,债务财产分割问题去咨询律师按你的说法是该离的,2023-09-07 07:01
德云色吧,离婚我应该退多少钱,纠结到遗忘,这么和你说吧，我之前被诈骗了十几万，然后瞒着老婆，套网贷还朋友，结果越滚越多，最后欠了差不多30万。今年五月我实在坚持不下去了，就和家里坦白了，我爸妈拿了15万，我老婆拿了结婚三年家里全部积蓄，帮我填上了，我现在每个月自己留700，房贷1300，给老婆交5000，但是我老婆也没提过一句一句离婚的话，只是让我以后听话，不要再犯傻了，慢慢的不也就缓上来了，现在在努力备战10月份的注安考试。我不是道德绑架，你好好再想想吧，看看这个男的还能不能信。,2023-09-07 07:22
德云色吧,离婚我应该退多少钱,AI大黄蜂,多少你自己不都写清楚了吗，车是你的，婚礼他们出的礼金至少他们有一半，还有上交的工资。房子你没说首付谁出的，还房贷你参没参与。三金彩礼什么的你自己不都算清楚了吗，把你的嫁妆和家庭开销从这些里面扣一扣，不已经出来了吗，还来问什么。不想这么分就去找律师呗。,2023-09-07 07:26
德云色吧,离婚我应该退多少钱,彩色海毛虫,房子是他家在认识我之前买的，也是他在还房贷,2023-09-07 07:29
德云色吧,离婚我应该退多少钱,贴吧用户_GCXGa23,才30个就离婚啊，你们两边都出点给还清就行了呗。能不离就别离，离婚再找那还不如这个呢。当然如果没有任何感情或者同情的话另说。,2023-09-07 07:36
德云色吧,离婚我应该退多少钱,丶必嚣张,离了，借的钱也会摊一半在你身上吧,2023-09-07 08:19
德云色吧,离婚我应该退多少钱,不想再低迷了,_钓鱼竿_你琴_马脸_biss,2023-09-07 08:21
德云色吧,离婚我应该退多少钱,我从来没去过纽约,房贷他交，每个月还给你8k，自己就留600。他犯了错，你第一时间想到的是离婚？你为这个家付出了多少呀，张口闭口他不对,2023-09-07 08:40
德云色吧,离婚我应该退多少钱,尼古汀·真,347,2023-09-07 08:40
德云色吧,离婚我应该退多少钱,Setsuna,别_钓鱼竿_了,2023-09-07 09:00
