贴吧名,帖子标题,ID,内容,发布时间
快乐吐槽吧,离婚冷静期出了,SaekiKojiroh,"不顾反对写进了民法典。
30+30，60天内，任何一方反悔就无法离婚。
配图就是告诉各位：哪怕对象长这样也要谨慎婚育。
这真的不是闹着玩的。60天无限循环是可以堵死协议离婚的道路的。
而起诉离婚，耗时极长极艰难而且受政策影响严重。举个例子，四川第一例家暴申请人身保护令案，一审不判离。
既然d国不让你顺利协议离婚，必然不会让你顺利起诉离婚。
小韭菜不够用了是根本。
邓颖超那一代用生命争取的正在被收回。
希望大家记住——
许进不许出的一定不是好事，比如传销。",2020-05-28 23:14
快乐吐槽吧,离婚冷静期出了,raidog,可怕(๑ó﹏ò๑),2020-05-29 08:45
快乐吐槽吧,离婚冷静期出了,roro稀饭,离不了，不结了很多年轻人会不会这么想,2020-05-29 09:03
快乐吐槽吧,离婚冷静期出了,墨墨无闻,可怕,2020-05-29 09:23
快乐吐槽吧,离婚冷静期出了,20KITTY13,以后怕不是连离婚都是用血换来的，呵,2020-05-29 09:33
快乐吐槽吧,离婚冷静期出了,散落吧人民币,正好不结婚了不可自由退出的高风险活动从一开始我便不会参加,2020-05-29 10:26
快乐吐槽吧,离婚冷静期出了,许你长安,真的服了，一股爹味，这种法律我都觉得丢脸的不行,2020-05-29 11:29
快乐吐槽吧,离婚冷静期出了,sssiss,不是说分居一年就要判离吗？,2020-05-29 11:58
快乐吐槽吧,离婚冷静期出了,倒立扣jio,害怕，希望在我死之前不要碰到这种事,2020-05-29 12:24
快乐吐槽吧,离婚冷静期出了,流年里的光,看完第一感想就是要不先别结婚了,2020-05-29 13:08
快乐吐槽吧,离婚冷静期出了,八分,韭菜不够了,2020-05-29 14:19
快乐吐槽吧,离婚冷静期出了,₊⁺青い果実₊,害怕,2020-05-29 14:33
快乐吐槽吧,离婚冷静期出了,安洁洛特灸舞,"非酋如我，结婚这种沉船成本巨高的赌博活动还是算了吧_(:_」∠)_
反正我自闭惯了，也不缺吃喝，自给自足挺好的",2020-05-29 14:59
快乐吐槽吧,离婚冷静期出了,贴吧用户_03NJQR3,啊,2020-05-29 18:33
