贴吧名,帖子标题,ID,内容,发布时间
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,窃符救赵信陵军,实话说我第一次离婚也有一定冲动的因素在内，如果当时有这个所谓的冷静期说不定就不会离了？其实这样冲动型离婚并不在少数，设置一个冷静期并没有什么坏处。当然有些人会说设置了冷静期就会让人不想结婚？或许有这样的奇葩，但数量或许会比冲动离婚的人更少一些。另外说什么冷静期会发生杀人暴力事件，其实不设置一样会发生。坐家里还可能被飞机火箭撞死呢。任何改变都有好有坏，重要的是权衡。,2019-12-31 12:28
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,窃符救赵信陵军,至于那些言辞凿凿会因为冷静期而不结婚的人，说的好像他们有女朋友一样，不设冷静期这些人一样不会结婚的，无非在吐槽自己的怨气罢了。,2019-12-31 12:28
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,starscream47,不评价，我觉得我当时做得够多了,2019-12-31 12:29
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,无数学校服装好,"家庭是社会稳定的基石，社会不稳定是一大批既得利益集团的梦魇，所以必须不惜一切代价保证家庭稳定。
在这个三段论的导引下，什么自由，什么选择，都见鬼去吧。",2019-12-31 13:02
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,就是爱小黑,我觉得没必要，反正结婚离婚自由，真分不开想复婚上午离婚下午再来民政局就是了,2019-12-31 13:18
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,雾隐冰腾,一个月也不算久了，这种设置也挺好的。,2019-12-31 13:25
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,不想上吊朱由检,提高离婚成本会降低结婚欲望,2019-12-31 14:24
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,薄荷糖百分百,主要是现在的离婚率蹭蹭蹭地上涨，现在你就从周围的邻居里找，都能找出几家离婚的出来，太普遍了,2019-12-31 14:42
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,格利高里在潜行,难道不是离婚率高会导致结婚欲望降低？,2019-12-31 15:48
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,减肥玩家,提高社会成本,2020-01-01 10:30
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,光之炼成,你们离婚都是吵个架就离了？没有冷战，没有分居？因为现在结婚离婚的手续都很容易，所以没太当回事随随便便就办了的年轻人可能确实多了，但是增加了离婚的困难只会让人在结婚时更加慎重，并不能阻止真正想离婚的人，应该说感情这东西到需要法律来维持的时候就已经挽回不了了，法律要干涉的话应该从更加能挽回的时期入手，从能消除常见的婚姻中矛盾的地方,2020-01-01 10:55
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,snowtime,都是官老爷拍脑袋想的，以为提高离婚成本就不离了，真想离，怎么都会离。,2020-01-01 15:25
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,无数学校服装好,"1、感情的破裂，对于离婚边缘的夫妻来说，只要一方主动且坚决，这个婚就是离定了。协议离婚不管你反不反悔，如果协议不成，还会跟着有诉讼离婚。所以在协议和法律诉讼之间再加一个冷静期的缓冲设置在本质上是多余且无效的。如果感情破裂可以因为再给多一个月的时间就能解决，那么很多人早就解决了，不会有今天这么多的离婚和这么高的离婚率。反过来也说明增加时间不是离婚的原因，更不是挽救冲动离婚的有效措施。
2、不管台面上承不承认，保护妇女权益应该是优先选项，我想对于这一点没有人会发对。提出离婚冷静期的初衷，其中就有为那些冲动的一方，尤其女人，提供多一个冷静和反悔的机会。出发点是好的。可是多设置一个环节，并不仅仅是多跑一趟多走一个月的流程这么简单的事情。它会增加离婚的难度，等于间接增加了日后诉讼离婚的数量，而离婚总数和离婚率并不会因此减少。因为增加反悔的时间和机会，等于增加了协议离婚的难度，但这个不能挽救婚姻，该离的不会因为反悔而不离，只不过是成本和时间会增多，最后都走法律诉讼离婚而已。
3、请记住，到婚姻登记处申请离婚已经是一个终点，是绝大多数摊牌者的终点，我们的民法修订者绝不能认为它还只是一个过程。其实在被我们忽略的离婚者之前的真正过程里，该挽救该反悔的早就发生过，既然是最后摊牌，那么就没有必要在终点再人为增设一个只是我们认为需要的所谓挽救过程。
4、往往在婚姻的终点，性别角色的差异被忽略。正如上述故事主人公所言，因为受到中国传统的思想影响，就算夫妻在闹离婚但还未离成的这段时间里，男的还照样可以在外面乱搞，甚至不用受到社会的任何谴责，而女的就不同，虽然在闹离婚，但毕竟还是未离，所以这时候还是会要有所顾忌，还是会受到婚姻道德的约束，所以一般到了离婚摊牌的时间点，只要谈判条件可以，反而想要尽快拿到离婚证的是女比男多。如果离婚是女方主动提出的，协议达不成，坚决要诉讼解决也是女的多，据最高法数据，目前法律离婚诉讼中有高达73%是由女方提起就可以证明。所以增加一个冷静期的环节，至少对于主动协议离婚的女人不利。以后73%的比例还会因此条例而继续增加。
综上所述，设立离婚冷静期是一个缘木求鱼的馊主意。结果会与挽救冲动的离婚背道而驰，只是为了挽救少数人的冲动而毁掉了多数人的自由。当然，目前连续15年离婚率的攀升也不会因此而停止，反而是在离婚都不容易都不自由的情况下会加速推动越来越多的人选择不结婚！这更是政策设计者不愿看到的结果。",2020-01-01 15:47
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,道半野狐-儒风,听过旧闻一则，男主在外招嫖，意外被拘事发，然后家人尽知，各种批斗，女方还是想离，可待冷静期后，又合好了，很有意思。。。,2020-01-01 15:48
新宋吧,设置离婚冷静期其实挺好的就是一个月有点久,贴吧用户_0GREZM9,结婚收费，只办结婚不办离婚，但是结婚的时候可以选择婚姻有效期，到期后自动离婚，有效期越长越便宜，终身的免费,2020-01-02 16:52
