贴吧名,帖子标题,ID,内容,发布时间
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,"离婚冷静期中
自证老五策t12是疾不是突",2024-03-20 00:43
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,"首先为什么离婚呢，因为他pc，第一次成功了，第二次成没成功我不知道，但是被我发现了，在东三省某c开头省会
第一次是23年8月末，第二次是23年圣诞节当天
其次我们的感情其实也出了问题，这是后话，我想到哪儿说到哪儿了",2024-03-20 00:47
无关剑三吧,睡不着吐槽一下我失败的婚姻,.菀菀.,放放屁股等踹,2024-03-20 00:47
无关剑三吧,睡不着吐槽一下我失败的婚姻,离异带七娃_浅肤色_,我记得你来过帖子,2024-03-20 00:51
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,"我们认识是我姐结婚，亲大姨家的，他和我姐我姐夫在一个单位，我们本地某政府企业，都是同事，他是伴郎，我是伴娘，那之前我们没见过
我们在一起时候呢，我姐是不太同意的，但是我姐夫很赞成，因为他是他们大老板的外甥，还挺先见之明的，我们结婚后，他俩出了一些问题危及到了他俩工作，是看在我俩的面子上他们大老板放过他俩了，还各自给他俩调到了他俩喜欢的岗位",2024-03-20 00:54
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,从前干采购他就很忙，是真的忙，早上六点就开始打电话要东西，晚上十二点了还要接电话，整天也不着家，一天打一百来个电话，我呢又很粘人，我总是给他打电话问他在干嘛，发微信问他，后来我打电话他就不接，发微信也不回，然后和我说没看见，事实上我给他打上一个电话的时候他正在通话中，一分钟之后我再打就没人接了，然后回来一看他手机，别人微信都回了，偏偏我的没点开,2024-03-20 01:12
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,我俩在家时候，充电器插在一个插排上充电，回卧室之后发现没拿充电器，我去取就会把两个都拿回来，他永远只拿他自己的，或者去卫生间，他去卫生间或者最后关灯，我都会拿着手机给他照亮，他也从来不会,2024-03-20 01:14
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,"他忙的时候其实我从来不怨他，对比他之后这个工作，每年上四个月休八个月
他说他一直爱我，但是在换工作的闲下来的2023年里，你敢相信两个相爱的人在家一天24小时十句话都说不到吗",2024-03-20 01:20
无关剑三吧,睡不着吐槽一下我失败的婚姻,鹤眠眠,"22年春节时候，就刚放开那会儿我阳了，自从阳过以后身体一直不好，这一年总生病
他第一次pc那次，我刚发了三天的烧，还没退烧，他非要去cc玩，我拗不过也舍不得，就和他去了，发着烧做了一夜的硬座，到了睡了一白天，就是在这个白天，他出去p了
这是他口口声声的爱我",2024-03-20 01:23
无关剑三吧,睡不着吐槽一下我失败的婚姻,青崖酒醉,囤囤,2024-03-20 02:11
无关剑三吧,睡不着吐槽一下我失败的婚姻,荣耀里,,2024-03-20 02:25
无关剑三吧,睡不着吐槽一下我失败的婚姻,卷飞飞,那不是第一次，去外地人生地不熟怎么找到的,2024-03-20 03:28
无关剑三吧,睡不着吐槽一下我失败的婚姻,枫糖浆小兔子,抱抱姐妹,2024-03-20 03:42
无关剑三吧,睡不着吐槽一下我失败的婚姻,那年丶长安,,2024-03-20 07:01
无关剑三吧,睡不着吐槽一下我失败的婚姻,hjsfvaj,谁家好人在伴侣还发烧的时候硬要出去玩啊，在坐硬座一夜,2024-03-20 07:17
