贴吧名,帖子标题,ID,内容,发布时间
极空间吧,空间劝退公司不大脾气挺大,iven4859,"内部论坛是他广告上作为一个卖点出现的 也就是极空间服务的一部分，居然能把客户从硬件层面封禁。公司不大脾气比世界五百强还大！！！
起因是我局域网拷贝电影到外挂硬盘上，webdav模式copy过去的时候老是断（独立电源  插电脑copy一两百GB都稳稳当当）
我在论坛发帖吐槽称之为“毁硬盘之王”，第一次给我号封了。
我当然不服，又不是在黑它，实话实说它还不爱听，又在论坛发一贴没想到直接把我从硬件层面封了，真是牛啊。
每次更新必定有新奇的bug等着你体验，论坛大把人骂。极影视算是它的标志产品呢，海报墙确实省心这点要承认，但是2202年了居然连排序都不支持你们能信？新建合集排序半年前就有人提意见我也提了，客服鸟都不鸟。
自己做不好就算了 你到时开放权限啊  呵呵  就是不开，让你花钱买个“他人云”，而不是“私人云” ，你装个jellyin，不好意思你装第三方的不给你硬解！管理员账户要管理其他账户的容量？要注销其它账户？对不起，要么不支持要么请等待30天冷静期，这***在办离婚手续呢！
总之，我是第一批Z4 8G客户，除了内网穿透比群辉威联通稍微好点，其它都不是多么出色，甚至可以说辣鸡。劝你们别入坑！！",2022-09-21 08:40
极空间吧,空间劝退公司不大脾气挺大,iven4859,上个图面得有人说我买都没买黑它,2022-09-21 08:43
极空间吧,空间劝退公司不大脾气挺大,iven4859,看了下 好像有其他人也被封了 牛啊牛啊,2022-09-21 08:45
极空间吧,空间劝退公司不大脾气挺大,ucgfeng,不敢买，等小米吧,2022-09-21 09:38
极空间吧,空间劝退公司不大脾气挺大,白曰梦游,继续关注，看看到底能有多少问题被爆出来,2022-09-21 10:00
极空间吧,空间劝退公司不大脾气挺大,贴吧用户_Ga4ZQ13,其实，群晖已经在大陆建了服务器，qc速度提升了很多,2022-09-21 10:07
极空间吧,空间劝退公司不大脾气挺大,我是真名2,"论坛有论坛的规则
那么多人提bug没有被封，你提为什么封？是不是带脏字了？是不是人身攻击了？
违规了，在哪个论坛都会被封禁的，有什么好奇怪。",2022-09-21 10:51
极空间吧,空间劝退公司不大脾气挺大,来大包,这个谈不上什么”从硬件层面封了“，吓死我了，还以为极空间干了什么呢。老哥你吓死人是要赔钱的！你这提示就是被封禁论坛权限了，不是啥硬件层面封了不让用了，要不然你想想是不是违反了什么论坛的规定吧......,2022-09-21 10:52
极空间吧,空间劝退公司不大脾气挺大,苏小天,被你这样一说，不敢买了，小公司的产品还是谨慎购买,2022-09-21 11:44
极空间吧,空间劝退公司不大脾气挺大,盛者无罪,偷偷告诉你们，极空间把试用账号的论坛也关闭了。服了这老六了,2022-09-21 12:44
极空间吧,空间劝退公司不大脾气挺大,zm7541,其实我更关心你论坛被封了后你的各项服务还能用不？,2022-09-21 17:11
极空间吧,空间劝退公司不大脾气挺大,莫邪8153,垃圾玩意,2022-09-21 18:51
极空间吧,空间劝退公司不大脾气挺大,春指处,我起初在群晖220+和极空间z2s犹豫不决，综合考虑，最后选了群晖720+。真的不好上手，熟悉了三四天才弄明白了基本操作。还挺好用,2022-09-21 20:36
极空间吧,空间劝退公司不大脾气挺大,侉侣行,还有这操作，本来看好极空间，准备11入手呢,2022-09-21 22:20
