贴吧名,帖子标题,ID,内容,发布时间
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,坐标醉花阴4合院，昨天已和平断锁，今日依旧不放过我,2023-09-24 14:01
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,共享绿帽,cy,2023-09-24 14:03
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,刚刚在世界当复读机，复读言论：恋爱脑怎么你们了，然后前情缘突然出现发出质问信息,2023-09-24 14:03
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,小纸约,cy,2023-09-24 14:06
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,先从跟前情缘开始玩一梦江湖2.0开始说吧，1.0的事情中间穿插着说,2023-09-24 14:06
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,某逆上的时候a了快一个月去肝了某逆，但是因为某碎太过下水道还是回来玩了糊糊,2023-09-24 14:12
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,好友一看就剩个前情缘，前情缘快四万修很厉害，我两万六。美滋滋的找人家带我玩。当时内心活动：他好好啊，居然带我打本,2023-09-24 14:13
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,非常崇拜前情缘，每周五都期待前情缘带我打本，然后当时我的小号赌出货了，最高12本高金，美滋滋的跟前情缘讲了，前情缘说：姐姐可以上点一万多的清水吗 我：当然可以，完全没问题，给前情缘倒了不少清水，还得他的结义和尚也倒了一些两万（好像是这个数）的心经,2023-09-24 14:16
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,然后就是比较日常的打打本，然后抖音分享分享美女视频然后某微分享日常，这其中我们谁也没说过喜欢对方也没说过网恋啥的，就跟朋友一样，他也叫我姐姐的，因为时差五个小时，所以我跟他经常活动在不一样的时间。但是还算和谐,2023-09-24 14:18
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,然后事件一出现，下墓事件。先放图，后面说细节,2023-09-24 14:19
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,我在下墓前明确告知，我不会下墓，他说没关系我开麦教你，我说我在上班不方便讲话，我能听，他也说好的，然后我们下墓了，他打最后一把的时候麦里有点模糊，没咋听清他就挂了，我也没多注意，然后我当时下墓队友打字的话没有弹幕，下面聊天框是宗师的消息！！！所以我根本没看见他打字的消息！！,2023-09-24 14:24
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,然后我没有选红鬼，队友变了红鬼，他和我就直接出来了，我拿满了，他没有拿满，就出现了上面的对话，我觉得有点尴尬，那没拿满可以再来一把嘛，他直接说以后不跟我下墓了，那不下就不下嘛，我也有点生气了，就直接下线了，然后他自己下墓又死了,2023-09-24 14:26
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,然后他不提这事我也不提这事。互相气着呗，最后我想了想我是姐姐，让让他吧，那就又提起下墓的事，我就说你这样的言论伤我心了，你太过分了。你得跟我道歉（其实这部分咋和好的我也不咋记得了，有点模糊） 然后就说了个对不起，然后就说下次一起下墓。我就说好。然后这事就当翻篇了,2023-09-24 14:32
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,然后过了没多久，可能就一二周。出现了事件二。楼旷事件,2023-09-24 14:35
楚留香手游吧,离婚冷静期你凭什么滴到新情缘,贴吧用户_5XUP78b,游戏里没截图，事后跟前情缘的聊天记录和跟姐妹的吐槽！,2023-09-24 14:37
