贴吧名,帖子标题,ID,内容,发布时间
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,"主线结束后，又变成沙盒游戏了，生活成了日复一日的重复，除了歌星妹妹告诉我要离开沙石镇，还有小春从阿塔拉学院寄来一封信之外，完全没什么变化，既然没事做，那么我干脆直接回到本次大更前，先和我海蒂老婆离个婚，毕竟之前海蒂的专属剧情都没完成（结婚的话，所有npc的专属剧情中爱心选项都不能点），这次重新体会一下和我海蒂老婆剧情中走到一起的感觉。
顺便说一下这次大更后恋爱方面的改动。
1，首先是加了一些npc的专属剧情，点击爱心选项后会提示，你对对方表达了爱意。然后根据爱心选项可以一步一步的修成正果，而青梅竹马妮雅甚至可以靠剧情直接走到求婚，一步到位，而不是以前的选择爱心选项单纯只是增加更多的好感度，靠送同心结才能在一起啦。以后重新玩的话，可以试试和米安，埃尔西是不是也能靠剧情修成正果。不过和卡托莉的专属剧情没能修成正果呢，对此我还有个疑惑，如果和卡托莉结婚的话，她儿子要不要也住到工坊来？目前还没调查清楚卡托莉儿子住在哪里，哪天等他下课后我去尾行一下。
2，当前送破镜子离婚后，好感度并不清零，还保留3颗星，很容易重新追回来。清零的话毕竟比较麻烦，不能送礼，不能合照，不能打牌切磋，更是不能约会玩耍，不过对此我有两个吐槽点，一个是凭什么破镜子比求婚戒指贵呢？还有一个是，离婚后没有丝毫印象，刚离婚竟然直接能和对方学会玩耍，对方像没事人一样欣然接受，啊哈哈哈！内心真强大都不需要冷静期么
3，如果有多个爱人，约会被抓现行后，以前是好感度双双清零，而现在是第三方吃醋清零，而正在约会的并不受影响。当然也可能每个npc性格不同，也可能是因为当时是和女教师简约会，简的人物设定尚未完善。
4，说下女教师简吧，之前我的帖子也提到过了，模型用的是卡托莉同款，身高几乎一样，合影动作一样，拥抱接吻姿势一样，跑步动作一样。跑起来那两个大长腿飞奔的样子就像跳远运动员。人物没有语音，约会时毫无代入感，没有个人专属剧情，喜欢的东西居然是各种宇航员模型。最离谱的就是，她正上课呢，找她约会，她竟然丢下学生直接就和你走了，啊哈哈哈，太没责任心啦。",2023-10-19 10:42
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,不过有一说一，虽然简老师人设未完善，但是这个人物还是塑造的不错的，看看人家这情感表达，果然是知识分子，热情中带着含蓄，浪漫中带着甜蜜，大大方方中带着俏皮可爱，虽然没有语音，单是看文字就把我代入进去了。期待以后能更加完善一下这个人物。,2023-10-19 10:48
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,和简老师在椭圆形月亮投影下约会，那一刻我化身成为木叶特别上忍月光疾风，看我一手透遁忍术，诶嘿，我隐身了你慌不慌？,2023-10-19 10:50
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,兔兔堕天使,你的月亮还是斜的？是不是bug,2023-10-19 10:53
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,"重新把海蒂老婆追到手的过程是顺利的，她选择不去迎合导师喜好，坚持自己的风格，结果没能取得第一名，这个时候她的内心是略有些失落的，不过输了天下赢得了我，这也算是失之东隅，收之桑榆吧。亦她心之所善兮，虽九死其犹未悔。
不过我想问问游戏策划，这第一选项和第三选项有什么区别么？",2023-10-19 10:55
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,"晒出我的后宫团队，阵容强大，真乃群芳荟萃，斗艳争奇，莺莺燕燕，各有千秋啊。
哎，可惜这些三千弱水都将在我和海蒂老婆复婚后成为过眼云烟。
说实话，我都有点舍不得复婚了",2023-10-19 10:59
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,最后祝吧友们也早日抱得美人归，有情人终成眷属。也祝愿成眷属的早生贵子,2023-10-19 11:00
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,贴吧用户_GDGAZtC,问一下是不是结婚后表白人家就必定失败了,2023-10-19 16:34
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,漂浪de剑客,如果结婚的话，专属剧情里的爱心选项压根就不能点。,2023-10-20 00:40
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,我们成为我们所见,老哥 花岗岩石在哪挖,2023-10-20 18:32
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,fatly,始终还是觉得妮雅来的太晚了，等结婚的剧情结束之后游戏也就完结了。最受期待的妹子就这？这么晚出场还不如不出场算了，以前波西亚可攻略的角色可没有这样的，游戏都要完结才慢吞吞出场。,2023-10-20 18:41
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,Blorg-观星者,间老师？米子姐买学校的附赠品,2023-10-22 04:03
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,夢醒之后,老哥问下给妮雅送同心结有时间限制吗，我现在在去遗迹之前，同心结老是送不成功,2023-11-07 23:56
沙石镇时光吧,无聊水一帖哎主线结束后好无聊哇,螺旋邦邦锤,想问一下，如果变成女朋友了，对话还有爱心选项吗。,2023-11-15 01:24
