贴吧名,帖子标题,ID,内容,发布时间
生命吧,不幸福家庭溯源,南熹,"近年来我国的离婚率很高。2010年我国有196万对夫妇离婚，到十年之后的2020年就增加到373万对夫妇离婚。2021年因“离婚冷静期”的规定，数字有所减少，但离婚加上处于冷静期的夫妇总数仍然在高位。

在很多中老年相亲节目中你也能感受到：很多离异的中老年人的上一段婚姻不但没有感到幸福，而且是充满伤痛，倍受打击和折磨。这些情况有时让人很困惑。
旧社会父母之命、媒妁之言的包办婚姻中由于婚姻不能自主造成的婚姻不幸福和痛苦，很可以理解。而现今明确规定了自由恋爱、婚姻自主的原则，而且任何婚姻登记处在为每对来登记的新人发证前都会当面询问他们个人的真实意愿，为什么还会存在那样多的不幸福婚姻，且离婚率仍然居高不下呢？",2022-07-28 15:04
生命吧,不幸福家庭溯源,南熹,"首先，婚前恋爱过程中的男女互相的了解难于作到准确、全面和深刻。
恋爱中的交往、相处毕竟是工余或假期中的约会。而不是真正生活在一起的朝夕相处。聚会和约会中当然也可以相互了解，但毕竟不能了解和感受到全部。
再者，恋爱中的男女本就相爱，有追求，有在一起结合和生活的愿望，当然就不会完全放松，不能完全展露自己的真实性质。为了得到爱，为了恋爱成功，就要努力展现自己好的一面，掩饰，回避自己的短板，努力给对方一个好的印象。这时恋爱的动力主要来自对于对方的外形、仪态、职业、和家庭环境的满意和欣赏，来自自身的性需求。而对于对方内在的品德、品质、性格、处事的思路和方式缺乏理性的深入的了解。
一旦同居或登记结婚，真正生活在了一起，特别是新婚期已过，或有了孩子以后，双方都会觉得已经得到了，放心了，也就大放松了。本来的面目和性质、性格、习惯就会完全显现了出来。这时如果觉得依然协调，依然适合，依然互相满意，那就是得到了家庭和婚姻的真正的持久的幸福和快乐。如果放松以后发觉对方像是变了一个人，自己完全不能适应，难于相处，难于接受，那就会痛苦，争吵或冷战，直至分居，离婚，或同床异梦，成为名存实亡的死亡婚姻。",2022-07-28 15:07
生命吧,不幸福家庭溯源,南熹,"真正了解一个人，应该是立体地了解。如他对于自己喜欢的人怎样？对于对自己有用的人怎样？对于不喜欢他的人又怎样？对上级如何？对他的下级又如何？在顺境当中如何？遇到挫折又如何？当遇到危险需要作出果敢行动或付出代价和牺牲时又能如何？
这样立体地观察和了解，才能真正了解一个人。当然要做到这样全面深刻的了解，确实也是较为困难的。",2022-07-28 15:09
生命吧,不幸福家庭溯源,南熹,"第二种情况是：
婚姻中的一方或双方并不是、或不完全是自觉自愿的。
很多事情证明：社会制度、各种规定虽然可以更新，改变，但人们的观念，特别是老年人的观念往往滞后。就像即使民（M）国取代清（Q）朝好多年了，有的男性还舍不得剪掉辫子，有的女性还从小缠足。
直至当代，有的父母对下一代的婚姻还存在着自己为其做主，给儿女指定对象，干涉儿女自己的选择的现象。他们觉得自己有经验，有阅历，看得准。心中还是想按自己的意志安排，以期儿女一生能够幸福。也有的父母为了事业和工作的需要，想和某人或某人领导的单位建立和拉近关系，于是就支配儿女的婚事，从而达到和某人成为亲家，以利于自己事业的发展的目的。
这种主观以自己的意愿强加在子女身上，干涉子女婚姻自由的作法或毁了自己孩子一生的幸福，并造成孩子离异，或在孩子并不服从自己的情况下，搞得自己家庭内部矛盾重重，甚至和子女中断来往，脱离关系。",2022-07-28 15:13
生命吧,不幸福家庭溯源,南熹,"性生活不和谐也是造成婚姻不幸福的原因之一。
比如一方性欲旺盛，另一方却欲望寡淡，甚至一方因心理或生理的原因呈现性无能的状态。性生活过程中进展不同步，不能照顾对方的感受，男方只从自身需要出发，或者动作粗暴等等都是造成婚姻不幸福，从而走向解体的原因。",2022-07-28 15:18
生命吧,不幸福家庭溯源,南熹,"夫妻之间除了性生活，更多的相处是柴米油盐的日常生活。日常生活的相处如果不谐和不愉快，时间长了，肯定会影响夫妻感情。
比如：起居习惯不同。一方早睡早起，一方午夜过后才睡，早上却睡懒觉，很晚起床。或是：一方爱干净整齐，甚至是洁癖。而另一方在这方面很不讲究，大大咧咧。
兴趣爱好不同，又不能体贴照顾对方的喜好，比如一方喜欢在书桌旁静静地读书，另一方却不停地和他（她）说话，而且非要对方回答；一方爱看电影，看演出，另一方虽然不得不陪着去，但却在爱人满怀兴致欣赏表演的同时呼呼入睡，甚至在观众席中发出鼾声；一方喜欢参加舞会，另一方即使不得不陪同前往，也最多是坐在边上旁观，板着脸看着自己爱人兴致勃勃地和他人翩翩起舞。",2022-07-28 15:20
生命吧,不幸福家庭溯源,南熹,"消费观不同也是引起夫妻关系矛盾到矛盾激化的一种原因。
比如，一方对过日子的开支很精细，不实用、不确实需要的东西绝对不买。即使确需购置的物品，也要货比三家，在性价比最合适时再购买。买到家的物品也会很仔细节约地使用，绝不随意浪费。花费时手很紧，存钱的意识却很强。但另一方消费的意识很强，只要口袋里面的钱够支付，那看到喜欢的东西就要买。即使同样功能的用品或服装，只要外形、花样不同，看着又喜欢，就要立即买回家。她或者他热衷于购物本身的乐趣。回到家把购置的物品陈列开来。当她或他问你这东西买得好不好时，你要夸她（他）会买东西，买得好！不然就扫了她（他）的兴，在两人关系中大大减分，积累了矛盾。",2022-07-28 15:23
生命吧,不幸福家庭溯源,南熹,"嫉妒心过强，对于对方缺乏信任也是对爱情和婚姻的杀手。因为生活不仅仅是家庭生活，还有社会生活。人要生活就要工作，就要有事业，就要在社会中立足，在家庭之外就不能没有同事、同学、战友、师生、朋友、客户、合作者等关系。当然，这其中就必然会有异性。
夫妻之间，你如果既不自信，又不信任对方，那就会草木皆兵，疑神疑鬼。于是就会出现查手机，偷听电话，偷偷跟踪，甚至雇私人侦探等等作法。对于异性客人到家访问，或自己爱人和某异性说话时间略长了一些，都会不高兴，频频查问，不停追究。
而对方遇到自己爱人表现出这种状态，也必然会反感，厌恶。时间长了，矛盾积累，深化，必然使夫妻关系走向冷淡，幸福感越来越少，反而容易使对方在家中感到缺乏爱和温暖，反倒容易使他（她）产生到家庭之外寻求理解，找寻温暖的欲望。
过分嫉妒的一方实际上不是在爱护和保卫自己的家庭和爱情，而是用实际行动给自己挖坑，把自己的爱人往外推，以自己超强的嫉妒心亲手破坏自己婚姻和家庭的幸福。",2022-07-28 15:27
生命吧,不幸福家庭溯源,南熹,"占有欲、支配欲、领导欲过强，致使家中没有尊重和商量、处理家事时从不考虑和重视对方的感受和意愿，这也是造成婚姻不幸福的重要原因。
如果在头脑中存在这种观念：既然对方和我结婚，她（他）就是属于我的，家中的一切也必须听我的，那就形成了强烈的支配欲！
所有涉及两人，涉及家庭的事情，都不和对方商量，自己就做出决定，付诸行动，这就会让对方感觉自己在家庭中没有平等地位，心情很不舒畅。时间长了这个家庭能幸福吗？前途又会如何？",2022-07-28 15:30
生命吧,不幸福家庭溯源,南熹,"冷淡和不负责任是婚姻不幸福或解体的另一个重要原因。
如借口工作忙，每天半夜才回家。或者说出差，几天，或更长时间不回家，也没有信息沟通，对家中的生活费用不闻不问，对孩子的功课、教育和成长不闻不问，即使回到家，也不和爱人多说话，自己干自己的事情，你问，他（她）也不好好回答。
这种冷淡关系的家庭能幸福吗？，即使另一方能忍，内心也是压抑和憋闷的，这样的婚姻关系和家庭生活能天长地久吗？",2022-07-28 15:32
生命吧,不幸福家庭溯源,南熹,"不良嗜好更是婚姻幸福和家庭稳定的杀手。
如：不但吸烟，而且没有节制。在客厅和卧室喷云吐雾。香烟几乎不离手，让自己爱人孩子也不得不吸入大量的他呼出的二手烟；
饮酒成性，一天三顿饭不离酒。无论家中还是外面饭局，每餐必喝，每喝必醉。醉了就撒酒疯，骂人，打人，摔东西。醒了也许能道歉，但下次照喝不误；
第三种不良嗜好是牌桌上的赌博，而且是豪赌。赢了，还想接着赢，输了，特想在下一把捞回来。输了家中辛辛苦苦攒下的积蓄，甚至欠下赌债，又去借高利贷。造成债主盈门，日子确实没法往下过了。",2022-07-28 15:34
生命吧,不幸福家庭溯源,南熹,"是啊！世上多少男男女女为爱情、婚姻、家庭期待着，追求着；
多少男男女女在追求的过程中感受着烦恼、困惑和伤害，也享受着两性之间的真爱和亲人之间疼爱的快乐和幸福。
不同的愿望会产生不同的努力，不同的目的会催生出不同的结果。
愿所有的恋人和夫妇在实践中，都能够悟到婚姻和家庭幸福的真谛！",2022-07-28 15:40
生命吧,不幸福家庭溯源,南熹,本帖内容就是这些,2022-07-28 15:41
生命吧,不幸福家庭溯源,活一天算一天,,2022-07-29 08:12
