贴吧名,帖子标题,ID,内容,发布时间
男权吧,蒋胜男建议删除离婚冷静期,慎独惜福修苦,"离婚冷静期本质上保护的是女人，是为了让女人不要因冲动离婚而降低生活质量少占便宜（少拿财产），尤其该提案由妇女报总编辑尚绍华女士提出——她会为男人着想？
但女权就是有岁月史书的本事，本身得到实际利益但还要倒打一耙把锅甩给锅楠，自己占尽便宜还要说男人鸭破
这其中，给男人植入的思想钢印是：婚姻对男人有利，男人都不想离婚
可实际上，男人之所以不能像女人一样离婚，是我们这里的制度设计让男人在结婚之前就付出了巨额经济支出与沉没成本，导致男人不得不尽力维持婚姻才能让损失降低到最小
这是从思想意识再到客观物质针对锅楠的全方位围剿
但凡我们的制度设计是个人财产归个人，但凡我们对男性主动离婚的社会评价如女人一般采取鼓励支持的态度（而不是陈世美）……你信不信，早就受够女人的锅楠们能让现在的离婚率再高一倍！
离婚冷静期，明明延长了男人的痛苦，却被塑造为男人占尽便宜的叙事，那我们就要和女权一起反对离婚冷静期，我们还要支持废除婚姻制度，不领证喜欢就在一起不喜欢就分开，男人不必对女人负责女人也不用对男人负责，每个女人都可以勇敢做单亲妈妈，每个男人也可以做单亲爸爸。",2023-07-13 23:53
男权吧,蒋胜男建议删除离婚冷静期,汝寻何火,希望下次r大就有这个提议出来,2023-07-14 00:59
男权吧,蒋胜男建议删除离婚冷静期,嘉然今晚抽什么,还是繁殖癌太多了,2023-07-14 10:21
男权吧,蒋胜男建议删除离婚冷静期,污浊的星辰,感觉纯纯是不婚男性在自我高朝。婚姻还是很甜蜜美好的。爱看。,2023-07-14 10:59
男权吧,蒋胜男建议删除离婚冷静期,jesee灬,因为男人一般不会主动选择离婚，选择离婚的大部分都是女性，所以设置一个离婚冷静期给她们多一点时间思考财产怎么分配,2023-07-14 11:45
男权吧,蒋胜男建议删除离婚冷静期,虹蓝永恒,离婚大多不都是女的提的嘛这家捞够了找下家再捞稳赚不赔。,2023-07-14 12:01
男权吧,蒋胜男建议删除离婚冷静期,暴風の辰,我支持女性拥有单方面瞬间离婚的权利,2023-07-14 12:13
男权吧,蒋胜男建议删除离婚冷静期,萌萌哒小吃货,一群吸血鬼，寄生宠,2023-07-14 12:43
男权吧,蒋胜男建议删除离婚冷静期,风过雷霆崖,现在大部分女人都是利己主义者,2023-07-17 07:00
男权吧,蒋胜男建议删除离婚冷静期,鲞,婚前财产分割,2023-07-17 07:49
男权吧,蒋胜男建议删除离婚冷静期,lanyerl10,建议不生小孩不要彩礼，婚前财产各自支配，包括贷款房，除非女生拿出婚后生活费超出婚前生活费的证据！,2023-07-17 08:40
男权吧,蒋胜男建议删除离婚冷静期,黑亲王,"结婚可能婚内强监，经济受损，女方出轨也有法律保护，孩子不是自己的。不结婚想睡谁只要能睡到就可以睡，睡别人老婆也有法律保护，经济不受损，有了孩子女方会拼命证明是你的。
所以要不要结婚自己看着办吧",2023-07-17 10:52
男权吧,蒋胜男建议删除离婚冷静期,不敢射正了,离谱，一个上面为了正机好看搞出来的工具竟然能被说成对受害者有好处,2023-07-17 10:53
男权吧,蒋胜男建议删除离婚冷静期,肥宅彩虹马,我的建议是车子房子全部签给麻麻，这样妈宝男就不会被鲜女收割了，她如果说要添名字就添个假的给她,2023-07-17 11:49
