贴吧名,帖子标题,ID,内容,发布时间
男权吧,难绷，我就知道离婚冷静期是用来干这个的,猫爪enjoy,,2023-03-25 12:07
男权吧,难绷，我就知道离婚冷静期是用来干这个的,鼎 ㉨鼎,所以结婚干嘛？找罪受,2023-03-25 12:22
男权吧,难绷，我就知道离婚冷静期是用来干这个的,帮帮我神罗天征,,2023-03-25 12:23
男权吧,难绷，我就知道离婚冷静期是用来干这个的,ErnestKe,开香槟咯,2023-03-25 12:32
男权吧,难绷，我就知道离婚冷静期是用来干这个的,猫爪enjoy,这怎么办，妈的男方遗产都要插一脚,2023-03-25 12:37
男权吧,难绷，我就知道离婚冷静期是用来干这个的,贴吧用户_5SG3SRX,俩人都不是啥好鸟罢了,2023-03-25 13:18
男权吧,难绷，我就知道离婚冷静期是用来干这个的,E.S.G.,冷静下来好好想想怎么扒拉钱,2023-03-25 13:21
男权吧,难绷，我就知道离婚冷静期是用来干这个的,半痴公子,老太太早点吃光玩光多好,2023-03-25 13:26
男权吧,难绷，我就知道离婚冷静期是用来干这个的,愚者`,都说祸不及家人，都离婚了自己家人遗产都要被分走，妖孽丛生啊，离婚冷静期如果最后还是离婚了，那么离婚冷静期时就算做已经离婚。恶心恶心恶心，没希望的,2023-03-25 13:30
男权吧,难绷，我就知道离婚冷静期是用来干这个的,开心厚乳,此造谣帖已被不法分子花钱拒删，回复必封,2023-03-25 13:30
男权吧,难绷，我就知道离婚冷静期是用来干这个的,用户_RADOVID,"我有一次去外面和朋友吃饭，看到旁边一个女生笑得特别荡漾，我就好奇过去说你看啥呢。
看了几眼我就吐了，
那个叫微博的地方，一大把女生在那侮辱男生，一个无意的动作，可能就会被女生骂做下头恶心。
尤其是稍微有一点肉肉的男生，她们就会说那肯定很猥琐。
说他们是**。进行侮辱耻笑嘲讽
一个男生简简单单的发言，甚至会被那些恶心的女生骂到她们爽快为止。
还有偷拍男生的照片，说一些下流的话，丝毫不考虑那些帅气男生的感受。
还有把最自己男朋友的事情发出来想让大家评理实际上就是让大家站她那一边对男方进行嘲讽点评。身为女朋友都为了热度挑起男女对立。
还有评价自己不喜欢的男明星甚至双方开撕的时候，尤其是我多看一秒就会吐出来的程度。语言恶心至极，攻击度拉满，就好像明星是她们衣食父母，对方的人是她们的杀父仇人。
简直没有下限。我也真的没想到，我身边有这样的朋友。真实的可怕。
看到这里的男生可以自查下吧，别发现自己的女性朋友里有那些人
也要小心自己的女朋友是不是背着你在微博上面分享自己玩的有多花还把你当老实人。
离她们远点吧，我不希望有天在微博里看见她们对你们污言秽语，挂你们【流泪】 【流泪】",2023-03-25 13:35
男权吧,难绷，我就知道离婚冷静期是用来干这个的,sakura好美,什么都分，什么不做，羡慕这环境，大家皆是菜,2023-03-25 14:02
男权吧,难绷，我就知道离婚冷静期是用来干这个的,还就那个化身_怒气冲冲的脸_,拒绝婚姻，从我做起,2023-03-25 14:05
男权吧,难绷，我就知道离婚冷静期是用来干这个的,丁不腻的真,,2023-03-25 14:21
男权吧,难绷，我就知道离婚冷静期是用来干这个的,Planck,遗产什么时候变共同财产了？,2023-03-25 14:58
