贴吧名,帖子标题,ID,内容,发布时间
百湖大庆吧,都谈一谈离婚冷静期,大s姐,都谈一谈离婚冷静期,2020-05-24 07:56
百湖大庆吧,都谈一谈离婚冷静期,大s姐,"【人大代表#蒋胜男建议民法典草案删除离婚冷静期#】5月19日，全国人大代表、《芈月传》作者蒋胜男接受新京报专访时表示，她拟提交关于建议删除民法典草案离婚冷静期的相关条款，认为离婚冷静期是“以极少数人的婚姻问题强迫绝大多数人为此买单”。她表示，“三十天离婚冷静期”引发了社会较大争议。条款出台的初衷本是为了避免当事人轻率、冲动离婚，维护家庭稳定。但以极少数人的婚姻问题强迫绝大多数人为此买单，在已经确认失败的婚姻中被迫延长痛苦，甚至因此可能激化矛盾，增加人为冲突，很可能结果与良好初衷适得其反。“离婚冷静期”还可能引发结婚率与生育率降低。
如果强制全员实行“离婚冷静期”，那么一个月的离婚冷静期很可能给男女双方特别是弱势一方带来更大痛苦。比如一方利用“离婚冷静期”，隐藏、转移、变卖或毁损共同财产；恶意借贷或者与亲友串通伪造借条、制造共同债务；加剧施暴、虐待、严重威胁等行径，毁灭出轨、家暴证据等等，使弱势一方陷入绝境。
任何一种关系模式，如果只有顺畅的进入机制，没有顺畅的退出机制，都会影响人们选择进入的意愿，让人们变得谨慎。结婚也同样如此。当离婚的成本变高，变成不能说离就离，而是经历一个月离婚冷静期的拷问才能离时，对于那些想要步入婚姻的人们来说，无疑增加了望而却步的可能。",2020-05-24 07:56
百湖大庆吧,都谈一谈离婚冷静期,大s姐,我认为不靠谱、,2020-05-24 07:57
百湖大庆吧,都谈一谈离婚冷静期,囡达老人儿,没用。,2020-05-24 08:26
百湖大庆吧,都谈一谈离婚冷静期,瞅啥都迷糊1979,凑合不下去了就离,2020-05-24 08:32
百湖大庆吧,都谈一谈离婚冷静期,热情的麻辣牛蛙,恋爱是两个人的事，结婚是两家人的事,2020-05-24 10:22
百湖大庆吧,都谈一谈离婚冷静期,enx98,劝和不劝离。,2020-05-24 11:58
百湖大庆吧,都谈一谈离婚冷静期,先生留步.,,2020-05-24 13:54
百湖大庆吧,都谈一谈离婚冷静期,千度幻音00,真是没有用,2020-05-24 19:25
百湖大庆吧,都谈一谈离婚冷静期,男吧友,能不能把双休普及到位，,2020-05-24 19:47
百湖大庆吧,都谈一谈离婚冷静期,带把的小桂子,结果这东西，不能凑合，也凑合不来,2020-05-28 07:28
百湖大庆吧,都谈一谈离婚冷静期,叮当叮叮当,既然已经决定离婚了给多久的冷静期都白扯,2020-05-28 09:39
百湖大庆吧,都谈一谈离婚冷静期,燕燕姐姐11,也是可以有的，万一有人在冲动的时候做傻事呢，双方考虑一段时间再做决定是最明智的，当然了俩人真是过够了给多长的冷静期也没啥用。,2020-05-28 13:43
百湖大庆吧,都谈一谈离婚冷静期,三百年前,闲得没屁格愣嗓子，那么多国计民生问题需要解决，整这**玩意浪费开会资源，,2020-05-28 14:13
