贴吧名,帖子标题,ID,内容,发布时间
离婚吧,16年婚姻结束了，写个贴记录下,小米花开,始于2007年12月24日，终于2024年3月15日。我和前夫，2005年认识，2007年结婚，2024年离婚，19年的青春和感情，说不痛是假的，感情的结束、家庭的破碎带来的疼痛，真的深入骨髓。从提出离婚到冷静期满领证，每天我都在思考为什么这么多年的感情走着走着就散了，41岁的人生将何去何从？所幸，我还有自救的能力，人生路漫漫，何必在糟糕的关系里自我消耗，希望往事如风，前路灿灿。,2024-03-29 11:01
离婚吧,16年婚姻结束了，写个贴记录下,小米花开,我和前夫2005年初识，我大学毕业回到家乡备考体制内，他是我闺蜜男朋友的兄弟，一次偶然聚餐认识，他一眼相中了我。那年我22岁，满脸的青春阳光，一心只想着好好考试。他的生活轨迹和我完全不同，中专毕业，很早就工作了，当时在一家国企工作。,2024-03-29 11:30
离婚吧,16年婚姻结束了，写个贴记录下,1998的森林,有很多心酸是因为你对他有很多付出，你一定很多时候感到很委屈很奔溃，最终还是要自己疗愈自己 慢慢走出来，也不是那么容易的，有过伤痕的人 伤疤看上去好了，可是内心的伤是难以抹去的,2024-03-29 14:05
离婚吧,16年婚姻结束了，写个贴记录下,张家二丫头,加油，一切往前看,2024-03-29 14:15
离婚吧,16年婚姻结束了，写个贴记录下,好梦已醒,拥抱🫂一下你,2024-03-29 15:07
离婚吧,16年婚姻结束了，写个贴记录下,ldw017251,人生犹如挤公交，坐旁边的，也许下一站就走了，也许和你到达的站点一样，你不是谁的谁，别人也不是件物品，得之勿喜、失之勿悲，时间冲淡一切,2024-03-29 15:08
离婚吧,16年婚姻结束了，写个贴记录下,龙庭飞,挺奇怪你的选择，大学生毕业会在人生刚起步时选择中专的，差距不是一点点啊，当时没人反对吗？能细谈下当时的想法吗？,2024-03-29 15:28
离婚吧,16年婚姻结束了，写个贴记录下,原神诡秘红毛缠绕,恋爱脑的下场,2024-03-29 17:26
离婚吧,16年婚姻结束了，写个贴记录下,只会溜猫,这么多年了，因为什么离婚呢,2024-03-29 20:22
离婚吧,16年婚姻结束了，写个贴记录下,贴吧用户_55Q1WM3,加油！,2024-03-29 22:20
离婚吧,16年婚姻结束了，写个贴记录下,贴吧用户_QD1DCUV,人生就是如此，很无奈！一切都好的！,2024-03-30 01:45
离婚吧,16年婚姻结束了，写个贴记录下,飘扬的小科,前路灿灿。,2024-03-30 10:35
离婚吧,16年婚姻结束了，写个贴记录下,酒毒,赶上直播了,2024-03-30 16:19
离婚吧,16年婚姻结束了，写个贴记录下,像我这样迷茫的 人,说出来好过点,2024-03-30 20:18
离婚吧,16年婚姻结束了，写个贴记录下,小锅锅锅,其实每个人都是过客。到头来还是进土里。所以活好每一天。今朝有酒今朝醉 明日愁来明日愁。活在当下,2024-03-30 20:45
