贴吧名,帖子标题,ID,内容,发布时间
离婚吧,7年多了！还是离婚了！,贴吧用户_JQ8K4ZD,她比我小十四岁，在同一个店上过一段时间的班，也是她主动找我的，后来就这么在一起了，结婚后就怀了现在的女儿，生完孩子后她带孩子，我上班，这些年她对我越来越差了，我条件不是很好，只有一套房子，父母已经过逝多年，上班时间也很长，没啥时间照顾家里，这几年也尽力把孩子的学费全包了，也给她每月三千的生活费，后来还把房产证上有写了她的名字，她本来说只能写她一个人的名字，说怕我把房子给败了，我没同意，所以就加了她的名字，她这几年也一直闹离婚，我都说孩子太小了，对孩子不好，今年八月份我查出来肾不好了，她也是不闻不问的，每次去医院都是我一个人，她从来不陪，还天天跟我吵架闹离婚，我不想离好好跟她说，她就拿孩子威胁说我不同意就去法院，然后自己跑把孩子丢给我一个人，我现在这情况还真没法带！她妈也来了，一家人对付我一个人，我身体现在不好不能太激动，她还天天骂我，我实在没法只能同意离婚，她连律师都找好了，离婚协议都弄好了，我已经跟她去过民政局了，提交了离婚申请了，就等过几天过了冷静期去拿离婚证了，今天又把那离婚协议书拿出来让我赶紧签字，我当时情绪实在没控制住打了她一巴掌，她回手就打了我七八下，还下死手，然后她报警说我家暴，这么多年我都没舍得下过一次手，这次实在没忍住，现在她们一家就拿我当仇人一样，真不懂咋有这么狠的女人！非得把我往***，我本想着说过完年办离婚，她就死活不肯！这次对我打击实在太大了！我感觉我真的是撑不住了！想死的心都有，咋我这么失败！,2024-01-14 22:56
离婚吧,7年多了！还是离婚了！,贴吧用户_JQ8K4ZD,我这人没啥心机！还以为结婚有了孩子能一起走下去呢，没想到我天天累死累活不嫖不赌了结果换来的是一纸离婚证，她们家一家人还拿我当仇人！,2024-01-14 23:11
离婚吧,7年多了！还是离婚了！,贴吧用户_JQ8K4ZD,现在身体也有问题了！以后都不知道这日子怎么过了,2024-01-14 23:12
离婚吧,7年多了！还是离婚了！,h353689009,"都这样了还不离 等她把你折磨死吗
照顾好女儿 一切都会好的",2024-01-14 23:39
离婚吧,7年多了！还是离婚了！,贴吧用户_JQ8K4ZD,女儿她带，她问我要扶养费！,2024-01-14 23:45
离婚吧,7年多了！还是离婚了！,贴吧用户_JQ8K4ZD,离是肯定离了！她们一家人都把我当仇人看，我再怎么努力也没用，刚还说以后天天都不会让我有好日子过，我现在都啥也没了，她还要落井下石！我真不理解她这有必要对我这样子嘛！真就这么恨我的嘛,2024-01-14 23:51
离婚吧,7年多了！还是离婚了！,聊表歉意i,看开点吧，慢慢来，会好起来的,2024-01-15 00:28
离婚吧,7年多了！还是离婚了！,huyang520l,你身体不好快挂了你还怕什么？,2024-01-15 00:43
离婚吧,7年多了！还是离婚了！,云水洛神,这么惨,2024-01-15 00:46
离婚吧,7年多了！还是离婚了！,贝加尔湖畔,让她净身出户！,2024-01-15 01:00
离婚吧,7年多了！还是离婚了！,六指魔琴,她家里人都来了，恐怕是有啥动机，至于你天天上班时间很久，她有出轨的嫌疑，打架下死手说明她心里完全没有你，打内心厌恶你，现在你离婚你说你肾脏不好推断你不打算再结婚，或者说再生育可能性不大，所以我觉得女儿应该要回来，她给抚养费。这样你老了还有个女儿在身边平时也不会太孤单。,2024-01-15 01:19
离婚吧,7年多了！还是离婚了！,雨中之情人,多半是外面有人了,2024-01-15 02:50
离婚吧,7年多了！还是离婚了！,曾经蔚蓝*,第一，你回忆一下她是否有出轨的迹象，所以这样对待你？第二，没有导火索，她和全家就突然这样对待你了？还是自从你得了肾病后才这样？第三，你最大的失败就是房产证写她名字，除非当初她出了一半钱，不然刀架脖子上也不能写女方名啊。第四，认栽吧，你要明白，世界上不是每个人都像你一样纯良，她在要求加上名字的时候，想必已经考虑到这一步了。,2024-01-15 03:03
离婚吧,7年多了！还是离婚了！,你太☆诚实,兄弟保重身体啊，肾病对身体影响很大的，稍微不注意就是肾衰竭，先保住身体，其他先都不要多想,2024-01-15 03:11
离婚吧,7年多了！还是离婚了！,码l3骸k9,相差14岁，玩够了，可以了,2024-01-15 04:17
