贴吧名,帖子标题,ID,内容,发布时间
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,2020年元旦相亲认识，4月订婚，12月结婚，2021年生了一个男宝后在家带娃，因为性格等各方面原因两人婚后相处不和谐，所以聚少离多，2022年4月和他家彻底撕破脸，带着儿子回了娘家，提离婚男方开始不接受，拖了一年多，最近男方终于答应离婚，上周刚去民政局办了手续，要等一个月才能换离婚证，本来打算离婚了就不找了，但是家里和朋友都劝我再找一个，趁着还年轻，本人92年的，目前在机关单位工作，无编，不打算争抚养权，但真的不打算再找，准备自己一个人度过后半生，无心情爱,2023-12-26 09:31
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,我给的建议就是不要把后半生的幸福轻易托付给相亲的，相亲不是图色就是图钱，为了达成目的都会伪装自己，而且对方的人品就像开盲盒一样，如果没有处到知根知底的程度，真的不要轻易定下终身大事误自己终身,2023-12-26 09:37
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,我是17年家里就给我开始安排相亲了，相了几年没有遇到几个合适的，唯一一个相中的，对方没相中我，所以人是相麻了,2023-12-26 09:41
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,是啥时候俗,我男的，我也不想在找了，这玩意跟谈恋爱不一样被伤到是真疼。,2023-12-26 09:47
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,19年的时候和一个游戏认识的一男的网恋奔现，结果相处了段时间后发现对方是个骗钱骗色骗感情的画饼男，虽然钱没被骗多少，但被骗了色让我感到无比恶心，此时对感情已经心灰意冷，每天浑浑噩噩，但是家里给安排的相亲还是得继续应付，正在我迷茫失意的时候遇到了我前夫哥，在我陷入迷茫中，他对我的百般呵护，让我产生了错觉，以为遇到了对的人了,2023-12-26 09:54
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,都有逆鳞,我前妻86的都找了一个小十岁的，为什么不找，你这又不要孩子，我前妻也没要孩子,2023-12-26 10:19
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,跨山覆海,活得开心就好,2023-12-26 10:23
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,现在对婚姻都是恐惧，结婚三年，分居一年半，剩下的一年半有大半时间也都是在冷战中度过，包括孕期也是,2023-12-26 10:28
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,一开始对我的好都是伪装，订婚了之后就开始暴露真面目了，全家和媒人一起串通好骗我说他家不负债，还说前夫哥不赌博，后来孩子生了以后才得知他们家负债累累，我在孕期和在家带娃期间没有给过我一分抚养费和生活费，因为他们问我要回彩礼钱我不肯，他们就记恨在心。,2023-12-26 10:34
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,浊酒断沧桑,跟相亲没关系，不管跟谁结婚都是开盲盒，婚前婚后区别一般反差都挺大，而且一般老实的男人女的也不喜欢,2023-12-26 10:35
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,离婚我是早就想离了，因为前夫哥是个妈宝男、冷战男，但凭良心讲，公婆对我还算不错的，所以看在公婆面子上我忍着一直没提离婚，能忍则忍，也没有和前夫哥吵过架，但是后来前夫哥问我要彩礼，被我拒绝，他就立马去婆婆那里告状，从此婆婆对我就变了一张脸，前夫哥趁着我在娘家的时候，把婚前婆婆给我置办的黄金首饰掉包，因为怕我发现，卖了以假乱真的仿品放到我的首饰盒里，因为我长期住在娘家，首饰都藏在婆家的柜子里，从没告诉过他，所以我也不知道他是什么时候得手的，我平时也不爱穿金戴银，等到我发现已经迟了,2023-12-26 10:44
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,我没有报警，我叫了爸妈来，和公婆还有前夫哥五个人坐下来谈判，我说这个事情如果不给我个交代，明天就去民政局把婚离了，前夫哥死不承认，但是在我要离婚的压力下，就承诺等他还清开油漆店亏损的债务后，会给我重新买一套黄金首饰,2023-12-26 10:49
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,虽然大家都心知肚明这事是谁做的，但是还是留了面子，没有撕破脸，所以这件事就暂时压了下来。我心里已经气得要死，公婆的态度更是让我恼火，对他一句重话都没有说,2023-12-26 10:52
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,千雨文,"其实以后不要孩子,找个搭伙对你好的人过日，领不领证无所谓，高兴就在一起，不高兴就散。一个人久了也会孤独寂寞的",2023-12-26 11:02
离婚吧,92年，结婚三年分居两年，有一子，目前离婚冷静期中,点亮黑暗吧,我曾经问过他，我说我丝毫感觉不到他的爱，订婚以后就再也不陪我过情人节了，连我生日都不记得了。我问他是不是就是为了应付家里才随便找个女的结婚，生米煮成熟饭了就不装了。他否认，回答很敷衍，好像说如果不喜欢我就不会娶我回家，还说我是他的初恋，说他没有恋爱经历，说他是直男，所以不会哄女孩子开心，然后我就不信，因为订婚前他明明把我哄的一愣一愣的，动不动就给我买礼物，一到各种节日就给我发红包，一有空就约我出去约会，每天给我发消息总在关心我，还总是买我喜欢吃的东西给我。订婚后让我直接从天堂掉到了冰窟，啥都没了，连微信消息都懒得回我了,2023-12-26 11:07
