贴吧名,帖子标题,ID,内容,发布时间
离婚吧,七年结束的婚姻,逆风的天蝎座,"2016年8月22日领结婚证，此前自由认识一年多时间，领证前两个月怀孕，那一年我28，她24二婚，认识的时候我即便知道也不在乎，认为离过婚的女人会更懂得珍惜生活，况且她也没生孩子与前夫经人介绍怀了一个，怀一两个月前知道前夫有病情隐瞒就缩影人流了也就离了婚。这段历史她都告诉过我，但我家庭这边我也试探过长辈，都表示不接受二婚的女人，真正知道是当她告诉我怀孕消息的当天电话中告诉了家长，一时间气氛凝聚，但也不得不接受，反正生米煮成熟饭，这也是我的打算。
然而，自从家里外婆逝世之后，她就变得不怎么顾家，家里有一老算个宝这话真不假，虽然平常小争吵我们不当着老人的面吵吵，什么事情再好好沟通也就过去了，加上那段时间她在家带小孩，自然就没有什么交际。
三年后开始，小孩能上幼儿园了，我嘱托孩子奶奶照顾接送，让她去找个稳定工作补贴家用，先后在两家KTV上班做营销，没有一次做满一年，几个月就换，虽然我很反对她去娱乐场所上班，但她执意要去我也就随她自由。她上班每个月给家里1000块钱生活费，其它都不用管，我主要管家里所有开支、孩子学费、物业费、水气电、柴米油盐、房贷、车贷,只要是开支我一应承担。
2011年11月初我去青岛工作，她和孩子我妈在一起生活，我妈在楼下上班她带孩子，我每个月给她3000生活费，当然有时候3000也做不到，反正只要她开口我都会想办法满足。慢慢的那段时间她晚归比较频繁，家里客厅那时候为了防止老人摔倒装了一个摄像头，偶尔我也在外地打开手机看看家里情况，经常发现她不在家，也就孩子我妈两个人，我打电话问就是这个朋友喊喝酒那个朋友喊吃宵夜，发视频还是接。基本上我每隔三四个月会回家一趟，因为我也想老婆孩子。
2012年3月16号我从青岛回趟家，18号早上因为孩子谁带问题大吵一架，我说她德行不好家里大人也是，就这一句话激怒了她，她说不应该牵扯父母，她把东西砸过来，我跑过去把她摁在床上不让她摔东西，她挣脱打开主卧的飘窗台窗户就要往外跳楼，上半身已经爬出去了，我抱着她腰扯了下来，后来半拉带扯给弄到沙发上，我让她冷静点冷静下来我们再好好说，等她冷静下来直接说要离婚，不离就死给我看，我怕出事给她家大人无法交差，遂从她去了民政局把字签了，签了之后发现一个月冷静期，没两天后我去了青岛，一个月后谁都没再提这事也就不了了之。
慢慢的平常微信多聊聊，感情也慢慢稍稍好点。
2012年7月1号回来的一次，我提前告诉她我会什么时候到家，她说和朋友在外面，问要不要帮我带吃的回来，我说妈已经做好饭了我回去吃不用带你早点回来就好，我回家一个多小时她才回来，瞬间就没了心情，男人在外面打工挣钱，不说女人在家盼望男的回来，但起码知道消息不论怎样在家等候也是可以的吧，那样我认为什么都值得，毕竟对方心里有没有彼此都能感觉得到。
2012年10月底结束了青岛的工作到现在一直在家，当时回家工钱几个月一分都没有结到，我还是借呗上给她到附近买个了4000多的手机，没什么别的，男人嘛自己有事扛着点哄老婆开心就好了。那段时间孩子又转手我妈带，她就去上班，也不要她出钱自己上班自己花就行，当然肯定不够，我还是几百上千的给，只要她开口我就会给。慢慢的发现她上班的地方很少去而是去了茶馆打麻将，我找去的时候发现是熟人开的，也就当陪打技术不好前前后后也输了不少钱。后来发现这也不个办法干脆就不去了，我要她安心上班，打牌不是个好路。怎么说都听不进去，三四个月时间里头风雨兼程去打牌，中午出门半夜回有时候凌晨一两点，最晚的时候早上5点才回。朋友都说是不是外头有人了，我也不相信，因为我知道她那些牌友圈子。
导火索来了，六一儿童节孩子放假，她带孩子去了游乐场，事先我并不知道，到了晚上9点多，我给她打了两个电话她没接，我又打给6岁的儿子，儿子说妈妈在牌馆，顿时我就火冒三丈，发微信语音给她:明天孩子还要上学的，什么时候了，打电话也不接，打牌打啊死。她回复:没打牌，刚刚到牌场等她妈一起回，你现在这么吵吵这日子还过不过？我直接回复:随便你，你高兴就好。她回复:明天把证件拿着去签字。
昨天她和她妈在客厅给我两个选择，1要么孩子归她，我出抚养费，她不要婚后财产；2孩子归我，她不出抚养费，要婚后财产。我当即选择了后者。
今天上午我去了律师事务所，律师让我们好好聊，能够协议就协议，协议不了就走司法程序，下午我给她打电话发现被拉黑，微信语音孩子接的，让她接听好好聊，给她5万块钱一刀两断，她说不行那就上法律程序走。",2023-06-03 20:25
离婚吧,七年结束的婚姻,高筑墙广积粮缓称王,2012  2011写错了,2023-06-04 19:32
离婚吧,七年结束的婚姻,@悠然见南山,一看就编的，看你写什么2012年还冷静期就是假的，离婚冷静期的哪年开始的？这都不知道...编的嘛起码切合实际些,2023-06-04 20:03
离婚吧,七年结束的婚姻,sunny乌拉323,头婚不香么，找个n手货,2023-06-04 20:11
离婚吧,七年结束的婚姻,贴吧用户_a44QU6E,这种女人贱啊！,2023-06-04 21:31
离婚吧,七年结束的婚姻,wwwac030,离晚了,2023-06-04 22:44
离婚吧,七年结束的婚姻,love使者520,唉，情况差不多，马上冷静期结束，协议婚后财产归她，孩子归我,2023-06-04 22:59
离婚吧,七年结束的婚姻,龙无形heart,,2023-06-04 23:03
离婚吧,七年结束的婚姻,纸张宝宝吃面包～,不知道该说什么，孩子太小，这个时候离婚怕会判给她,2023-06-04 23:13
离婚吧,七年结束的婚姻,灬丨小猪-,有孩子，还怕什么，以后就不需要再结婚了。结婚多麻烦,2023-06-04 23:16
离婚吧,七年结束的婚姻,一一雪液一一,要二婚的，活该咯。。。,2023-06-04 23:20
离婚吧,七年结束的婚姻,风中2022,KTV卖酒的能接触到什么好人，离吧。,2023-06-04 23:27
离婚吧,七年结束的婚姻,和蔼的孟浩,离婚了过来找我吧？,2023-06-04 23:52
离婚吧,七年结束的婚姻,随风采雨k,你确定不是开玩笑？婚后都是你在养她，哪还有婚后财产？,2023-06-05 01:11
