贴吧名,帖子标题,ID,内容,发布时间
离婚吧,中年男人离婚后的生活，,风之子324,"在1986年，我与她步入了婚姻的殿堂。然而，上个月，我们选择了分道扬镳。这个决定的背后，有着许多复杂的原因，但其中最为关键的一个导火索，是我们长达8年的分床睡。
在这8年里，我们的关系逐渐疏远，彼此的心墙也越筑越高。而7-9月这段时间，厂里因为种种原因发不出工资，我手头紧张，无法按时上交家用。她误以为我偷偷花了钱，于是我们之间的矛盾开始激化，争吵不断。
有一天，她突然提出离婚。当时，儿子就在场，她当着儿子的面问我：“你跟谁？”儿子毫不犹豫地回答：“跟她。”听到这句话，我的心瞬间凉了半截。在儿子的支持下，我无奈地同意了离婚。
在离婚冷静期，她问我什么时候搬出去。我没有多说什么，只是默默地找了一个小单间。第四天，我开始搬家。一个人跑了九趟，将我的东西一点点搬到新家。她并没有帮忙，只是站在一旁看着我忙碌。最后，她帮我把我的东西堆到了门口。
离开时，我的身上只剩下了 2000 来块现金。还有张信用卡，卡里的十多万都给了她，作为我们共同生活多年的补偿。我只带走了自己的车，开始了新的生活。",2023-11-26 23:32
离婚吧,中年男人离婚后的生活，,紫枫qaq,兄弟，你这房间多少有些凌乱，不过以前好像看到一段话，假如这个世界上没有女人，那男人还上什么班呀，路上遇到一颗好看的石子都能玩上半天。,2023-11-27 07:50
离婚吧,中年男人离婚后的生活，,贴吧用户_aUMGaKZ,加油啊,2023-11-27 07:59
离婚吧,中年男人离婚后的生活，,风晒梧桐,我86出生 已经中年了,2023-11-27 09:26
离婚吧,中年男人离婚后的生活，,四季予你,"一段感情的结束总会让人感到惋惜……
你现在自由了，可以不为别人只做自己了",2023-11-27 09:32
离婚吧,中年男人离婚后的生活，,lmf602290,解脱了,2023-11-27 09:46
离婚吧,中年男人离婚后的生活，,lee991016,六十岁人了还折腾。估摸着你做了很对不起她的事情了，否则她和你们儿子不会这么决绝的。,2023-11-27 10:42
离婚吧,中年男人离婚后的生活，,风之子324,我哪有 60 啊,2023-11-27 10:52
离婚吧,中年男人离婚后的生活，,shayuyusky,分床你自然外卖吃啊，离婚正常,2023-11-27 10:58
离婚吧,中年男人离婚后的生活，,風往北吹小童鞋,86年 你们现在都得60了吧 瞎几把折腾,2023-11-27 10:58
离婚吧,中年男人离婚后的生活，,贴吧用户_aWJ5SNS,86年结婚，现在不得60好几了老哥，考虑好了吗，你还能赚钱吗,2023-11-27 11:01
离婚吧,中年男人离婚后的生活，,贴吧用户_Qa9U3S2,86年结婚，现在至少65了，子女至少30以上了，还要问跟谁？你这故事编的不行啊,2023-11-27 11:11
离婚吧,中年男人离婚后的生活，,不苦不哭吃颗糖_糖果_,86吗,2023-11-27 11:17
离婚吧,中年男人离婚后的生活，,wangyingbobj,"我觉得男女关系，一直是供养者和被供养者的关系。
子女关系，小时候是陪伴时间，大了也是经济关系。
当男女比例相差1%-2%之间的时候，尤为明显。
小于1%，则不那么明细，大于2%，这样的国家就很少。
所以算了吧。现在子女也不防老，无非是最后8年的时候，能给你些底气。
用20年的培养来换，值不值还两说呢。
所以啊。不行就国外吧。。。再不行，就毁灭吧。。你说呢",2023-11-27 11:21
离婚吧,中年男人离婚后的生活，,寻踪脉络,工具人啊,2023-11-27 11:28
