贴吧名,帖子标题,ID,内容,发布时间
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,六枝DV,"想想我们是星期一去离婚登记的，那个时候的自己好洒脱，好似风清云淡一般已经无所谓了。这个时间我们一直在装，装做还在一起，装做一切都没有发生。除了我的几个好朋友知道外，其他人都不知道我们发生的事。
都说男人离婚后就只剩下酒和烟了，现在也只有自己的几个好朋友能成为自己倾诉的对象。我不知道自己还能够装多久，这张面具放下后回怎么样。她说为了这个家可以做到离婚不离家，我一直强调换证了以后就会变得不一样了。最后还是发生了自己不愿意看到的那一幕，死都要办离婚证。其实这句话是我不想在这说出来的，但是没有办法有没有地方可以倾诉。朋友圈和抖音啥都不敢乱发，因为那里面都有至亲之人，朋友些同事们都在。我不想让天下皆知。
其实今天挺对不起孩子的，因为当时自己心里很烦闷，孩子又一直在身边纠缠。忍不住吼了她，结果委屈得哭了出来，还给她妈妈告状。那个时候我多想要是孩子的妈在旁边就好了，最起码不会变成这样，后面我哄好了孩子，和她说了对不起，是因为刚刚爸爸心里烦，忍不住吼了你，孩子天真的问我烦什么？我只能说是因为其他的事。下次还是好好的对孩子吧，明天喊孩子来她妈这里一起住，孩子都有好多天没有爸爸妈妈一起陪的时候了。
离婚会要了一个男人的半条命，但是只要还有半条命，那就不能让孩子受到影响。
其实我现在很少说孩子的妈妈是什么情况，我只能是她长大了，现在有了自己的想法。
等离婚证拿到手后我在好好的写一篇关于她的故事，一个从离不开我半步的人到现在能放下我的人！",2023-03-26 22:31
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,本热爱,两点，不会挣钱，两人没有感觉你不喜欢他她也不再喜欢你,2023-03-26 23:11
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,六枝DV,明白，谢谢你,2023-03-26 23:14
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,六枝DV,是的谢谢你的建议,2023-03-26 23:39
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,蓝辛儿,当她离不开你的时候，你是不是肆无忌惮了？是什么能让一个离不开你的人练成了你是他可有可无的人？,2023-03-27 07:05
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,心凌鸡腿,无论是伴侣还是子女终究要独立的，别把自己当回事,2023-03-27 07:54
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,,2023-03-27 08:34
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,别把娃儿给吓坏了，否则还得你自己兜着...别人可不会帮你分担忧愁,2023-03-27 08:35
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,离个婚...这家伙....这一出整得.....感情好像特别深厚一样.....至于吗？,2023-03-27 08:37
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,花痴不像个花痴.....呆子也不像个呆子……,2023-03-27 08:40
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,你以为你这是在拍情深深和雨蒙蒙呢？还这么难舍难分？我就信了你个邪,2023-03-27 08:44
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,"&nbsp;
  
      1&#039;24&quot;",2023-03-27 08:48
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,小铃铛_钟__钟_,假话说多了容易自己信，入戏别给我太深了……,2023-03-27 08:55
离婚吧,其实冷静期真的是一种煎熬熬不了那就就咬紧牙关硬熬,贴吧用户_G3WPDty,万事有因必有果，男人嘛，学会接受和承担后果。,2023-03-27 10:58
