贴吧名,帖子标题,ID,内容,发布时间
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,因为吵架第二天赌气和老婆去离婚登记了，我后悔了，我要挽回，但是老婆说婚离定了，回不去了。她不想和我过了，她说她累了。认识到结婚整整七年，有个六岁的女儿和三岁儿子。吵架赌气离婚，协议儿子女儿抚养权都给我，她净身出户。但是冷静过后我就后悔了，和她并没有原则性的问题。我现在再怎么求她也不行，她说她要女儿的抚养权也可以，怎么都可以，但是就是会不回头了。我该怎么办啊？我慌了。我也很难受。但她却看起来很轻松。明天她就要搬出去了。,2023-07-23 18:21
离婚吧,冷静期我后悔了我该怎么挽回,墨白浅浅,最初是你提的离婚？,2023-07-23 18:34
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,现在是冷静期第七天。,2023-07-23 18:59
离婚吧,冷静期我后悔了我该怎么挽回,贴吧用户_0WQ5U2C,有一种爱叫做放手,2023-07-23 21:09
离婚吧,冷静期我后悔了我该怎么挽回,贴吧用户_GWXaSMZ,肯定是你太自私了吧！不然她不会离开你的，如果你在提离婚的时候你净身出户，她不会和你离婚的，她都能净身出户的让你，你还同她去民政局，你也真是，一点男人气魄也没有，所以她才会义无反顾的离开你，你现在要做的是赶紧向她认错，对她说应该净身出户的人是你而不是她，尽量为她着想，这样也许她会看在你还能对她这么好而放弃了和你离婚，你也只能这样做了，没别的办法了，用真情去打动她，这是你最后的希望了，记住了！如果她放弃了和你离婚，你以后决不能再对她不好了，你真的应该对她好的，因为她是你的女人！她愿意跟着你过一辈子的女人！是你最亲的人！你为什么不能让着她点，又不是让着外人，她是你的女人，这都不懂啊！,2023-07-23 21:14
离婚吧,冷静期我后悔了我该怎么挽回,十月迪拜”,"因为什么事情吵架？
肯定不只是这一件事，
积累多了，对你失望了，
别没事动不动提离婚，
没事别吵架，让着她点，
吵着吵着感情吵没了，
吵着吵着家散了！！！",2023-07-23 21:18
离婚吧,冷静期我后悔了我该怎么挽回,Evan__Lam,还能怎么办 再追她呗 以后分手离婚就别再提了令人心寒,2023-07-23 21:31
离婚吧,冷静期我后悔了我该怎么挽回,小铃铛_钟__钟_,是不是不到最后一刻，胜负也就无法可以尘埃落定？你是不是这么觉得的？太幼稚了……胜负其实早就注定了......你脑子比她差了太多了……你输了,2023-07-23 21:32
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,确实已经快疯了，这几天没有一天睡觉超过四个小时的，睡不着。昨天才睡了一个多小时。明明感觉很困，头重重的。就是睡不着。,2023-07-23 22:08
离婚吧,冷静期我后悔了我该怎么挽回,孤独星空,很正常，想不通的别想，后悔就去挽留，挽留不了随风散了吧，很多矛盾不是一天造成的。,2023-07-23 22:11
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,我不懂啊，究竟真的离婚对她有什么好处？,2023-07-23 22:11
离婚吧,冷静期我后悔了我该怎么挽回,孤独星空,现在的女性可不像以前，毒鸡汤灌多了，女性思维和男的也不同，一个主抓大方向一个抓细节，你用离婚威胁就已经将矛盾最大化了。,2023-07-23 22:15
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,我说再怎么也要为了两个孩子想想啊，她说离婚后她对孩子还和以前一样，那能一样吗她说只是单纯和我分开,2023-07-23 22:16
离婚吧,冷静期我后悔了我该怎么挽回,孤独星空,你觉得好的人家不一定觉得好，女人心，海底针，我劝你别去猜啥好处！舔狗没好下场。离了冷静下，别去纠缠可能还有和好的机会，越纠缠越反感,2023-07-23 22:22
离婚吧,冷静期我后悔了我该怎么挽回,团不圆了,之前偶尔我也会怀疑她外面有人了，但是没有证据。去年冬天偶然看见她和总公司一个男的有暧昧的聊天。他们平时不在一个城市但是会有工作上的交集。当时也吵了。心里膈应了一段时间。没多久听说那个人调走了。后来就再也没看过她的手机了，她也不让看。她说保证没做过对不起我的事,2023-07-23 22:24
