贴吧名,帖子标题,ID,内容,发布时间
离婚吧,刚刚去登记了离婚手续，一个月冷静期,请你转个弯出去,"终于在2024.1.19日去办理了离婚协议手续。第2个本命年结婚，第三个本命年离婚。怎么说呢？很顺利，一个孩子，我养，人家争都没争一下。说他的能力只能每个月给1000的抚养费。我说至少2000。人家说他就这能力。只能作罢。以后的日子还长。给不给都不好说。
后面的路怕是会更艰难！好在我和孩子在一起。",2024-01-19 10:28
离婚吧,刚刚去登记了离婚手续，一个月冷静期,奥特曼8158,一切都会慢慢好起来的，加油！,2024-01-19 11:03
离婚吧,刚刚去登记了离婚手续，一个月冷静期,都有逆鳞,"我们这边本命年很少结婚的，可能是迷信吧
我前妻也没争，一个月800抚养费，离婚4年，3年不给，做好不给的准备吧，单亲妈妈更不容易",2024-01-19 11:07
离婚吧,刚刚去登记了离婚手续，一个月冷静期,灰色小狗子,怎么离婚了,2024-01-19 11:08
离婚吧,刚刚去登记了离婚手续，一个月冷静期,开摆小能手,正常去判也到不了一千，除非家里有钱，能按时给就挺不错的了，一般的县城都是500-800,2024-01-19 11:09
离婚吧,刚刚去登记了离婚手续，一个月冷静期,贴吧用户_GSD2SAW,我也是第三个本命年要离了，希望后半生能遇到幸福吧。,2024-01-19 11:15
离婚吧,刚刚去登记了离婚手续，一个月冷静期,活宝生死一线间,艰难你还在这里发帖？还不赶紧去干活去啊...,2024-01-19 11:26
离婚吧,刚刚去登记了离婚手续，一个月冷静期,专业接盘,,2024-01-19 11:28
离婚吧,刚刚去登记了离婚手续，一个月冷静期,西门斩,热心吧友发来贺电！,2024-01-19 11:36
离婚吧,刚刚去登记了离婚手续，一个月冷静期,zxx198103,不用担心，才36大把人抢着要。不过还是不要再婚的好。,2024-01-19 11:44
离婚吧,刚刚去登记了离婚手续，一个月冷静期,笑看猴子与逗比,我是二个孩子，儿子跟我，女儿跟她妈，我再每月给她一千抚养费。,2024-01-19 12:03
离婚吧,刚刚去登记了离婚手续，一个月冷静期,丫丫妈豆芽宝,加油，努力工作，会越来越好,2024-01-19 12:15
离婚吧,刚刚去登记了离婚手续，一个月冷静期,重轨,为啥离婚啊,2024-01-19 12:18
离婚吧,刚刚去登记了离婚手续，一个月冷静期,名阳设计,生活不易，且行且珍惜。,2024-01-19 12:22
离婚吧,刚刚去登记了离婚手续，一个月冷静期,你曾在的季節,问题是男方挣的赢？,2024-01-19 12:51
