贴吧名,帖子标题,ID,内容,发布时间
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,这是我们第三次去离婚了，因为有离婚冷静期。第一次离了我又把她叫回来，第二次冷静期过了没去……楼下细说,2023-04-18 20:14
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,2018年的时候离过，后面我又把她叫回来了,2023-04-18 20:19
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,2021年我们买房又去领了结婚证，2022年又去离婚，后面冷静期过了没去昨天又去,2023-04-18 20:38
离婚吧,到这里倾诉一下，路过的给点建议,曾经我来过,老司机应该接受现实了，毕竟应该想到迟早有这么一天的。,2023-04-18 20:45
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,第一次是因为她出轨。其实这些年我最烦的就是感受不到家庭温度，很少吃到她做的饭，我干活的衣服比较脏，有时候放那半年也不帮我洗，家里有全自动洗衣机，平时穿的她还是会帮我洗的。,2023-04-18 20:46
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,我本人是个非常没趣的人，她自己也上班，我经常叫她钱要省着点花，最近半年我都在呕气我房贷车贷，赔得那么幸苦，去年去买车说好买车她帮忙赔的，然后别说她帮忙赔了，连问都不问一下。不过家里开销也基本是她在顶着，后面这些情况也说明白了……都可以理解,2023-04-18 20:51
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,现在她的意思是又得不到我的爱，我又很少陪她，又没钱给她花，所以她要做回她自己，不用再跟我受罪。跟我呕气！,2023-04-18 20:53
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,目前口头协议是车子给她，我还要帮贷款还完，当时问她娘家借了两万块也要我还。我答应是答应了，自己越想越觉得是个大怨种，老婆老婆没了，车子车子没了……贷款什么各种一分没减,2023-04-18 20:56
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,还得自己带孩子,2023-04-18 20:56
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,她也跟我直说了，我应该从新找一个性格契合的人才好过，我跟她消费观念，价值观念都很不同，我就是那种苦日子过够了！今天有的吃也要考虑明天和后天的人，她的观念就是不能亏待了自己，想要什么想吃什么就买,2023-04-18 21:01
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,我觉得我对她还是不吝啬，身边的朋友对媳妇说实话还没有我舍得，节日转账礼物是经常性的。虽然不多……,2023-04-18 21:03
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,但是我的朋友都是过的比较艰辛一点，也就是没什么钱，她认识的朋友都是经济能力比我们要好一点的,2023-04-18 21:04
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,昨天去拿了申请离婚的单子一个月后再去离，昨天办完回来我叫她滚，她收拾东西去她朋友那里了也是个离了婚的寡妇,2023-04-18 21:05
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,后来我又说了很多挽留的话，她说东西搬不完让我宽限几天，我说你不用去租房了，还是住在这里吧，帮我带带小孩，她同意了。因为我经常是在工地上干活，说是我回来她就走，我走了她又回来住,2023-04-18 21:08
离婚吧,到这里倾诉一下，路过的给点建议,纠结的二楞子,每次离婚前我也想离，每次到了要离的时候我又非常伤心难过舍不得，经常是事前说很多很毒很难听的话，到了要离的时候又挽留，她骂我是神经病，我也觉得自己像人格分裂一样,2023-04-18 21:10
