贴吧名,帖子标题,ID,内容,发布时间
离婚吧,就这样结束吧,想做海贼王,冷静期还有半个月 这是她第三次提日子过不下去了 前两次也是因为鸡毛蒜皮的小事 我寻思事不过三 这一次我同意离婚 六年时间一直是我在外面工作养家 她最近才出去上了大概三个月班 不知道是谁给上课了 说我不上进 给不了她想要的生活 目前还住在我家 说是出去找房子 我们也没要孩子 现在我也看开了,2023-11-20 19:47
离婚吧,就这样结束吧,想做海贼王,六年时间舍不得吃舍不得穿 一年到头能跟发小出去吃几次饭 不喝酒不应酬 就抽点烟 每天就是工作 菜市场 回家 晚上没事和朋友打打游戏 最后人家说我根本没在乎过她,2023-11-20 19:59
离婚吧,就这样结束吧,过河卒_滑稽的脸_,我跟你一样也还有半个月冷静期。女人起了心，很难拉回来。我这个连女儿都不想要。,2023-11-20 21:02
离婚吧,就这样结束吧,贴吧用户_0JbMeta,大概率外边有人了,2023-11-20 21:29
离婚吧,就这样结束吧,ttttti白羊,兄弟，我觉得你还能挽回，还有半个月冷静期，好好反思一下,2023-11-20 22:21
离婚吧,就这样结束吧,净妙居士,求求观音菩萨。,2023-11-20 22:34
离婚吧,就这样结束吧,想做海贼王,吧友们都是怎么走出来的 说实话不难受是假的,2023-11-20 22:45
离婚吧,就这样结束吧,ttttti白羊,"我看了你的描述，我觉得你错就错在你觉得你努力工作赚钱就能维持关系，其实不是。
女人要的是你带她去玩，去嗨，去旅游，去逛街，送礼物，过情人节，过秋天第一杯奶茶节，过万圣节，乱七八糟的节日……
女人要恋爱，一辈子恋爱，结婚后她并不是你眼中的老婆，而你是她眼中的稳定的恋爱对象。
你们恋爱期间怎么做的，结婚后你就得怎么做。
如果觉得结婚后就不逛街，不出去吃饭，不送礼物，不搞浪漫，不去旅游，整天柴米油盐，这样的婚姻，必死无疑。
我看你还能挽救，你可能也不是真的想离，也许只是冲动。
兄弟，你老婆说你没有在乎她，你有没有反思过自己是否真的在乎过她？
大多数女人其实很简单的，她并不会祈求你开奔驰宝马，她不是傻子，她知道你开不起，但是她会很愿意你开着摩托车带着她去喝秋天的第一杯奶茶，她会觉得很幸福，别人可以喝，我也能喝。",2023-11-20 23:40
离婚吧,就这样结束吧,ttttti白羊,"你老婆明显受蛊惑了，肯定是乱七八糟的“闺蜜”。
用冷静期拖着，到点了就不去，拖着，只要没离，就一切都能恢复，只要离了，就是翻天覆地的变化。
胆子大点，想办法摸到她手机，弄清楚原因，微信里肯定能找到答案。",2023-11-20 23:45
离婚吧,就这样结束吧,ttttti白羊,"不是吹牛逼，当年我女朋友就是被她闺蜜蛊惑，我打了很漂亮的翻身仗，当着我女友的面质问她闺蜜干的好事，当面赶走，逼着我女友拉黑她闺蜜，手机微信拉黑，才有今天稳定。
所以，我对那些蛊惑人心的“闺蜜”深恶痛绝。",2023-11-20 23:48
离婚吧,就这样结束吧,ttttti白羊,你要是就这样就离了，是不是就正中了蛊惑你老婆的那些人的心意，人家对你发动了战争，你是赔了夫人又折兵啊。,2023-11-20 23:50
离婚吧,就这样结束吧,巡山老妖丶,你老婆本来就看不上你，一直忍着呢，现在不想忍了，真把你当回事，不能这么对你，她感觉你窝囊，明白了吗？别报幻想,2023-11-20 23:54
离婚吧,就这样结束吧,ttttti白羊,"假如有人恶意蛊惑你老婆离开你，然后将你老婆变成资源，成为别人的摇钱树。
想想都可怕。
我这样说，因为我刻骨铭心，我女友就曾这样被她闺蜜牵着鼻子走，成为她闺蜜的摇钱树，不是下流那种，是把她当成了诱惑别的男人的资源。而我女友毫不知情，还以为人家对她好。辛亏她遇到的是我，而不是楼主。",2023-11-21 00:08
离婚吧,就这样结束吧,西门斩,婚姻不是说对她好就行，她的需求可能你真满足不了。她的心不在你身上了不要挽留，离吧！找个喜欢你这款的。,2023-11-21 01:35
离婚吧,就这样结束吧,想做海贼王,我工作一天下班还要买菜做饭 我是真把她当公主一样 她吃完就一躺碗也不收拾 六年来一直是我在赚钱 她出去工作三个月回头嫌我不上进 想想就火大,2023-11-21 02:48
