贴吧名,帖子标题,ID,内容,发布时间
离婚吧,帮我分析一下男人的心理,幻想的ying,我们结婚10年，小孩9岁了，2年前发现他出轨后，闹离婚没离成，又这样过着，过了一年他玩期货输了100多个W，虽然心理不平衡，但我也没说他一句，钱都是身为之物，人活着总能还完。输钱这个事对我打击还没这么大，但是出轨这个事对我打击很大，人都感觉会抑郁了，输钱这个事就算过了，现在就是赚钱还债，又过了一年，也就是今年7月份，我又发现他出轨了，真的很可笑吧，我也知道出轨的原因（因为我满足不了他）但是我说过，我满足不了你，你可以选择离婚而不要来伤害我。2年前的的出轨我就说过，如果以后在发现他出轨就答应我跟我离婚，他同意了。显然他重来都没有把这话放在心上，想玩照样玩。当我知道他第二次出轨我的心已经凉了，我提出离婚，他说你想好了没，我说想好了，他说离婚对孩子不好，我说对孩子不好，那对我呢。他沉默了。当天晚上我们就在写离婚协议，第二天就去民政局了，回来我们就分房睡了，现在在冷静期（20天了）去民政局回来这几天他一直拉着个脸不跟你说话，也不吃我煮的饭，每次下班都去他妈妈哪里吃完饭在回半个月不怎么讲话，之前我会看他手机，后来我直接叫他改密码我就看不了了，现在也不过问他的任何事情。冷静期间我找他谈过一次，他说谁离开他都可以，他自己会给自己安全感，不像你们，还说没想过跟我离婚，我说如果没离婚你也还会去玩，他说他玩又不会光明正大的玩，我又会回家周末又陪你们玩。他的意思就是你该知足了。他说不喜欢约束，估计不喜欢有人管着想自由吧，那就离吧，也没啥好聊的了。但是这几天他又跟我讲话各种问，晚上还问要不要给你按脖子（前一天晚上落枕了）我说好，但是他#旧伤#帮你按一会就想动手动脚，我就知道了就问你有没有什么想说的，他也不跟你聊不跟你说什么，我不愿意他就回自己房间了，过了一天还又说来看电脑跑我房间一起看了电影又想了，我没同意，他也不跟你谈什么就回房间了。在外人看来我们不像是要离婚的人。我想问问男的现在是什么心理，都要离婚了还这样，如果不想离也没看出知错态度。男人都这样吗？,2023-08-13 08:17
离婚吧,帮我分析一下男人的心理,起啥好名字,你如果对这事不介意 就继续生活着，但是看你言语间 只要他跟你道个歉或者哄哄你说说谎话你都可以原谅他，继续生活。出轨这事有第一次就有第二次，一部分人在发现第一次出轨的时候就已经选择离婚了。但是你第二次发现还跟他吃饭 给他捏肩，还有啥好问的？你能接受出轨这事 那就当无事发生。,2023-08-13 08:28
离婚吧,帮我分析一下男人的心理,起啥好名字,男人有原则有底线的，对家庭负责的都不会出轨。他是想家里红旗不倒，外面彩旗飘飘。这样的人你能接受？,2023-08-13 08:30
离婚吧,帮我分析一下男人的心理,贴吧用户_0bKt1A3,和男女无关。最大区别男人下半身女人走心了，出轨的人典型的自我受害论，明明自己的错还要怪别人头上。,2023-08-13 08:38
离婚吧,帮我分析一下男人的心理,浙江移动,离不掉的，,2023-08-13 09:07
离婚吧,帮我分析一下男人的心理,會飛的余,男人：我们都要离婚了，你还要咱样。你男人只想在睡你几次而已。,2023-08-13 09:11
离婚吧,帮我分析一下男人的心理,fhjj978gh,你也是个人才，这男人你还留着过年？欠一屁股债，还出轨，出轨只有零次跟N次，你还跟他说话，我一辈子没有男人我也看不上这种男人,2023-08-13 09:12
离婚吧,帮我分析一下男人的心理,萘葭,"你没有懂他脑子里的你。
或者说你也不知道他是怎么理解他自己的。
你只是在自己的生活中挖了个身份，把他填进去，而不是了解他，然后和他这个人一起生活，他也一样。
所以无法分析，只能说你们没有呼吸了解过，如果能接受这样的生活继续，那就继续，但是你们只是互相和一个壳一起接触吧。
对方的思想、感情是一点没填补。",2023-08-13 09:23
离婚吧,帮我分析一下男人的心理,不死怪异,你太卑微了，你老公知道你离不开他，他相信你过段时间就会回头，说句实在话，你话里话外已经把你将来回头的原因列出来了，你坚持不了多久,2023-08-13 09:30
离婚吧,帮我分析一下男人的心理,张家二丫头,只有零次和无数次,2023-08-13 09:33
离婚吧,帮我分析一下男人的心理,小铃铛_钟__钟_,红旗不倒，彩旗飘飘？这个怎么操作呢？我是真的一点也都想象不出来.....,2023-08-13 09:33
离婚吧,帮我分析一下男人的心理,anzhenhuangood,语文是体育老师教的,2023-08-13 09:37
离婚吧,帮我分析一下男人的心理,无愿可期,离婚冷静期为什么还要在一个家里睡,2023-08-13 09:44
离婚吧,帮我分析一下男人的心理,云水洛神,你脾气真好,2023-08-13 09:45
离婚吧,帮我分析一下男人的心理,影视动画哦,龟女，出轨了都能忍，你老公是大户人家吗？,2023-08-13 09:48
