贴吧名,帖子标题,ID,内容,发布时间
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,咸鱼........,我爸妈已经离婚快三年了，我很尊重他们追求自己的幸福，但是爸爸家里人并不这样想，我都没有觉得有什么，他们却先急了。妈妈家里人对于妈妈离婚都很支持，因为妈妈想追求自己的幸福，而且从我记事起爸爸的家里人对妈妈都不怎么好，经常是让妈妈下地干活，妈妈家里人在妈妈还没有出嫁的时候就一直很疼妈妈，哪怕是有舅舅的存在，可见妈妈家里人并不重男轻女（我的外公是老师），在知道妈妈一直被这样对待的时候也很心疼，但是妈妈为了我并没有闹得太大；因为爸爸是老师，到我上幼儿园的年纪的时候，因为镇上刚刚建好幼儿园，我也理所应当的被送去了幼儿园，但是因为幼儿园刚健的原因，园里急缺幼师，于是爸爸的朋友也就是园长问爸爸我妈妈有没有空先来替一下幼师，但是爸爸在妈妈不知道的情况下和家里人商量并拒绝了园长（商量的具体内容我不知道）当时妈妈真的很想去，但是知道事情的原委后，于是就和爸爸大吵了一架。爸爸妈妈并不是从恋爱到婚姻，只是父母包办的婚姻，结婚的的时候连个像样的仪式都没有，也没有婚戒，没有什么感情基础，从记事起爸爸妈妈就经常吵架，感情也不是很稳定（也可以说根本没有感情），在吵架了几年之后妈妈就出省工作了几年，后面回到本县工作并和爸爸分居了，期间也经常因为一些事情吵架，有一次吵到真的很厉害（具体因为什么我也不知道），就去民政局办理离婚了，冷静期过了之后就离了，离了之后爸爸不顾还在读初中的我，直接不顾妈妈的阻拦把她们共同买下的县里面的房子给卖了（妈妈说先等我到高中住校后再卖房子），卖房的钱并没有合理分配，而是全部被爸爸拿下了，后面就在县里租了个房子给这个走读生。  离婚后一年多里爸爸妈妈也一直有联系，在这一年多里妈妈找到了她的真爱，我表示支持，并为妈妈感到开心，那位叔叔（妈妈并没有要求我对叔叔的称呼，她说怎么舒服怎么叫  ）对我也很好，并愿意接受我，我们偶尔也会聊聊天，我们聊的很投缘，叔叔还给我取了个小名（这里就不透露啦  ），他们出去吃东西的时候也会带上我，虽然我有点不好意思，因为我并不想打扰情侣约会并吃他两个的狗粮  ，后面他们在一起半年多之后也到了春节，妈妈也跟着叔叔一起去见了父母（我并没有去，因为在县城有房子的原因，我经常不回老家过年，这次我打算回家过年，因为下一年妈妈打算带我一起去叔叔家过年），叔叔的爸爸妈妈也接受了妈妈和我  我回到老家后一开始很正常，家里人对好久不回家的我很热情，但是，在吃完饭的时候（亲戚在场），他们就开始了他们的表演，明知道爸爸妈妈已经离婚，还非要问我妈妈去了哪里，还说妈妈不要我和爸爸直接和野男人跑了，奶奶还一直在旁边哭，我听到这话就很无语，现在都什么社会了，离个婚都要被指指点点，而且这样说别人真的很不礼貌，但是看在是长辈的份上我没有直接翻脸春节过后我看到妈妈的视频账号晒出了叔叔给她买了金戒指的照片（我真的很开心，因为爸爸妈妈并没有婚戒），我真心放心妈妈以后的事了，外婆外公也知道了这些事，并表示妈妈幸福就好之后我每回老家一次都会听到类似妈妈跟野男人跑了的话，外人就反驳，但是长辈我真的不是不敢，只是尊重他们后面我上了高中爸爸妈妈为我考上高中而高兴，好不容易等到快春节我也应该去和妈妈跟叔叔过年，因为距离比较远所以定的是一月二十九的机票，我要坐高铁到市里的飞机场，因为离二十九号还有一段时间我就先回了老家，但是没想到我跟家里人说了春节的计划，他们就对我百般阻挠，哭的哭闹的闹，还说了很多妈妈的话坏话，但是爸爸还是尊重我的安排，大早上的就把我送去了高铁站（爸爸要亲自送我去机场）但是没想到的是，爸爸的车坏了，因为太早了，修车店都还没有开门，我们等到了十点多，因为是在高速上坏的，所以很麻烦，修车师傅搞了半天，来来回回跑了好几趟都没有修好，我们的高铁也错过了，买了三次票也改签了两次，车没修好但是爸爸说先去赶飞机吧，于是我们赶上了晚上的车次，到了市区，不知道怎么回事怎么都打不到车，dd打车也来得特别慢，等了好久，明明离得不远却一直到不了我们这，后面还是看到路过的dd才有的车，我们到了机场的机场宾馆开了两间房，后面经过爸爸妈妈的深思熟虑还是觉得我不应该去妈妈那边，因为那天太奇怪了好像什么都阻止我去和妈妈过年一样我和爸爸也是原路返回，很快就到了春节，也就是今天，爸爸家里人一直对我灌输去和妈妈不好，妈妈很坏，狠心的就抛下了我，还一直说妈妈有宝宝了  ，我只能说很无语，妈妈几乎每个周末都和我打视频，她有没有宝宝我能不知道？就算是有了妈妈也会告诉我的，她一直很尊重我，虽然平时有点唠叨和严厉（严厉主要体现在我早恋这种事，虽然很想，但还是不敢  ）家里人还边哭边说，企图打动我，但是我油盐不进，我真的不理解，不就离个婚吗，有必要吗，妈妈在这个家本来就不幸福，去寻找幸福有什么错，真的服了，还是说见不得别人好？,2024-02-10 22:58
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,桃之夭夭doka,"长篇大论
你就不能简明扼要的说出来吗",2024-02-11 14:08
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,紫雾迷鸢,你都知道他们是封建了，还纠结啥，他们只是想恶心你和你妈，说不定还有你爸一家。小孩子好好读书，成人的事不是你能改变的。,2024-02-11 16:05
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,活宝生死一线间,受不了，就把自己灌醉……,2024-02-11 17:11
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,帆鱼八宝粥,"朋友，首先，无关紧要的话太多（不过逻辑挺清楚的，能看出来你想表达啥）。其次，分段，你这一连串看得我难受。
然后具体这个事情啊，***和你没错，从你的叙述里也能看出来你爸爸妈妈还是爱你的，从结果上讲，这样的离异家庭要比硬凑出来天天吵架但不分的家庭好很多。是你亲戚碎嘴，封建（你这词总结得真不错），先坚定自己的观念，保持住“你没毛病有毛病的是他们”的想法
保持坚定的观念后，能自然而然把他们当成不屑于沟通的ruozhi对心态最好，不过楼主你显然做不到（做不到也不用咋，你在为妈妈受到不公与恶意的评价时真心地替她愤怒，你是个好孩子）
如果你不介意让长辈感到“不爽”，并不想直接快进到开怼撕破脸皮，直白地，用简明扼要的语言（反正你这帖子的事无巨细风格不能用），在亲戚再次这么说的时候，把你对你父母离婚态度、母亲追求幸福的认同表达出来，并且表明他们这么说让你感到难受。虽然大概率他们的观念是不会变的，不过这么整应该大概也许要点脸的人都不会继续当你面骂你妈了吧
如果你觉得上面的建议依旧能算作“撕破脸皮”级别，那就只能调整你自己心态了，把他们的话当耳旁风就行（再次声明，你无力且没必要改变一群思想顽固且见不得人好的人的观念，有意忽略他们并不可耻，你没有必要为了他们难受）",2024-02-12 01:10
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,安野可可,我觉得孩子你三观很正，真替你妈妈感到欣慰有你这么能理解她的孩子,2024-02-12 02:56
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,我啊,你这写小说呢？谁家没点鸡毛蒜皮的破事,2024-02-12 07:56
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,雨墨花园,离婚了说另一方坏话的人品不行，好聚好散，婚都离了还恶意中伤他人，这种家庭建议你远离,2024-02-12 09:35
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,提莫完蛋,这难以阅读的文笔…有可能是真的,2024-02-12 13:14
离婚吧,急！！！爸爸家里人对爸妈离婚的态度封建，我快要受不了了！,贴吧用户_0PEJ5WZ,你应该反问这么不堪的女人，你们是怎么娶进门的。是不是家里条件太差,2024-02-12 15:08
