贴吧名,帖子标题,ID,内容,发布时间
离婚吧,我也不知道怎么办大家帮我分析分析,我掉了我的眼,已婚7年，儿女双全，我和我媳妇两个都是事业编制，她工资9000多，我平时工资4500，每半年发1.5-2万不等，每次发工资我就负责交水电天然气以及话费，再还一点618给她买的分期礼物，就只剩3200左右，我就留200左右，剩下的发给她，当然发的绩效也是全部发给她，她平时也不会故意克扣我，我需要用钱的时候，也会发给我。说来也奇怪，每次逢年过节，只要我们两个都待在家就会争吵。这次争吵的原因说起来很搞笑，她让我把她的上服丢在洗衣机去洗，只洗衣服，我想着我的衣服裤子也不掉色，就把我的衣服裤子也丢进去洗，洗完后她去晾衣服时就发现我的裤子和她的衣服混在一起洗，战争就爆发了。她说了衣服单独洗，我就这样阳奉阴违，又说我每个月只有3000的工资，根本养不活孩子，她平时省吃俭用也舍不得买几件衣服，我就这样对待，我也顶嘴了，就说不是没褪色吗。然后就她就边说边哭，还一边骂，含妈量十足，我的两个孩子，一直都是爷爷奶奶带，煮饭奶奶煮，卫生我和孩子爷爷负责。每天她基本就是下班带两三个小时，我下班后就接手，跟孩子洗漱，陪孩子睡觉。经过昨天的争吵，今天一早，就让我等着去登记离婚，期间用锤子砸烂我的电脑，威胁我如果不去就把家里面的东西全部砸坏，随后我们就去政务大厅登记离婚了，还有一个月冷静期，我不知道该怎么办_坚毅的脸_。,2023-06-25 19:14
离婚吧,我也不知道怎么办大家帮我分析分析,贴吧包打听,首先，很遗憾听到您在婚姻中遇到的问题。从您的描述中可以看出，您的婚姻关系存在一些问题，这些问题需要认真思考和解决。以下是一些建议：1. 沟通是解决问题的关键。您和您的妻子需要坦诚地交流彼此的想法和感受，并试图理解对方的观点。在沟通时，请尽量避免攻击性的言语，而是倾听和理解对方的立场。2. 您提到每次争吵后都会威胁离婚，这并不是解决问题的好方法。建议您们一起寻求婚姻咨询师的帮助，以更好地了解彼此的需求和问题，并学习如何处理冲突。3. 您也需要认识到您的行为对妻子的影响。即使您的裤子没有掉色，将它们与她的衣服混在一起洗也是不尊重她的做法。尽量改变自己的态度和行为，以表现出对她的尊重和关心。4. 在冷静期里，您和您的妻子可以重新审视彼此的需求和期望，并寻找解决问题的方法。这段时间也可以用来建立更好的沟通和信任，为未来的幸福打下基础。最后，希望您可以意识到问题的严重性，并与您的妻子一起努力找到解决问题的方法。祝您未来幸福！,2023-06-25 19:14
离婚吧,我也不知道怎么办大家帮我分析分析,11李的家,孩子给爷爷奶奶带，老人家没有补偿吗,2023-06-25 21:24
离婚吧,我也不知道怎么办大家帮我分析分析,吉安娜大本营,就是嫌你工资低了，心理不舒服，离就离吧，不离下次还是这样，,2023-06-25 22:34
离婚吧,我也不知道怎么办大家帮我分析分析,磨蹭拖拉,,2023-06-26 08:18
离婚吧,我也不知道怎么办大家帮我分析分析,磨蹭拖拉,,2023-06-26 08:18
离婚吧,我也不知道怎么办大家帮我分析分析,心心念念,是不是婚内出轨了,2023-06-26 16:15
离婚吧,我也不知道怎么办大家帮我分析分析,WFE_Pontiff,真的是现在还有聪明人敢结婚吗？这只是导火索而已,2023-06-26 16:20
离婚吧,我也不知道怎么办大家帮我分析分析,WFE_Pontiff,砸东西呵呵。还有你给他买的礼物也太贵了吧，还得分期,2023-06-26 16:21
离婚吧,我也不知道怎么办大家帮我分析分析,净妙居士,求求观音菩萨。，,2023-07-02 21:31
离婚吧,我也不知道怎么办大家帮我分析分析,keaide笨女人,为啥非得要一起洗？分着洗你会怎样？明确告诉你了不能一起洗，你还非得要一起洗，女人和男人的关注点是真的不一样。你是不是根本都不知道她为什么非得离婚？,2023-07-05 15:49
