贴吧名,帖子标题,ID,内容,发布时间
离婚吧,打工中年男记录离婚后的生活,老鼠哥哥1985,86年出厂，上个月离的，离的因素很多，中间分床睡8年，导火线是7-9月厂里发不出工资，没钱上交，她以为我偷偷把钱花了，吵了起来，她提的离，当着儿子面问跟谁，儿子答跟她，心寒了，同意。冷静期问我什么时候搬出来，自己在第四天找了个小单间，一个人跑了九趟搬东西，她帮忙把我东西堆到门口。出来时身上只有800来块，卡里十多万给她了，我只开走自己的车。,2023-11-17 10:58
离婚吧,打工中年男记录离婚后的生活,老鼠哥哥1985,头几天很不习惯，住惯了小区，突然又住回村屋，光线不好，还吵，下班回来冷冰冰的一个人，做饭，吃饭，烧水（没有热水器），洗澡，洗衣服，开头一个礼拜天天晚上睡不着。过了大半个月，回去把手续办了，这时也住习惯了。,2023-11-17 11:07
离婚吧,打工中年男记录离婚后的生活,老鼠哥哥1985,拼夕夕买了一小盆薄荷，出差一个月后回来发现死了，也没扔。,2023-11-17 11:08
离婚吧,打工中年男记录离婚后的生活,老鼠哥哥1985,现在最头疼的是快过年，肯定是要回去，不知道怎么跟家里人说，家族很大，父母又要面子，知道了肯定受不了的,2023-11-17 11:13
离婚吧,打工中年男记录离婚后的生活,狼牙5918,这女人心狠,2023-11-17 11:39
离婚吧,打工中年男记录离婚后的生活,巡山老妖丶,我想知道财产怎么分的？有多少财产？如果你就开辆车出来了，那我只能佩服你的智商了，还有分开睡了8年，为什么你还要持续给钱？为什么你不提出离婚，你不和女人睡觉吗？你那样的家庭有家的样子吗？追求一个名义上的家庭，那你可太伟大了，8年的辛苦就追求个名义？厉害,2023-11-17 11:47
离婚吧,打工中年男记录离婚后的生活,哥曾经也疯过,房子谁买的？出来把钱给你前妻，你是把自己辛苦争的钱给其它男人花？这智商真的捉急。,2023-11-17 12:42
离婚吧,打工中年男记录离婚后的生活,迅捷斥候,太便宜她了,2023-11-17 12:54
离婚吧,打工中年男记录离婚后的生活,专治各种小丑,你不值得同情，分床睡了8年还每月上缴工资，这不是绿龟就是大脑不正常，等她把钱攒够了不揣你揣谁。,2023-11-17 13:02
离婚吧,打工中年男记录离婚后的生活,真水无香,说说啥原因，分床睡这么多年,2023-11-17 13:04
离婚吧,打工中年男记录离婚后的生活,贴吧用户_5S1WAUt,图了个啥,2023-11-17 13:06
离婚吧,打工中年男记录离婚后的生活,飘扬的小科,自己想好。,2023-11-17 13:06
离婚吧,打工中年男记录离婚后的生活,笑嘎嘎你,估计楼主硬不起来,2023-11-17 13:19
离婚吧,打工中年男记录离婚后的生活,孤沙逸,多大点事，一辈子3万多天，该吃喝玩乐别憋屈自己，年龄大了叫你去都力不从心,2023-11-17 13:31
离婚吧,打工中年男记录离婚后的生活,贴吧用户_5VJtR53,晚上多喝一杯 啥都有了。,2023-11-17 13:52
