贴吧名,帖子标题,ID,内容,发布时间
离婚吧,最好别跟父母住一起我就是活生生例子,surry010,"昨天拿得离婚证，冷静期这段时间里一直做着各种努力去挽回，但无奈她父母揪着小辫不放，以将来不再管她，也不会留给她一分钱作为要挟逼她离婚。加之她欠了不少钱（开始的离婚协议我没认，我所有的工资交给她了，平时自己留几百生活费，无不良嗜好，最后却负债），如果还跟我在一起，我们经济压力会相当大，她需要她家人那边的支持，这么做只是为了彼此能过得好一些。再有，她无法调和我跟她父母的矛盾（我是上门女婿，跟她妈矛盾较深，如同婆媳关系），考虑良久，她也只能放手。我虽心有不甘，但也无奈。
我跟她之间没有原则性问题，走到这一步，最主要的根源还是她父母干涉了我们的婚姻生活，从开始的小摩擦演变成矛盾再到矛盾的激化，这一切感觉都是注定的。
昨天下午民政局签字时，她眼泪婆娑，我却内心平静，她嘴上虽然说着舍得放弃，但真到了那一刻，她心理的触动反而更大。冷静期这段时间大家在一起面对这件事儿的处理上，彼此都哭过，怨过，伤过，…可终究还是难以改变这结果…
今天会去她家收东西…彼此内心最底层的那种不舍得伤痛估计那会儿都能体现得淋漓尽致…告诉自己，爱过就足够了…",2022-06-29 07:31
离婚吧,最好别跟父母住一起我就是活生生例子,贴吧用户_7yXM2N2,婚姻是坟墓,2022-06-29 13:08
离婚吧,最好别跟父母住一起我就是活生生例子,jjhhafg,小辈和长辈就不能在一起，生活习惯不一样，一点小事都能争吵不休，我妈和我老婆住一起的时候，为我穿什么衣服好看都能吵起来，真的无语。后面只好分开住了。如果继续住一起，估计早离婚了。,2022-06-29 17:30
离婚吧,最好别跟父母住一起我就是活生生例子,百合花妖妖妖,重新开始吧,2022-06-29 19:15
离婚吧,最好别跟父母住一起我就是活生生例子,演戏_321,钱都上交了最后却负债。。。如果不是收入太低，，就是管钱的人压根一点不会过日子。,2022-06-29 19:22
离婚吧,最好别跟父母住一起我就是活生生例子,2个字以上,一开始她父母是不是看不上你？,2022-06-29 20:15
离婚吧,最好别跟父母住一起我就是活生生例子,艰难时刻123,上门最后是两手空空,2022-06-29 20:30
离婚吧,最好别跟父母住一起我就是活生生例子,xiaoyu2980,父母干涉太多的婚姻都不会幸福,2022-06-29 20:33
离婚吧,最好别跟父母住一起我就是活生生例子,好在来60,会不会她家开始就想着法的把你们钱弄没了，有钱翅膀硬了迟早得脱离控制,2022-06-29 20:54
离婚吧,最好别跟父母住一起我就是活生生例子,人生何时不是春,糊弄鬼,2022-06-29 21:52
离婚吧,最好别跟父母住一起我就是活生生例子,九品佛,还是钱给的花的不到位，我也跟丈母娘一起住，一直很和谐，反倒是我母亲和媳妇总是闹矛盾，感觉丈母娘和老丈人对女婿包容度还是很高的,2022-06-29 22:10
离婚吧,最好别跟父母住一起我就是活生生例子,大圣爱吃桃,这就是做女王身边的小太监下场,2022-06-29 22:18
离婚吧,最好别跟父母住一起我就是活生生例子,做自己的旁观者,你带着她离开家里，越远越好不就好了哎,2022-06-29 22:25
离婚吧,最好别跟父母住一起我就是活生生例子,小黑猪f,上门女婿你劳骚个屁，做好本份，主次要分好。,2022-06-30 00:11
离婚吧,最好别跟父母住一起我就是活生生例子,順小飛,上门工资上交？？？有工资一个人活不好吗，嫌自己_家禽腿_太多？,2022-06-30 00:19
