贴吧名,帖子标题,ID,内容,发布时间
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,六枝DV,大家没有看错，我又回来了。今天走进政务大厅看到民政局那写着，执子之手与子偕老，我差点破防哭出来了。是的，我马上就要结束我第二段婚姻了。第一段婚姻九年，第二段婚姻也是九年，同一个时间不同的她都是选择用春天的季节来结束这段感情，明天带上户口本就要去进行离婚登记了，冷静期一个月，但是这个冷静期我相信并没有什么奇迹会发生。就在前天我也是和她谈了好久好久，希望她能看在孩子的份上继续过下去，但是我除了收到好人卡以外，该离还是离。或许下个月我就要转到离婚之后吧去了，在那里我也是九年前在那留下很多记录。既然没有希望和好那就坦然面对吧，晚安各位。,2023-03-14 00:34
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,小铃铛_钟__钟_,经常在班级里和人家其他学弟学妹吹虚....自己....外面认识谁谁谁.....以前自己有多厉害....,2023-03-14 00:42
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,_风中飘动的树叶_ 五蕴皆空 _风中飘动的树叶_,你自己不改变，却拿孩子来道德绑架人家将就你，这就是你反复离婚的原因，现在还有一个月冷静期，只有改了才有奇迹，而不是坐等天上掉奇迹,2023-03-14 05:51
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,CJ984748,还会来吗？,2023-03-14 06:14
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,你说什么呢60,你不要来了,2023-03-14 06:31
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,默默2-,如果不是孩子，我早***把她踢走了。花钱大手大脚，说话超不过十句就开始吵架。这日子真的在忍耐中度过,2023-03-14 07:20
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,艰难时刻123,人这一辈子有几个九年,2023-03-14 07:24
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,糯玉米啊_玉米穗_,半路跑了不就不离了,2023-03-14 07:37
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,贴吧用户_GyNAZJJ,第二段了，几个娃了？千万不要激动，不要来了，两个人好好醒醒,2023-03-14 08:04
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,小铃铛_钟__钟_,没有不好的媳妇...只有什么？只有自己想不开的脑子！,2023-03-14 08:18
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,小铃铛_钟__钟_,坐在办公室里全都是问题，走到基层全都是解决的办法...高手永远在民间,2023-03-14 08:22
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,血手人屠12年,楼主，我比你快一点，第一段四年，第二段三年，现在很快乐,2023-03-14 08:23
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,磨蹭拖拉,,2023-03-14 08:24
离婚吧,没想到时隔九年我又回来了，该走的路还是会在走一次。,阿尼塔的春天,很奇怪，为啥你每隔9年都换一次老婆,2023-03-14 08:31
