贴吧名,帖子标题,ID,内容,发布时间
离婚吧,离婚的事，大家分析下,平凡20152020,"我和我老婆结婚十年，两个儿子，大儿子八岁， 小儿子三岁。
夫妻感情不和多年，分居多年。
她工资8000一个月，我5000一个月。
我负责做饭和辅导孩子做作业。
老婆优点顾家，每天打扫卫生，看到房间灯开着没人，觉得浪费电，把灯关了，从来不要求我送礼物红包。
有时候我说出去吃，她说浪费钱，在家吃就行。
我性格比较内向，她性格比较强势，喜欢发脾气。
经常数落我的不是，吼我，我一般会选择隐忍。
一旦我偶尔忍不住回吼，她就以离婚威胁。
终于在今年第十年，她说她受够了，说像没老公一样，说坚决要离婚。
我前几天和她去签字了，冷静期一个月，
协议是她主动提出的，她要求净身出户，什么都不要，包括孩子。
现在她到处打电话租房子住，她要搬走。
我让她别搬，别离了，就住家里，帮忙照顾孩子，毕竟是孩子母亲。
她不肯，说铁了心要离婚，不可能和我生活，一定要搬走。
我知道她性格，就是她决定的事，很难改变。
大家分析下，怎么办",2023-03-18 11:54
离婚吧,离婚的事，大家分析下,平凡20152020,"她35岁，我34岁，结婚十年，
双方没动手家暴，没有出轨。
纯属夫妻感情不和。
她经常吼我，
我选择冷暴力，就是不理她。
分居多年。
所以她铁心要离婚。她房子，车子，孩子都不要，
她要一个人搬出去租房子住。
她很有原则的性格，决定的事，基本上很难改变。
我试过道歉，挽留，
她冷冷的说，不可能和我生活，铁了心要离婚，找到房子就搬出去。。。",2023-03-18 12:02
离婚吧,离婚的事，大家分析下,平凡20152020,"我冷暴力的原因。
是因为她每次不留情面的吼我，把我像骂狗一样的吼我。
比如小孩不听话，她吼小孩，指着我说，你像到他就完了，哪个男的不比他强。
他可以靠他爸，你可以靠谁（我爸退休在家帮忙带小孩，就是我和我老婆上班时，帮忙带小孩，我爸退休金五千左右）
我每次被这样吼 心里很压抑，动手又不是  ，骂回去又不是 。
所以我选择冷暴力，不理她。
然后夫妻关系像陌生人一样。
她心里恨我。
我也过的压抑。
现在她要搬出去住，一个人孤苦伶仃，
我又有点于心不忍。
但她铁心要离，要搬走。",2023-03-18 12:18
离婚吧,离婚的事，大家分析下,看我给你装个怪,尽人事听天命，自选造成的后果自己负责，由她去吧，从头开始又得付出多金钱精力,2023-03-18 12:44
离婚吧,离婚的事，大家分析下,小铃铛_钟__钟_,你好好跟她说...并且把孩子的一些作业给她自己看看......问她你到底能不能看懂......再......做决定,2023-03-18 12:58
离婚吧,离婚的事，大家分析下,小铃铛_钟__钟_,,2023-03-18 13:12
离婚吧,离婚的事，大家分析下,每天有钱花,夫妻生活和谐吗？床头吵架床尾和,2023-03-18 14:40
离婚吧,离婚的事，大家分析下,Beyond,这边建议你把夫人的电话发给我，我问她愿不愿意跟我过,2023-03-18 15:28
离婚吧,离婚的事，大家分析下,习惯sayno,顶真 :没卵用,2023-03-18 15:43
离婚吧,离婚的事，大家分析下,长空,估计出轨了,2023-03-18 15:50
离婚吧,离婚的事，大家分析下,曾经我来过,这种和离婚有什么区别,2023-03-18 16:23
离婚吧,离婚的事，大家分析下,左曼巴右蝰蛇,你想想你自身的问题，十年没有进步，你老婆肯定不满意，你要想挽回婚姻，自己就得改变，不然还会和以前一样，给自己订个计划，可以学习，运动，挣钱来改变自己，多去交际，充实自己，你变化了你老婆才会回头,2023-03-18 16:36
离婚吧,离婚的事，大家分析下,磨蹭拖拉,,2023-03-18 16:56
离婚吧,离婚的事，大家分析下,克塞克塞,一般很少有这么坚决的，并且还主动净身出户，是不是外面有人了，男人女人都要考虑,2023-03-18 17:08
离婚吧,离婚的事，大家分析下,长歌行,要走就走呗，5000够了，记得要抚养费,2023-03-18 17:15
