贴吧名,帖子标题,ID,内容,发布时间
离婚吧,离婚还是挽留,半盏流年_7,"我现在很困惑。我和她现在冷静期
名下有个贷款房子，首付我父母，贷款是我自己，女方一分钱也没出，有个儿子。
现在因为装修的事要离婚，我也答应了，她家条件很差，我一直都包容她，要什么都买给她，也养成了她爱攀比不好的习惯。
我现在很困惑，我到底该不该离，她从不服软，即使自己有问题，也不会反思，我想着这家散了，以后会不会就一个人带着孩子了，她28岁，我33岁，我父母都有退休金，家里两套市中心，她父母离婚，农村无业，没房子，还有弟弟，我该继续还是放手？
现在冷静期，想的比较多，朋友都劝我放手比较好，对两个人都好，但想想孩子没了妈妈（她坚决不要孩子，不给抚养费，我也同意了，可以探视），自己经营的8年的家没了，就很难受。
她性格比较硬，从不服软，这次提离婚本来威胁我装修好一点，但我当时也来气了同意了，就坚决要离婚了，以前也经常提，买车买房，不满足就提离婚，但我都答应了，这次真的太气了，她不顾家里条件非要用最好的那些家电。
我很难过，她追求住好一点也没错，但感觉他从没考虑我的感受，这段婚姻该继续还是放弃？
#离婚#冷静期",2023-11-16 11:07
离婚吧,离婚还是挽留,半盏流年_7,男人，太难了,2023-11-16 11:40
离婚吧,离婚还是挽留,寂静Y风,的确该冷静一下，家电啥的总预算超多少，不是很大额，那就答应她好了。,2023-11-16 12:03
离婚吧,离婚还是挽留,亓官茜璟,这种婚姻要来干嘛？想女人了可以出钱的。她又不爱你，毫无意义,2023-11-16 12:36
离婚吧,离婚还是挽留,糯玉米啊_玉米穗_,把孩子给她,2023-11-16 12:41
离婚吧,离婚还是挽留,小铃铛_钟__钟_,你继续再给我编下去.......来来来.....,2023-11-16 12:48
离婚吧,离婚还是挽留,小铃铛_钟__钟_,你家里比她家里条件好，所以你要借钱，她根本就什么也不需要？,2023-11-16 12:49
离婚吧,离婚还是挽留,贴吧用户_GyNAZJJ,这个社会教育出来的都是索取，现在还有多少女人爱男人，屈指可数,2023-11-16 12:53
离婚吧,离婚还是挽留,主抓下路,离吧，原生家庭不好的，我都不想看别的,2023-11-16 12:53
离婚吧,离婚还是挽留,小铃铛_钟__钟_,就你这样的....不去老挝啊，缅甸啊……台北啊……真的是太屈了你这个才噢……,2023-11-16 12:56
离婚吧,离婚还是挽留,小铃铛_钟__钟_,不应该过尽千帆皆不是，也都其实更不应该轻舟已过万重山……我滴个666666666,2023-11-16 12:58
离婚吧,离婚还是挽留,小铃铛_钟__钟_,认识我是谁吗？自己识趣一点....大家面子上不要不好看....可以吗？有难度吗？,2023-11-16 13:04
离婚吧,离婚还是挽留,龙庭飞,你写重点，她用在自己身上的，比如首饰化妆品衣服合计多少？家庭开支装修一起用的不能算，这样，你花的比我多就算大伙同意好不？我的也不多超过300w，我的意思是你再找一个也不可能不花你钱，知道不？她想装修好是一家人共同用的，你的帐不应该算到她身上！,2023-11-16 13:15
离婚吧,离婚还是挽留,chen4334,虚伪。居然删回复,2023-11-16 13:31
离婚吧,离婚还是挽留,厦门污妖王,就得让她服软，孩子都不要，觉得能有人要她！这种只能用现实打她脸说再多都没用,2023-11-16 14:04
