贴吧名,帖子标题,ID,内容,发布时间
离婚吧,记录我的离婚历程,老鼠哥哥1985,9月18登记离婚，后天就是冷静期结束，正式领离婚证。说过错吧，大家双方都有，都出轨了，现在是我断了，她没断，跟男的出去喝酒，还把自己的车让男的开送她回来，然后男的开着她的车回家，途中还出了交通事故，笑死。8年前就分床睡，之前不离是因为孩子小，她独自抚养不了，疫情时我赚的多点，她基本没赚钱，所以一切开销都是我负责，这也导致我私人没存下钱，小孩学杂费、房租水电、开销，一年至少得8万，这还没算医疗、人情往来，年底回家兜里2000都没有。协议前她说卡里钱就留给她吧，当做给她的青春补偿，我说可以，没关系，抚养费我一个月出1500，直至18岁。中途她提醒了我两次不要忘记19号回去办手续，呵呵了，之前我私人还有两万，她也说了让我拿走，转头就让我交了学费，然后立马去办登记，这小心思。,2023-10-17 10:37
离婚吧,记录我的离婚历程,周周周周星星阿,老哥    离婚后好好过吧   走到这一步了就别在抱怨了 影响自己的心情  日子是自己的,2023-10-17 12:31
离婚吧,记录我的离婚历程,一贝于海,五十步怨百步,2023-10-17 12:54
离婚吧,记录我的离婚历程,急鼠鼠,女人出轨了 心就已经变了。没什么值得挽留的价值了。,2023-10-17 12:57
离婚吧,记录我的离婚历程,晚风知我心@,没有责任和担当的女的，根本就没有挽留的必要，同样经历，一模一样。,2023-10-17 12:58
离婚吧,记录我的离婚历程,最爱爬墙去约会,网络上女儿可爱，老婆漂亮，阖家欢乐的画面是建立在经济基础上的,2023-10-18 23:49
离婚吧,记录我的离婚历程,takin,好似,2023-10-19 00:48
离婚吧,记录我的离婚历程,我怕大灰狼,只能说活该吧,2023-10-19 05:38
离婚吧,记录我的离婚历程,七年前封笔,什么家庭啊，一年生活费要8万。,2023-10-19 08:59
离婚吧,记录我的离婚历程,magnificent__0,,2023-10-19 11:48
离婚吧,记录我的离婚历程,1023822,哎……,2023-10-19 22:16
离婚吧,记录我的离婚历程,真水无香,你一个月赚多少钱啊给1500,2023-10-19 23:09
离婚吧,记录我的离婚历程,壹江西水向春流,夜蒲男神与夜蒲女王的最终结局？,2023-10-19 23:54
离婚吧,记录我的离婚历程,迎风摇曳苹果花,都出轨了就别废话那么多了，离了多好啊，谁也不管谁了，都放飞自我,2023-10-20 00:01
离婚吧,记录我的离婚历程,贴吧用户_7e7JM1P,我草，一毛也不给,2023-10-20 00:07
