贴吧名,帖子标题,ID,内容,发布时间
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"爱情的真谛到底是什么？
~Everybody~
看过来
阿绝有个好东西要和里们分享
那就是：",2017-03-21 13:50
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"上海市静安区法院从某年6月起，推出离婚案件审判中的“冷静期”。据悉，除当事人不愿接受“冷静期”的案件外，在已进入“冷静期”的67起离婚案件中，成功挽回了27个濒临破碎的婚姻家庭。上海市近年来的平均离婚率一直徘徊在40 %左右，静安区法院的“努力”，使得40%的离婚家庭中又有40%避免了离婚。
人人面对困难都需要冷静
冲动永远是魔鬼
面对婚姻，我们更需要“冷静”",2017-03-21 13:53
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"这些年，我们看到很多人结婚又离婚
而有些人离婚的理由更是千奇百怪
实在让人无法理解",2017-03-21 13:53
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓谁动了我的WiFi
女方因男方擅自修改家里WiFi密码没有通知自己，认为男方不坦诚，隐藏秘密，吵架升级最后提出离婚。
——额~额~额~为了WiFi没了wife，这账不划算呐！",2017-03-21 13:54
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓不准离婚我就变基佬
丈夫以妻子爱撒娇，自己无法忍受为由，向法院起诉要求离婚。法官宣判他们两个还存在情感基础不同意离婚，机智的丈夫就想了另一个办法，说自己是**，请求离婚……法官大人只得批准……
——此男，要么是外面有人，要么就是刚刚中了一千万大奖",2017-03-21 13:54
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓吃葡萄不吐葡萄皮
妻子因为老公吃葡萄不吐籽儿，于是引来她说“你真是个乡巴佬”的嘲笑，不想惹恼了丈夫，夫妻大吵起来。很快，两人吵架的话题，从围绕着吃葡萄是否需要吐籽儿，升级到双方的感情过往史。最后，女方居然发短信提出了离婚。
——这老婆是真伤到老公了，不过也不至于闹到离婚呀！",2017-03-21 13:55
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓卫生纸撕错都要离
女方怪老公撕卫生纸不按照上面的虚线来撕，吵架，后来吵到了个人生活**惯不同三观不一致的层面，提出离婚。
——你们就不能换个抽纸用吗？",2017-03-21 13:55
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓几天才洗一次澡
老婆认为丈夫是“我见过最懒最不要干净的人，不知道几天才洗一次澡，经常全身臭烘烘就钻进被窝！”老婆对老公臭和脏再也忍不了了，两次起诉离婚。第一次时，法官调解，差点熏晕，强忍劝和。老公未改，与妻分居半年。第二次起诉时，法官：“澡都不洗，责任心何在？”准判离。
——真的，我们家猫都比他干净！",2017-03-21 13:56
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓打不到车真无能
有一次去上班时在路上看到的，有一对小情侣要去火车站，女的非要打的，可是那个点是下班高峰，很难打，然后女的说，你连的都打不到，太无能了，我忍受你很久了！我们离婚吧。
——看来，还是广场舞跳得太少了",2017-03-21 13:56
绝味美食吧,离婚到底需不需要冷静期奇葩离婚理由告诉你答案,绝味鸭脖,"〓便秘战争导致的离婚
话说某女婚后发现丈夫严重便秘，每天早上霸占厕所40分钟以上，便要求两人重新安排清晨如厕顺序，可是丈夫不允。于是，清晨抢厕所成了每日一战，后来丈夫抡椅子砸门，发展为全武行，再后来两人就离婚了。
——为了家庭的和睦，就不能-再-多安-个马桶？？？",2017-03-21 13:57
