贴吧名,帖子标题,ID,内容,发布时间
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,维扬卧龙1,"[原创]离婚需要冷静期，不如结婚前先冷静
　　文/维扬卧龙
　　央视新闻6月16日报道 “劝你们静下心来，细细考虑对方的付出与艰辛…”不久前，四川安丘人民法院发出省内首张“离婚冷静期通知书”。提起诉讼的85后夫妻冷静3个月后撤诉。审判人员认为，这种调解虽增加了工作量，但非常必要。
　　该判决被广大法院类微博转发，还列举了比较惊心的数据，来佐证离婚需要冷静期的必要。据民政部统计，从2003年开始，我国离婚数量已经连续14年增长，2003年离婚数量是133.1万对，到了2016年，已经增长到了485万对。不仅增加的数量多，增长率也相当惊人，而且据相关统计，80后群体，已经成为了现在的离婚主力人群。
　　对于这个数据，笔者直想呵呵，这不是质疑民政部的造假，而是感觉水分太多需要晒晒阳光蒸发蒸发。因为这些离婚数据中，很多是拜政策之赐做出来的。譬如上海房价限购政策出来后，有的上海中介小伙为卖房和客户结了4次婚，包括70岁老太太；有人为躲过5年购房资格找本地人结婚再离；有人为避开不菲的契税和交易费率，都乱伦过户，婚证不再是婚姻的保障，而成了避税的工具。
　　离婚率不仅魔都有水分，基本全国基建稍微有点规模的城市和乡村都有注水。其中一个极大的水分来源就是拆迁。一遇到政府大项目征地，能组队去离婚。比如南京高新区一村庄拆迁时，全村160多对夫妻，上至八十多岁老两口、下至刚结婚不久的小夫妻，绝大多数都离了婚。而这样的场景，不是个例，只要有拆迁的地方，很多家都会乐呵呵的去离婚。乡村如此，城市人为多争得买房资格，也会拿离婚当手段。
　　遥不可及的房价，各种政策的利诱以及无处承载的恐慌，残酷的现实让国人根本无力在意人格尊严，人性能不扭曲都已经难得。是以，14年485万对的离婚，以及80后为主的离婚人群是有极大水份的。至于说到离婚冷静期，这要俗人之间说说也就罢了，法庭有何权力下达三个月的冷静期呢？这样做岂不等于在强奸法律？
　　我国法律规定婚姻自由，这个自由不仅包括结婚自由，同时也包括离婚自由，只要夫妻二人申请结婚的手续符合法律规定就可以结婚，离婚也是同样如此。虽然有古话宁拆十座庙，不毁一桩婚，但是法庭不是月老，不能以为当事人好为社会家庭稳定的名义，让想离婚的人强迫他们三个月的冷静！法无授权即禁止，法官自以为是的好意，如果得不到制止，还被各大法院当做仁政为推广，岂不是知法犯法浪费了司法资源不说，也干涉了别人的离婚自由？
　　与其寄望离婚时来个离婚冷静期挽救婚姻，不如婚前多冷静冷静！不是荷尔蒙一刺激，就成本能动物，认识不到一天就上床，然后闪结闪离，或者相下亲，过不了两月就谈婚论嫁，婚后鸡毛蒜皮点小事就闹离婚。每个人应对自己的选择和行为负责，在准备组成婚姻家庭或者准备生儿育女之前，都应该慎重考虑，如果自己草率，那就要为草率的结果负责，而不是靠法庭的仁慈来寻求保护？幸福是掌握在自己手中的，不是靠别人施舍的。",2017-06-17 23:33
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,维扬卧龙1,"附录新闻原文：
2016年485万对夫妻离婚
近些年，离婚这个家庭话题引发了越来越多的社会关注和讨论，原因之一，就是离婚数量惊人的增长。据民政部统计，从2003年开始，我国离婚数量已经连续14年增长，2003年离婚数量是133.1万对，到了2016年，已经增长到了485万对。不仅增加的数量多，增长率也相当惊人，而且据相关统计，80后群体，已经成为了现在的离婚主力人群。
离婚？法院先开“冷静期通知书”
面对汹涌的离婚率，有一个部门很头疼，那就是法院。已经协商一致离婚的夫妻，可以直接去民政部门登记离婚；有着各方面纠纷的夫妻来说，他们离婚需要上法院。如何让有着形形色色纠纷的夫妻冷静下来，仔细思考自己的婚姻是不是已经没有转寰的余地了，就成了各地法院的难题。怎么做呢？前不久，四川省安丘县人民法院发出了四川省第一张“离婚冷静期通知书”。
人们常说：“十年修得同船渡，百年修得共枕眠”。这样的文字，谁也想不到，会出现在法院发出的通知书上。
这张通知书上还写着：奉劝你们静下心来，细细考虑对方的付出与艰辛，互相理解与支持，用积极的态度沟通与交流，用智慧和真爱去化解矛盾，用理解和温情去解决问题，用耐心和真情去温暖子女，珍惜身边人。
文字虽感人，效果怎么样？今年3月8日，四川一对85后夫妻从四川省安岳县人民法院收到“离婚冷静期通知书”，回家冷静了仨月后，他们宣布，婚，不离了。",2017-06-17 23:35
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,维扬卧龙1,"四川省资阳市安岳县人民法院家事少年审判庭 李红婷：6月14日，女方前往法院书面申请撤诉，当天下午，法院作出了准予撤诉的裁定。我们当时也问她你怎么考虑的？她的回答就是说，希望回到没有起诉时的状态，然后消除他们之间的对立情绪。
因为给孩子喂饭，发生肢体冲突，妻子小唐，伤心委屈之下，愤然异乡打工，一走就是好几年。今年2月10号，她向法院提起离婚诉讼。
四川省资阳市安岳县人民法院家事少年审判庭审判员 李红婷：我们通知男方过来应诉，男方表现的很激动，当时在电话里面就说这个错不在我，她离家出走这么久，现在还要提出来离婚，然后感觉怎么怎么样的，最后啪的一下电话就给挂断了。
在准备材料阶段，此案主审法官跟双方沟通后发现，这并不是一段已经死亡的婚姻，很可能就是一时冲动离婚。
四川省资阳市安岳县人民法院家事少年审判庭审判员 李红婷：这对夫妻是85后，他们结婚初期感情也比较好，生了小孩以后双方就不能很好的进行角色转换，加上当时男方是处于无业状态的，女方在心里面理解，但是她觉得男方每次回到家，负担的家务也比较少，所以她很辛苦，当然心中怨气不断的聚集。
3月3日，此案第一次开庭，在此前的调解中，女方态度曾经缓和，希望丈夫拿出一个端正的态度就可以不离婚，但，男方仍然持对立情绪。
于是，法院发放了“离婚冷静期通知书”，这在整个四川也是第一份。通知书上写着：自3月8日起至6月7日的三个月冷静期里，双方原则上不得向对方提出离婚。冷静期对双方具有法律约束力，无正当理由不得拒绝。
四川省资阳市安岳县人民法院家事少年审判庭负责人 蒋新儒：如果不写具有法律约束力，通知书发出去的效力和效果是否会欠缺法律威严，写上又过于法律化。经过领导敲定，暂时这么写，反应大了或强烈了我们再选择其他语言。
6月8日，3个月“冷静”期满，法院确定了6月9号再次开庭。
四川省资阳市安岳县人民法院家事少年审判庭审判员 李红婷：但是6月9日这天，女方打电话说，还没有冷静好的意思。然后男方主动向我们提出，他延期开庭的申请，6月12日的时候也就是星期一，双方的态度还在反复。过后，我们又给他们双方做了不下6次的思想工作，就是告诉他们这个婚姻不易，应当珍惜。昨天下午我们收到了女方的撤诉申请书。",2017-06-17 23:36
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,维扬卧龙1,"“离婚冷静期通知书”不是随意发放
法院的调解给了夫妻冷静思考的时间，最终挽回了一段婚姻。不过，法院的这种做法也引发了一些质疑，有人认为，法院的这种做法是在“浪费司法资源”，对此，审判人员表示，这种调解工作虽然增加了法院的工作量，但“非常必要”。
四川省资阳市安岳县人民法院家事少年审判庭审判员 李红婷：就是说在工作量的话，应该是近十倍。因为他们小孩还比较小，才6岁。如果他们一离婚的话，双方父母也年老，他们离婚势必会造成子女抚养，以及老人赡养等社会问题。
事实上，离婚冷静期通知书并不是随便就能发放，过去的三个月里，安岳县人民法院仅发出7份。
四川省资阳市安岳县人民法院家事少年审判庭负责人 蒋新儒：对婚姻状况进行诊断，是死亡性婚姻还是危机性婚姻。初步判断为危机性婚姻的前提下再来看是不是冲动性，原则上考虑给他们冷静的期限，理解为离婚冷静治疗期。
婚姻遭遇危机 需要先静静
其实类似于这起婚姻调解案例的离婚案件在全国还有很多，对于法院来说，一起离婚案件究竟要不要进行调解，取决于这段婚姻是不是已经“死亡”，如果夫妻双方感情并未破裂，而只是因为一些生活纠纷而产生了离婚的冲动，那么这种离婚案例是可以通过调解来挽回的，而对于法院来说，挽回并未实质破裂的婚姻，也有着积极的社会意义。
当婚姻遭遇危机时，需要静静。类似四川安岳的冷静书，在广西南宁江南区法院也在推行。
广西南宁市江南区法院民一庭副庭长 李姗姗：认为他们双方感情并没有完全破裂，属于婚姻危机，所以我们就发出了这个离婚冷静缓和期告知书，给予了他们两个月的冷静期。
而在上海静安区法院，从2016年6月实施离婚案件“冷静期”，45天时间里，67起离婚案件中，成功挽回了27个濒临破碎的家庭。而这背后，是最高法正在全国118个中基层法院开展的家事审判方式和工作机制改革试点。
最高法审判委员会副部级专职委员 杜万华：我们在民政部门登记离婚数量，2016年346万，人民法院判决的是139万，两个加起来，五百万，离婚当事人会影响到1000万人，如果加上他的父母，如果再加上他的兄弟姐妹，就是说因为离婚而搅动的人群，将影响到六七千万人。
相比影响范围，已经完成14连增的离婚率更让人惊讶。其中结婚3年内申请离婚的超过40%，“80后”正在成为离婚大潮中的“主力军”。高企的离婚率，所造成的负面影响也不容忽视。
最高法审判委员会副部级专职委员 杜万华：未成年人违法犯罪百分之七八十都来自离异家庭。
家事的纷争，已经不仅仅是百姓的私事，也是关系到社会和谐稳定的大事。
其实，很多提出离婚的80后夫妻，仅仅是因为一些生活中的小事引发矛盾，并没有实质上感情破裂。离婚是公民的权利，但是离婚的背后，受影响的不仅仅是夫妻双方，他们的家庭，尤其是他们的孩子，生活都会受到影响。希望更多的夫妻能谨慎对待离婚，结婚是大事，需要慎重考虑，离婚更是如此。",2017-06-17 23:36
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,王叔有悔,婚前冷静也没用啊！,2017-06-18 02:23
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,宋鞓0508,"制度
风气
…
笑资",2017-06-18 05:46
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,沙漠里的一只鸵,都到法院了，还有什么不冷静的，真正不冷静的都在民政，每天都上演各种悲欢离合。,2017-06-18 09:06
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,M87星云的战士,"没有人是十全十美的，因此包容心很重要。
如果无法包容对方的缺点，是没必要结婚的。",2017-06-18 09:25
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,CtransC,"我不得不说我们有些同学就像在赌气一样，为了办酒席拿红包，娶一个自己根本不喜欢的人，草草结婚的比比皆是。
当然也可能他们比较“孝顺”吧，为了让爹妈早点抱孙子，但是结果都没过多久就离婚了真心鄙视不为现实也不为爱情单单只冲着赚份子钱结婚的人",2017-06-18 09:58
维扬卧龙吧,原创离婚需要冷静期不如结婚前先冷静,醉心淤你的日子,结婚前睁大双眼，结婚后睁只眼闭只眼,2017-06-18 16:32
