贴吧名,帖子标题,ID,内容,发布时间
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,时事热点跟踪,"全国人大回应离婚冷静期：仅适用协议离婚情形，家暴案可起诉离婚
十三届全国人大三次会议召开在即，民法典草案即将提请全国人代会审议，中国民法典呼之欲出。此次民法典婚姻家庭编明确离婚冷静期的规定引发公众广泛关注。不少网友表示，离婚案中不宜一律设置离婚冷静期，应设立甄别机制，如在家庭暴力等案件中不应设置离婚冷静期。
近日，全国人大法工委公开回应上述热点表示，民法典草案婚姻家庭编新增离婚冷静期的规定，主要是考虑到实践中，因离婚登记手续过于简便，轻率离婚的现象增多，不利于家庭稳定。离婚冷静期制度仅适用于协议离婚即双方自愿离婚的情况，实践中对于一方因对方实施家庭暴力原因而要求离婚的，一般是通过起诉离婚的方式，法院经调解无效，依法应准予离婚。",2020-05-16 12:12
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,小龙虾公子qwq,如果真的冲动离婚后悔可以复婚，坚决不支持离婚冷静期，会给弱势方造成侵害！,2020-05-16 12:35
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,小龙虾公子qwq,结婚离婚是个人行为，清官难断家务事，法律为什么只约束婚姻？能过就过，不能过就离，以为一个冷静期就能挽留婚姻？多此一举！赶紧把未成年保护法搞一搞吧！放着重要的事不关，管人家小两口家务事也是闲得**了~,2020-05-16 12:37
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,礼服师兄,劲夫，永远滴神,2020-05-16 12:52
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,穆景泽,说好的婚恋自由呢 什么叫自由 就你想爱男人就爱男人想爱女人就爱女人 想结婚就结婚 想离婚就离婚，离婚后续结婚就结婚,2020-05-16 13:24
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,嘿,可以，给犹豫方一部分权利。毕竟结婚和离婚是两个人的自由。不能因为一个人的自由而剥夺另一个人的自由,2020-05-16 13:26
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,xuegt,又开始收hu,2020-05-16 13:28
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,总拿肉麻当有趣,来个人总结下白话,2020-05-16 16:50
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,做作呗,多此一举,2020-05-16 19:10
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,Daniel_more,"拉倒吧起诉离婚比协议离婚难多了，老长时间判不下来的有得是，还不如协议离婚能赶紧离。
有时候俩人就是吵，没有家暴，一方不愿意离而另一方想离，本来协议离是能离的，这么一冷静期就拖拖拉拉完不了了，吵死一方了事。
结婚有没有冷静期？
没有结婚冷静期却有离婚冷静期，婚姻真是个可怕的玩意，沾上了不能及时。
说到底，俩人能协议离婚还要什么冷静期？冷静期完了还得约在一起来办离婚，烦都烦死了。",2020-05-16 19:11
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,hongkonghot1,应该来个结婚冷静期,2020-05-17 01:03
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,一脚一个,个人觉得冷静期不咋地……不喜勿喷呐……离婚也不是马上就离了，办手续也是有过程的这个过程足够一个成年人去冷静考虑了后悔也还是来得及的。确实过不下去了还得依照法律等一个冷静期只会让当事人觉得痛苦吧。,2020-05-17 05:40
贴吧热议吧,全国人大回应离婚冷静期仅适用协议离婚情形家暴案可起诉离婚,梅花一字槽,愿妻娘子相离之后，重梳蝉鬓，美扫娥媚，巧逞窈窕之姿，聘高官之主，解怨释结，更莫相憎。一别两宽，各生欢喜。,2020-05-17 17:34
