贴吧名,帖子标题,ID,内容,发布时间
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,429396528,视频来自：百度贴吧,2020-05-29 12:10
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,429396528,"家暴出轨不受离婚冷静期限制，清华大学法学院副院长、教授程啸表示，立法过程中，离婚冷静期的争议比较大。我们首先要明确的原则是婚姻自由，结婚自由和离婚自由。但是，所有的自由都有限制，如直系亲属之间不能结婚，法律会基于公序良俗作出限制。
离婚自由方面，也要一些问题有所考量。“冷静期”只适用于双方到婚姻登记机关去协议离婚。他们当初可能是因为家庭琐事发生争吵，一气之下就要去离婚。事后可能又反悔了。我们要防止这类冲动型离婚。
另外，离婚对整个社会有一些不良影响。社会由个人家庭组成的，离婚会带来一系列后果，如财产分割、子女抚养等问题，尤其对未成年人的健康成长非常不利。所以，法律上对这种协议离婚，规定一个30天的冷静期。彼此经过30天的深思熟虑，觉得还是要离婚，这当然就要充分尊重和保障他们的离婚权利。
“冷静期”制度并不适用所有的离婚情形，发生家暴或婚内出轨现象，确实导致感情破裂，到法院去离婚的话，就没有所谓的“冷静期”适用问题。立法者在规定很多制度时，会对多种利益有所考虑，不会维护一种绝对自由，因为这种自由其实会对其他权益或利益构成影响。
如何在各种利益间划出很好的边界，这是很重要的问题。民法就是社会生活中各种利益的平衡器，它要达到最好的平衡。",2020-05-29 12:11
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,ihi4445,m,2020-05-29 12:38
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,东阳情怀,程潇。。。,2020-05-29 12:42
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,applemerry,跟放屁似的，诉讼离婚冷静期半年,2020-05-29 12:42
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,屁屁哦,想离婚的人，这个都不是问题，多此一举,2020-05-29 12:43
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,jwehr,脱裤子放屁，多此一举,2020-05-29 12:45
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,瑾岛,爬,2020-05-29 12:45
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,斌纷彦丽,没必要，这不应该成为法律硬性规定,2020-05-29 12:45
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,末年如歌,多此一举,2020-05-29 12:46
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,贴吧用户_53DGQSe,"热评家暴出轨不受离婚冷静期限制，清华大学法学院副院长、教授程啸表示，立法过程中，离婚冷静期的争议比较大。我们首先要明确的原则是婚姻自由，结婚自由和离婚自由。但是，所有的自由都有限制，如直系亲属之间不能结婚，法律会基于公序良俗作出限制。
离婚自由方面，也要一些问题有所考量。“冷静期”只适用于双方到婚姻登记机关去协议离婚。他们当初可能是因为家庭琐事发生争吵，一气之下就要去离婚。事后可能又反悔了。我们要防止这类冲动型离婚。
另外，离婚对整个社会有一些不良影响。社会由个人家庭组成的，离婚会带来一系列后果，如财产分割、子女抚养等问题，尤其对未成年人的健康成长非常不利。所以，法律上对这种协议离婚，规定一个30天的冷静期。彼此经过30天的深思熟虑，觉得还是要离婚，这当然就要充分尊重和保障他们的离婚权利。
“冷静期”制度并不适用所有的离婚情形，发生家暴或婚内出轨现象，确实导致感情破裂，到法院去离婚的话，就没有所谓的“冷静期”适用问题。立法者在规定很多制度时，会对多种利益有所考虑，不会维护一种绝对自由，因为这种自由其实会对其他权益或利益构成影响。
如何在各种利益间划出很好的边界，这是很重要的问题。民法就是社会生活中各种利益的平衡器，它要达到最好的平衡。",2020-05-29 12:46
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,贴吧用户_7PEV2E2,大家能参与立法吗,2020-05-29 12:46
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,没有曹贼命却有曹贼病,对于有下家的人，这个就是多此一举。。,2020-05-29 12:47
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,第七夜玫瑰园,哪来的新？,2020-05-29 12:48
阅经吧,民法典表决通过参与立法专家家暴出轨等诉讼离婚不受冷静期限制,我爱小璞家园,视频画面可以再优化一下,2020-05-29 12:49
